"ID","Type","Name","Documentation","Specialization"
"id-fb35253a572045ea817078825bffba87","ArchimateModel","BNA","Na  metodologia  ITIL  um  serviço  é  considerado  como  um  conjunto  de  hardware, software,    pessoas    e    processos    de    IT    que    suportam    um    determinado processo/necessidade de negócio. A cada serviço deve ser associado um nível de serviço (SLA). Este SLA é um contrato efectuado entre o prestador do serviço e o cliente desse serviço – neste contexto entre o Departamento Tecnologias de Informação (DTI) e as restantes Unidades Orgânicas(UE) do Banco Nacional de Angola BNA –, onde deve estar claramente identificado qual o tempo expectável de resolução de um pedido – seja este um incidente ou uma requisição –, consoante a prioridade atribuída ao mesmo.

Assim, com o objectivo de definir o SLA a prestar pelo DTI, foi necessário numa 1ª etapa identificar  quais  os  serviços  de  Tecnologias  de  Informação  (TI)  do  DTI.  Esta identificação,  permitiu  detalhar  todos  os  serviços  TI,  segmentando-os  segundo  2 vertentes:

Serviços  de  negócio:  Conjunto  de  serviços  que  dão  directamente  suporte  a processos de negócio, sendo normalmente aplicações ou sistemas de negócio;

Serviço de suporte: Conjunto de serviços que por norma são transversais a toda a organização, podendo ser ou não visíveis para o cliente, e que dão suporte aos serviços de negócio;

No total, e no contexto do DTI, foram identificados 40 serviços de negócio e 15 serviços de suporte e 24 de infraestrutura num total de 79 serviços IT. Cada um destes serviços foi   igualmente   relacionado   com   outros   serviços,   conseguindo-se   assim   uma caracterização detalhada de cada serviço.

Na 2ª etapa foi identificado o SLA que o DTI tem actualmente capacidade de oferecer. Este SLA é constituído por cinco prioridades, onde a cada prioridade está associado um tempo máximo de resolução claramente definido e identificado. Quando um incidente ou requisição é reportado ao DTI por uma UE é associada umas destas prioridades ao pedido.

A prioridade é obtida através da computação de dois vectores – o impacto e a urgência. O  impacto  é  um  de  três  valores  definidos  e  associado  ao  serviço,  reflectindo  a importância que o serviço tem no negócio do BNA, no caso de ser um serviço de negócio ou, no caso de ser um serviço de suporte, qual o impacto que este tem nos serviços de negócio. A urgência é um de três valores definidos e resulta do efeito que o pedido tem no serviço (ex: se o efeito de incidente num serviço for a sua indisponibilidade total, o valor da urgência será mais elevado do que se o efeito for apenas uma indisponibilidade parcial).

No caso da urgência foi apresentada a definição da urgência e explicado que este valor será analisado pedido a pedido. No que se refere ao impacto, foi solicitado a todas as UE do BNA, através dos seus directores ou subdirectores que avaliassem, sob o ponto de vista do negócio do BNA, qual era o impacto que estava associado a cada um dos serviços de negócio e dos serviços de suporte com visibilidade para o cliente final do DTI. Os resultados deste exercício foram analisados e trabalhados através de um métrica ponderada com o objectivo de atribuir um valor do impacto que leva-se em conta a
",""
"id-5b1bf95c2da24b14988a7ae69d57bf17","ApplicationComponent","Acesso remoto","Serviço que permite o acesso remoto, através de ligação a VPN, a utilizadores/prestadores de serviços e outras entidades externas a rede da BNA.",""
"id-4564cc6e8fae47db924613ee56601417","ApplicationComponent","Active directory","Serviço responsável pela gestão e criação de objectos presentes na rede do BNA, tais como contas de utilizadores, contas de computadores, políticas de segurança.",""
"id-16050d7838404d7fbe535ee0901c1fa4","ApplicationComponent","AMC - Aplicação de Monitorização Contínua","Serviço de suporte a monitorização e avaliação dos processos dos bancos comerciais.",""
"id-cff13fc004b14fdabe1fda3eb86de3f2","ApplicationComponent","Anti vírus","Sistema central de gestão, manutenção e actualização da solução de anti-vírus do BNA.",""
"id-99a8c8b2b88f4c1e9fbb79eda8fc44e7","ApplicationComponent","ARIS","Ferramenta que permite fazer a modelagem e análise dos processos de negócio.",""
"id-8a4aafa5c00f40f8984b0c4f8abda91c","ApplicationComponent","Auténticação","",""
"id-f66793f205e94e7db26e35203f201860","ApplicationComponent","Backups","Serviço de criação e armazenamento de cópias de informação de segurança relativos aos servidores do BNA, sejam documentos, configurações ou bases de dados.",""
"id-55a0e47538fc414cb0fc639b04687017","ApplicationComponent","Bloomberg AIM","",""
"id-8fa90f9c2992431d9cea4f193a813198","ApplicationComponent","Call and notice","Call and Notice
About Call and Notice
FusionCapital Opics Call and Notice is a complete and automated front to back-office STP, the Straight-Through Processing solution for increasing STP rates, reducing cost of transactions, and minimizing reconciliation. It facilitates performing various activities such as deal capturing, pricing, position management, profit/loss calculation, exception based workflow, payments, confirmations, accounting, and interfaces.
The Call and Notice module maintains deposit and withdrawal activities to accounts that can be indexed to fixed, variable, tiered, or floating rates. Accounts can be maintained with or without a fixed maturity date and interest can be charged or paid to these accounts. Accruals are calculated daily and can be monitored by on-line inquiries, reports, and statements.
The key features of FusionCapital Opics Call and Notice are:
• On-line limits checks for customer exposure
• On-line account balances and projections
• Complete STP options including Standing Settlement Instructions (SSIs)
• SWIFT payments, confirmations, and statements (MT 940, 941, 942 and 950)
• Text customer statements
• Tiered interest structure, rate re-fixing, overdraft, and sweep processing
• Settlement to call and notice accounts from other product modules",""
"id-0c638825bbcb4d77bd67d46f60d0e457","ApplicationComponent","Central de Contas Bancárias","",""
"id-6810119e4eab4619b0c64640fea3af2a","ApplicationComponent","CIRC - Central de Informação de Riscos de Créditos","Serviço responsável pela gestão e manutenção da informação prestada pelas instituições financeiras relativas a operações de crédito, responsabilidades potenciais e os seus riscos, sob qualquer modalidade de que sejam beneficiárias pessoas singulares ou colectivas, residentes ou não residentes.",""
"id-3c38e76d17fd4b4dae645bbf1db355c2","ApplicationComponent","Compass Field Automation","COMPASS Field Automation represents the control level of the subsystems.",""
"id-217369416e8648aca0aa20d719e4f66e","ApplicationComponent","Compass MHS","COMPASS Logistics / MHS coordinates execution and provides visualization of all logical processes in compliance with Compass VMS.",""
"id-660880dcc23848fd8de98711d6c3a2b3","ApplicationComponent","Compass Suit ERP","3.1.1 COMPASS VMS HIGH LEVEL OVERVIEW
Compass VMS is organized into a series of modules for cash center functions such as receiving incoming deposits, processing and balancing deposits, fulfilling outgoing orders, and controlling inventory. It also has features for cash center management such as order and deposit work assignment, configuration and administration, and reporting.
The basic architecture of Compass VMS is as follows:
• Windows-based Smart Client for teller operations in the Main Cash center
• Windows-based Smart Client for teller operations in the Branches
• Reporting functions are delivered via SAP Business Objects Enterprise
• Java-based Web Client for management tasks
• The clients communicate with the Middle Tier Java application which handles business logic and database access",""
"id-b4a33b7d5fe74761bd2e07c818222057","ApplicationComponent","Compass VMS","COMPASS VMS implements required business processes and controls and monitors their execution.",""
"id-2cf4f42c0c7042eea4ea9ac1fea02b9f","ApplicationComponent","Comunicação de dados alargada (WAN)","Serviço que permite a comunicação de dados do BNA sede para os sites remotos e Delegações regionais, Bancos Comerciais e pela gestão da disponibilidade dos diferentes circuitos.",""
"id-e2cc0278534446948bcf02b29c051ca7","ApplicationComponent","Comunicação de dados locais (LAN)","Serviço de manutenção, instalação e configuração dos activos da rede de dados e de gestão da disponibilidade dos circuitos de comunicação internos, desde o computador do utilizador até ao router fronteira.",""
"id-15da8b7e51ee4501a8b402f68ce85888","ApplicationComponent","Comunicações de Voz","Serviço de manutenção, instalação e configuração dos activos da rede de voz e de gestão da disponibilidade dos diversos circuitos, desde o terminal de voz do utilizador até a central telefónica.",""
"id-a430f084062148a58b110a3093170570","ApplicationComponent","Core Sistema Bancos Comercias","",""
"id-9a5ade47d76040a7b16a5cb746f575f8","ApplicationComponent","Correio Electrónico","Serviço responsável pelo acesso, armazenamento, envio e recebimento de mensagens de correio electrónico. É responsável também pelo Webmail, que permite o acesso ao utilizador final, via Internet, á respectiva conta de correio electrónico para consulta e envio de e-mails.",""
"id-7b4c7f7ee87b4dd3a140f8efeda95f4a","ApplicationComponent","Deposits and Loans","",""
"id-eccaaac17cd94e7d9b1d79b5a4ec56ec","ApplicationComponent","DHCP","Serviço que disponibiliza automaticamente as configurações de rede (endereço IP, DNS server, gateway e sufixo de rede) para acesso à rede interna do BNA.",""
"id-a07be459b290442b96e014e75c62b663","ApplicationComponent","DNS","Serviço responsável pela manutenção, gestão do sistema que efectua a resolução de nomes dos servidores e postos de trabalho do BNA para endereços IP, permitindo desta forma a comunicação entre os diversos activos.",""
"id-dbb66601771f4aa094fb851e14e2a929","ApplicationComponent","Emissão cartões SIGMA","Serviço que permite a emissão de cartões, certificados que possibilitam a utilizadores e aplicações aceder ao SIGMA através da encriptação da comunicação.",""
"id-ba3477b7cecd40f6af00ae849f488735","ApplicationComponent","Emissão cartões SPTR","Serviço que permite a emissão de cartões, certificados que possibilitam a utilizadores e aplicações aceder ao SPTR através da encriptação da comunicação.",""
"id-02e78621e796439aa89ad2480c78477c","ApplicationComponent","EVIEWS","Serviço utilizado como fonte de informação para a criação de modelos econométricos e análise da política macro económica (aplicação instalada directamente nos postos de trabalho).",""
"id-0ef6c0ff7d1a4461ae54ebee9afcf699","ApplicationComponent","Fees","",""
"id-4439386868ad40398c78f246442f085f","ApplicationComponent","FGD - Fundo de Garantia Depositos","",""
"id-1ffd51b862b54ce8bdb28b1336bb37d2","ApplicationComponent","File Share","Serviço que permite a partilha de documentos entre utilizadores e aplicações num ou mais servidores centralizados através da rede do BNA.",""
"id-ae5c0add2d68400da5f6e34800cd4b91","ApplicationComponent","Filtro de conteúdos","Serviço responsável pela gestão e manutenção do tráfego na camada de aplicação da rede do BNA, através de politicas que permitem ou bloqueiam o acesso a determinado tipo de conteúdos e/ou protocolos comunicação para e da internet.",""
"id-84d6160fa03b4b00b5a49f9d1b2370b0","ApplicationComponent","Filtro de e-mail","Serviço responsável pela gestão e manutenção do sistema que efectua a filtragem do conteúdo dos emails, através de políticas que bloqueiam e-mails com determinados conteúdos ou com potencias ficheiros – vírus, malware – que ponham em causa a segurança da rede do BNA.",""
"id-86d0b289e77a4c77ad1dc99f06d35ed2","ApplicationComponent","Firewall","Serviço responsável por garantir requisitos como: Prover VPN xterna e entre sites sobre ssl, filtro de conteúdo e URL, protecção do perímetro (Externo, DMZ e Interno), sistema de prevenção de intrusão, prevenção contra bots, prevenção contra a perda de dados, protecção contra vírus, prover VPN externa e entre sites sobre IPSEC, controlo de aplicações web baseada em assinaturas, atribui aos utilizadores e máquinas visibilidade nas diferentes blades, previne diversos tipos de ataques incluindo zero day, prevenção contra perda de dados.",""
"id-ed287874d71f43359527ee8032f108ad","ApplicationComponent","Fixed Income","",""
"id-ccce6721c1f74c4abf8123d7238f5a08","ApplicationComponent","Foreign Exchange","",""
"id-9b8df1d589da4bf78b15882d782ce1a5","ApplicationComponent","GED - Gestão Electrónica de Documentos","Serviço de suporte ao processo de gestão da documentação electrónica, com o objectivo de minimizar o tráfego de papel dentro do BNA e centralizar a gestão documental por via da criação de politicas de acesso e segurança da informação.",""
"id-1ac1b82d296346349a0e640604149dde","ApplicationComponent","Gestao de Levatamentos","",""
"id-b75b9f715c94472aa80101163aa5f04b","ApplicationComponent","Gestão base dados Oracle","Serviço responsável pela implementação, gestão e manutenção das diversas bases de dados implementadas em ORACLE no BNA, no contexto das diferentes aplicações de suporte ao negócio.",""
"id-7bef2bff710341c5acf2d37595703768","ApplicationComponent","Gestão base dados SQL Server","Serviço responsável pela implementação, gestão e manutenção das diversas base de dados implementadas em SQL SERVER no BNA, no contexto das diferentes aplicações de suporte ao negócio.",""
"id-a25a4549485e4610840c0dfefb1187f2","ApplicationComponent","Gestão de Depositos","",""
"id-443affc2d34a4a11a5e21b33456f64d8","ApplicationComponent","Gestão servidores","Serviço responsável pela instalação, parametrização gestão e manutenção de todos os servidores do parque informático do BNA quer a nível de HW quer a nível de sistema operativo.",""
"id-831ecb8aa8cd49859504e37dc2d79236","ApplicationComponent","IAC","Aplicação de suporte ao apuramento e tributação diária de todos os valores a reter em todas as aplicações do mercado financeiro interbancário passíveis de tributação, entre o BNA e os Bancos Comerciais.",""
"id-ea4b2adc3ac947908f50f8d651c2dcc4","ApplicationComponent","IBM Message (MQ) Meridian","Serviços responsável pela gestão a manutenção do midleware software que padroniza as mensagens do SPTR em mensagens SWIFT (transformação da informação em mensagem SWIFT).",""
"id-fbb5cc7b64f347088c1a291f420e1ab0","ApplicationComponent","Internet","Serviço responsável pela disponibilidade e gestão do acesso à Internet aos utilizadores do BNA e as aplicações que necessitam de acesso a serviços externos.",""
"id-fa185226b8a3406fabf2602ae3a901de","ApplicationComponent","Intranet","Serviço responsável pela gestão e manutenção da plataforma da Intranet que permite a disponibilização de informação geral a todos os colaboradores do BNA.",""
"id-71756e196a43419cb62d02e03f5e656d","ApplicationComponent","Juro de Coupon","Serviço que permite o envio dos pagamentos de juros, emissões de TBC, OT’s, BT’s e regastes de juros em moeda externa para o OPICS no dia 15 de cada mês ou no dia útil a seguir a este.",""
"id-390d47c7764d4d95962806e2b1c2f64d","ApplicationComponent","LEX Angola","Serviço que disponibiliza informação em formato digital sobre a legislação Angolana.",""
"id-b6aeb525e43b4b9a84e2cff1131c8d0f","ApplicationComponent","Microinformática HW","Serviço responsável pela gestão e suporte ao cliente interno do BNA relativo questões do Hardware que este usa no desempenho das suas funções diárias.",""
"id-7ac1d44edcfa44ad8838fca7b474f838","ApplicationComponent","Microinformática SW","Serviço responsável pela gestão e suporte ao cliente interno do BNA relativo questões do Software que este usa no desempenho das suas funções diárias, seja sistema operativo ou aplicações de produtividade (excluindo aplicações de negócio).",""
"id-33bdf3800ad14197b56fb2dc13256b54","ApplicationComponent","Nostro and Cash Management","",""
"id-971ab8988f764829a043e951d8c66657","ApplicationComponent","OPICS Plus 2.1 - Sistema de Gestão de Reservas","Serviço de suporte ao processo de registo e pagamento das operações em moeda externa, interagindo com os correspondentes do Banco Nacional de Angola através do SWIFT.",""
"id-5ae9c489522941b3bc24a47e1aadac26","ApplicationComponent","Optimização tráfego WAN","Serviço responsável pela manutenção e gestão da plataforma que permite a optimizar o tráfego de e para a Internet através de algoritmos de compactação optimizando da largura de banda disponível.",""
"id-247a1c88e82041bcbf6206d2dd6ec0d0","ApplicationComponent","PCTB - Programa de Controlo de Créditos dos Trabalhadores do BNA","Serviço de suporte ao processo de gestão dos créditos dos funcionários, ao abrigo do protocolo com os Bancos Comerciais.",""
"id-42d88fd29a554743ad59957bb2c91e22","ApplicationComponent","PIF - Portal das Instituiçoes Financeiras","",""
"id-13f09a7e8315452dbdf9e4dc8e0563f3","ApplicationComponent","Portal das Oportunidades","Aplicação de suporte ao processo de gestão de candidaturas a oportunidades disponibilizadas pelo BNA.",""
"id-2aa5d6d0bef947999eca34b70e938a2f","ApplicationComponent","Portal Des","Serviço de Suporte ao processo de recolha de informação estatística da balança de pagamentos e outras.",""
"id-3e8cfb40a0fa44699ab34d3727c7b350","ApplicationComponent","Portal do Consumidor de Produtos e Serviços Financeiros","Serviço de suporte ao processo de gestão de reclamações proveniente dos consumidores de produtos e serviços financeiros, bem como a gestão de publicidades e condições contratuais referentes à cartões bancários, contratos em geral e inspeções Off-Site.",""
"id-609fe0025384453fb82a0d9b5be15452","ApplicationComponent","Pré-Aviso","Sistema de suporte ao processo de gestão de meio circulante no que respeita às intenções de depósito e levantamento de valores pelos Bancos Comerciais e Custódias.",""
"id-d82824ccc1ba47839f2020dc2282cd9f","ApplicationComponent","Página do Consumidor Bancário","",""
"id-dcbbb06090b14a49ab98a36fb67c35f9","ApplicationComponent","Página Institucional do BNA","Serviço Web, que permite disponibilizar informação institucional e legal aos utilizadores.",""
"id-fbdd80b6606a4f1896937c4335c8edd8","ApplicationComponent","Registo de Levantamento","",""
"id-2014c75999074443b03230580ad2487a","ApplicationComponent","Reporte da Posição","",""
"id-50bf18a4ef8849e7b310003f8386a5a7","ApplicationComponent","Reporte de Contas","",""
"id-52e897ae4e6148408807ba0ca28d6d18","ApplicationComponent","Reporte do Depositante","",""
"id-6af5f83093e24392b96e9deb3f2d9562","ApplicationComponent","Reporte Extraordinário da Carteira de Depósitos","",""
"id-708e6ee5d7404c33bca74512ae0b1a37","ApplicationComponent","Reporting Client for Bussines Object","3.1.2.4 REPORT CLIENT (SAP BO LAUNCH PAD)
Compass VMS provides the ability to generate reports from the Web Client; in addition with Business Objects it is possible for customers to directly build their own reports and call them from the Business Objects Launch Pad application.
The Launch Pad is a thin client application; it is hosted on the Business Objects Report Server and is launched from any browser. For security reasons SSL should be enabled at the server to encrypt all messages to and from the Client.",""
"id-42d20b9e2ebd452b9fe7300bc86453b7","ApplicationComponent","Reuters","Fonte de Informação sobre o mercado financeiro internacional e negociação dos investimentos do país no exterior.",""
"id-99a05e2db898452bbae732c3fa07df5c","ApplicationComponent","SACOCA","Serviço baseado num motor de regras que utiliza a informação dos sistemas existentes no BNA para a análise do ciclo de vida de uma operação cambial, bem como a identificação e correlação de excepções.",""
"id-cb7fac64eeb14b49adbf9af5c8c84cc2","ApplicationComponent","SAP - Cash Management","SAP CM (Cash Managemt) – este módulo visa fundamentalmente melhorar os actuais processos de gestão dos valores financeiros (notas e moedas) através de uma consolidação e substituição das actuais soluções não integradas por uma solução única e centralizada que suporte tanto a Sede como as Delegações Regionais, o SAP Cash Management. Este está orientado ao modelo de negócio do BNA o qual caracteriza-se genericamente pela gestão de valores financeiros (notas e moedas) e na sua relação entre a entidade BNA e os Bancos Comerciais.",""
