"ID","Type","Name","Documentation","Specialization"
"_YHtXUEZ3EeqonN_RS9oRzw","ArchimateModel","hip-platform","",""
"_9AM7QM2gEDebbLtGZ09rKA","BusinessActor","Neurosurgeon","",""
"_xxl4Uc2hEDebbLtGZ09rKA","BusinessActor","Patient","",""
"_zuJEkM2hEDebbLtGZ09rKA","BusinessActor","Researcher - EEG expert","",""
"_9DPywM2hEDebbLtGZ09rKA","BusinessInteraction","Data collection","",""
"_L-mQYc2lEDebbLtGZ09rKA","BusinessObject","HIP Database","",""
"_uAVF0c2kEDebbLtGZ09rKA","BusinessObject","Private dataset","",""
"_gjyywc2lEDebbLtGZ09rKA","BusinessObject","Public dataset","",""
"_WyhtAc2lEDebbLtGZ09rKA","BusinessObject","Shared dataset","",""
"_t-70Ic2jEDebbLtGZ09rKA","BusinessProcess","Analyse datasets","",""
"_DeXm0MjmEDe4BPZUCjODpA","BusinessProcess","Analysis in patient space","",""
"_1SYpQMjlEDe4BPZUCjODpA","BusinessProcess","Anatomy registration","<p>We have two MRI scans for the patient we are processing: before and after the sEEG implantation. The second one shows artifacts around the contacts of the depth electrodes and can be used to identify their positions. In order to use the volumes simultaneously, we use SPM to register them together, then normalize them to the MNI space.</p>",""
"_bLn-gNMnEDefG5wGve95QQ","BusinessProcess","Anonymisation","",""
"_HfmnoMjmEDe4BPZUCjODpA","BusinessProcess","Bad channels detection","",""
"_KqzNkc2iEDebbLtGZ09rKA","BusinessProcess","Data curation","",""
"_-b-q0M2iEDebbLtGZ09rKA","BusinessProcess","Dataset registration","",""
"_4ginUMjlEDe4BPZUCjODpA","BusinessProcess","Electrode positions","<p>In order to generate epileptogenicity maps, we need accurate 3D positions for the contacts of the depth electrodes. There are various solutions to get these positions, the best one depending on the information you have access to and the type of material that was implanted. Placing the contacts requires a good understanding of the implantation scheme reported by the neurosurgeon, and some skills in reading MRI scans.</p>",""
"_CZoMUMjmEDe4BPZUCjODpA","BusinessProcess","Epileptogenicity maps","",""
"_6OVl4MjlEDe4BPZUCjODpA","BusinessProcess","Importing and pre-processing","",""
"_mB5sIc2jEDebbLtGZ09rKA","BusinessProcess","Publish dataset to HBP","",""
"_RzjY8c2iEDebbLtGZ09rKA","BusinessProcess","sEEG processing","",""
"_aNOkMc2jEDebbLtGZ09rKA","BusinessProcess","Share dataset in HIP","",""
"_9Iu6cMjlEDe4BPZUCjODpA","BusinessProcess","Time-frequency","",""
"_QD91Mc2jEDebbLtGZ09rKA","BusinessProcess","Upload dataset to HIP storage","",""
"_h89QAc2jEDebbLtGZ09rKA","BusinessService","HBP Knowledge Graph","",""
"_buUHAc2kEDebbLtGZ09rKA","Contract","BIDS-sEEG format","",""
"_9fIg4MjoEDe4BPZUCjODpA","Product","Deformation fields from subject space to MNI space (post-implentation MRI)","",""
"_7dyUMMjoEDe4BPZUCjODpA","Product","Deformation fields from subject space to MNI space (pre-implentation MRI)","",""
"_HD5nEMsrEDeG1LmHytw6kg","Product","Description of the electrodes (3D positions)","<p>Implantation file</p><p>.txt</p><p>&nbsp;</p>",""
"_6ztR4MjnEDe4BPZUCjODpA","Product","Post-implentation MRI, defaced","<p>T1 3D, Nifti</p><p>.nii</p>",""
"_1z4h4MjnEDe4BPZUCjODpA","Product","Pre-implentation MRI, defaced","<p>T1 3D, Nifti</p><p>.nii</p><p>&nbsp;</p>",""
