"ID","Type","Name","Documentation","Specialization"
"_x1T1wHNOEeyzq6ra3GZCdA","ArchimateModel","operation1","",""
"_GU5MIFV-EDq4aqAZACQ-vw","BusinessFunction","Vector<int> innerSearchEmployee(vector<employee>, struct option)","",""
"_PnVn4FV-EDq4aqAZACQ-vw","BusinessFunction","Virtual vector<employee>& operation (vector<employee> db, struct option)","",""
"_BO8bcFV9EDq4aqAZACQ-vw","BusinessObject","Management","",""
"_H0ImwFV9EDq4aqAZACQ-vw","Product","addEmployee","",""
"_I4QWMFV9EDq4aqAZACQ-vw","Product","deleteEmployee","",""
"_IlB4MFV9EDq4aqAZACQ-vw","Product","modifyEmployee","",""
"_IlCfQVV9EDq4aqAZACQ-vw","Product","Product","",""
"_I4QWMlV9EDq4aqAZACQ-vw","Product","Product","",""
"_IMVrYFV9EDq4aqAZACQ-vw","Product","searchEmployee","",""
"_GWrKQFV9EDq4aqAZACQ-vw","DataObject","input data(vector<employee>, struct option)","",""
