"ID","Type","Name","Documentation","Specialization"
"id-35d0515794504ab88cf22b157c7d0315","ArchimateModel","solid-hotel-architecture","",""
"id-3ef946a957af440d8219c2617e639af8","BusinessActor","Authorities","",""
"id-664f64bcdbad4dcb947700c78e3ba2fb","BusinessActor","Guest","",""
"id-5795f273b3c341fa95ab6e4733f2fbd3","BusinessActor","Guest","",""
"id-2c3fc415769d40dfbfbc648b9c99df11","BusinessActor","Guest","",""
"id-f40500adb41946189e861dee1e9232a6","BusinessActor","Hotel","",""
"id-8e2bd42665a44584bebb20cd5d154ced","BusinessActor","Hotel","",""
"id-b228fa7a0d774ecdacf563cb36c495bf","Product","Guest information CSV file","",""
"id-eeef88ff4cd6446bb88cd803bb958f88","ApplicationCollaboration","Gather required fields (booking, check-in)","",""
"id-120e66184aff45c2892567eafcf3caca","ApplicationCollaboration","Gather required fields (offline check-in)","",""
"id-10deed1f8d894ce9a1dbedfa4fd1d001","ApplicationCollaboration","Hotel profile synchronization","",""
"id-87b758ddabc244728408cea5da00e392","ApplicationCollaboration","Profile synchronization","",""
"id-194dd0a1eef34647b3a8d16623713506","ApplicationCollaboration","Solid profile synchronization","",""
"id-f939409d2a5648a8bf231fb54125bc65","ApplicationComponent","Guest Portal Application","",""
"id-f4388da0afaa4bf8802fc5011bac99f0","ApplicationComponent","Guest Solid Pod","",""
"id-4b7da515a1ad459188a71865d40fa643","ApplicationComponent","Hotel Solid Pod","",""
"id-1c85e692dd7a465eb4163ac91dcf3785","ApplicationComponent","Property Management System","",""
"id-87896717a3174d118323a4766b92dba9","ApplicationComponent","Solid Profile Editor","",""
"id-30aa61fbbb874faeb66052c7f3c34fb5","ApplicationInterface","Guest Portal Application Interface","",""
"id-a7b4f7530e52419fbd758ad4177f06ca","ApplicationInterface","Property Management System Interface","",""
"id-13e2d0cb144c40dd85f3bb6a8c550f05","ApplicationInterface","Required fields mock API","",""
"id-228f9e9cf1174bebb1ff035f5e86ed02","ApplicationInterface","Solid Profile Editor Interface","",""
"id-f27a334179bf4e4da74fb1068831d622","ApplicationInterface","solid-auth-client","",""
"id-6e5abe93a57a400c9be34e484aa52c40","DataObject","booking requests","",""
"id-6e86d3c8617347cca28a78e52eb808f1","DataObject","data protection profiles","",""
"id-eafbc1ea8ffe44da9e0c8713ae8b74ee","DataObject","guest profile","",""
"id-f782ca2347ed4501be8a705d6a9bbd7a","DataObject","Hardcoded JSON document","",""
"id-257d2385dd6e4491aa55bceece147050","DataObject","hotel info","",""
"id-f1cf303b42a94321abf9cd2ec4749742","DataObject","inboxes","",""
"id-849e2566d38743ca83672d9203f9e655","DataObject","inboxes","",""
"id-7260872dd2e74cfba44a3b197821a4a0","DataObject","local profiles","",""
"id-89d59a13429b4359b4f8944ae35b2202","DataObject","privacy tokens","",""
"id-5cb68d6418c44c1d8c8cd8a89b9b468d","DataObject","privacy tokens","",""
"id-09691b73ae084c38bd4505d3280af749","DataObject","reservations","",""
"id-b161157a91d041248bcd2218ae72fd1e","DataObject","reservations","",""
"id-144b4bfd3847488f87876c541de7e9fe","DataObject","rooms","",""
"id-96cfe4aecc334409954083260c8292aa","Grouping","Profile","",""
"id-27f4074034244df29974f87c78d75bcc","Grouping","Profile","",""
"id-d62bd1bf6ad14eebbff17cbf90f0a786","Grouping","Reservation","",""
"id-5d486371f85342dca4b4ecca3c7712d4","Grouping","Reservation","",""
