"ID","Type","Name","Documentation","Specialization"
"id-f984a195af3e4818a6dbc6c2a676db52","ArchimateModel","TiendaLinea","",""
"id-0bdc58bced1540caa9e7eb2c675902e9","BusinessActor","Business Actor","",""
"id-621f60b74c3149d2af9d931d5c12fafc","BusinessActor","Domiciliario","",""
"id-e0d6ecfe5e6c41da92b44ed7c76d9a42","BusinessActor","Dueño","",""
"id-d672ba32e6794290bc6e795997b18685","BusinessActor","Empleado","",""
"id-b913ec7b46dc4b40bf1ee8be4be88b55","BusinessCollaboration","Despacho de mercancía","",""
"id-3c7e6b41be0d48028e8a201bdc65fd64","BusinessEvent","Finalización Venta","",""
"id-65a9377023d3457b8cd140dbbd09699f","BusinessEvent","Realización Venta","",""
"id-7a1c536bb57541f88b3dd52c3ef01e8e","BusinessEvent","Solicitud Pedido","",""
"id-51ef1aa177a94e4db0e05f550c4c898c","BusinessFunction","Despachar Pedido","",""
"id-1a4c2e5a6058408f9f3c1669897c08a1","BusinessFunction","Entregar Pedido","",""
"id-cfec3f52f2aa410397cad9cb3ef55e49","BusinessFunction","Gestionar Clientes","",""
"id-0ddbeb1e1de84544918a69af909c1c51","BusinessFunction","Gestionar Inventario","",""
"id-878f9e23b43b4ea796c38d8c7680e1aa","BusinessFunction","Recibir Pago","",""
"id-5890b16c458142eaa7f6e49199645b47","BusinessInterface","Sitio web","",""
"id-fe9756f8284749e4bb14ac4bf864b4ce","BusinessObject","Credenciales Cliente","",""
"id-a9fb28c75a934e0d84e4d099b6164473","BusinessObject","Domiciliario","",""
"id-228341a126194c5191c87984fa277fa0","BusinessObject","Pedido","",""
"id-0e62d89f3fa24136b5e35f4e996f3773","BusinessObject","Producto","",""
"id-c60f8e55e4854dafbf217224736212aa","BusinessObject","Tendero","",""
"id-b6e7fbcd86004d59ad22ac32e5cd7731","BusinessObject","Tienda","",""
"id-d82b9b8651f441509363ed5d6e8df90e","BusinessObject","Usuario","",""
"id-40d5831de564472783c8933b2eb77688","BusinessProcess","Despacho pedido","",""
"id-2e8743b80bd34a9f9d357bac1d54228f","BusinessProcess","Entrega de Pedidos","",""
"id-a506a16bac2345aaa5d4ff428b66fd37","BusinessProcess","Preparación Pedido","",""
"id-ecc7b1fed19c4364a50e39e981e82567","BusinessProcess","Recepción Pedido","",""
"id-aae7cf8d99394ff9a67b78f9400a0df4","BusinessProcess","Venta de Productos","",""
"id-0456e1bdd2c342e7a904d52ef8142966","BusinessRole","Business Role","",""
"id-54a5b4966b954fe08e7015c5905687e5","BusinessRole","Domiciliario","",""
"id-e3eca71a03464d13ab3232927a865d28","BusinessRole","Tendero","",""
"id-1b5e939be4bf4f168586e75c65b54517","BusinessService","Solicitar Pedido","",""
"id-7710daa6e5164a3fbc31003ac8708acb","BusinessService","Vender Productos","",""
"id-9df6e79947ab449ba0bdf4ca820d732f","Product","Sitio web","",""
"id-ff03c0e0e50c4258a3e73f7ed22d591d","ApplicationComponent","API Gateway","",""
"id-2fc560ac337840bc8a91d8400aa7884e","ApplicationComponent","Control de Acceso","",""
"id-eeb096d2be5e4afea6001a5a358fb5f0","ApplicationComponent","Gestor de Envío","",""
"id-53602bff0a8e48518a51a3c493e0cfd6","ApplicationComponent","Gestor de Pedidos","",""
"id-cf7fcba2422342fc8aaf4275e9a8acb5","ApplicationComponent","Gestor de Usuario","",""
"id-274bf3c570754b1aad62da36028acc2d","ApplicationComponent","GUI","",""
"id-fe5eb5fe947646b1b0b516be46f62790","ApplicationEvent","Application Event","",""
"id-f5198e8941214a94858a5c18d1de46b1","ApplicationFunction","Consulta Estados Pedido","",""
"id-69e0e120a44e4bab9cfc565c9d9daffa","ApplicationFunction","Control de Acceso","",""
"id-fb4d6d2f27bd41e7989be432793aa0a8","ApplicationFunction","CRUD","",""
"id-d6992c675e364e1cac11ae3766ebad11","ApplicationFunction","Estados Pedido","",""
"id-720594143b2747ad9cee31727d25de1c","ApplicationFunction","Historial Pedidos Cliente","",""
"id-5393ccf08df040d0a1daa8c4010243a7","ApplicationFunction","Historial Pedidos Tienda","",""
"id-970f77f56729414bbdb1c86779323966","ApplicationFunction","Realizar Pedidos","",""
"id-e584249e14524f759ad1071e0b307e5b","ApplicationInterface","Administración","",""
"id-56b8dbc529f24c8086b54a4ceb7354e2","ApplicationInterface","Envío","",""
"id-dadf894da9ef498cbf81c27396224b24","ApplicationInterface","Validación","",""
"id-55565cbac5174ac1828db15d6b2a80b3","ApplicationInterface","Venta","",""
"id-214db262b2cd43b190ff3b15dbe8f7a8","ApplicationService","Gestionar Estado Pedido","",""
"id-c3243cb4337641008dbf2d2b48f9d005","ApplicationService","Gestionar Pedido","",""
"id-8bad8433210f406187f7896c56cff0c5","DataObject","Empleado","",""
"id-83cacd284f1b47f881b6311e54e8a67a","DataObject","Estado Pedido","",""
"id-05b341142c714451affa663800f201ff","DataObject","Información Tienda","",""
"id-6e697780aa6f4e32abe6a5df10a05a88","DataObject","Inventario","",""
"id-501e3bc834f44a9f9831f8258f31763f","DataObject","Pedido","",""
"id-1e9cc542ce4341559378320782ab4adb","DataObject","Usuario","",""
"id-07b4a15610fc4518be798e737480050d","Artifact","Angular","",""
"id-21304bb78a3f47b582f3f4a044823dfc","Artifact","Flask","",""
"id-abd4de262cb94b7ea27d51dea4efce5f","Artifact","Flask","",""
"id-8862d849469245aca1451dcdf948c42a","Artifact","Flask","",""
"id-6d61a3c8c5af47c9b40136a7cb0e8e1b","Artifact","Nginx","",""
"id-b2eee89a3b9a4e858ad23b235887a3de","Artifact","SQLite","",""
"id-e06ed9fd15bb4750ad00992f2f007f96","Artifact","SQLite","",""
"id-267a82f39fc34dd5a5c38bbc63690db9","Artifact","SQLite","",""
"id-68ae906da57f4474bde56fbedbeda333","CommunicationNetwork","Internet","",""
"id-9bac5aefa9d64d3dab94ef406728b7b3","Device","PC","",""
"id-efdb4ca8ec0f4af6ad209d324ddb0d02","Device","PC","",""
"id-68f946d16317465595283b1b06f53502","Node","Servidor","",""
"id-7f49b5fe374d44eea2730db57c08e6fc","SystemSoftware","Docker Envío","",""
"id-5005636808ed40e98ec02de421af6dc2","SystemSoftware","Docker Gateway","",""
