"ID","Type","Name","Documentation","Specialization"
"id-76c05c7d","ArchimateModel","Big Brother","",""
"b3d53364","BusinessActor","User","",""
"id-86306e6e","BusinessActor","User","",""
"c2f47549","BusinessEvent","Work on pc","",""
"b4aa11c0","BusinessProcess","Create Activity","",""
"id-0a9dc7b6","BusinessProcess","Create Event","",""
"f5d3b321","BusinessProcess","User view","",""
"id-64d1ebf2","BusinessProcess","View historical data","",""
"id-4548354d","BusinessRole","Business Role","",""
"f84cfc52","BusinessRole","Monitoring user","",""
"id-41da7a87","BusinessRole","Observer","",""
"d815d90e","BusinessService","Work on pc","",""
"d209b25e","ApplicationComponent","Application server program","",""
"id-89a019d3","ApplicationComponent","Client program","",""
"da8c7303","ApplicationFunction","Create hosting WCF service","",""
"id-2e9c02ca","ApplicationFunction","Create monitoring events","",""
"id-6272f2fc","ApplicationFunction","Monitoring user","",""
"e9f31ce4","ApplicationFunction","Read and write from Database","",""
"c9fff6f9","ApplicationFunction","Save user to DB","",""
"id-2cbeaf2d","ApplicationFunction","Send user information","",""
"id-7ee7c540","ApplicationFunction","View data","",""
"id-2b3f882d","ApplicationService","WCF service transaction User","",""
"id-68ddf4ec","DataObject","Sqlite Database","",""
"id-3c136295","CommunicationNetwork","LAN network","",""
"aad60d45","Device","Application server","",""
"id-10583bfd","Device","User PC","",""
"id-4cf01149","Device","User PC (copy)","",""
"cc1bb3d5","Node","Application server","",""
"id-51f18126","Node","Client","",""
"fe037bf4","Node","Node","",""
"id-9e8a2e1b","Path","Communication Path","",""
"id-99f9ade3","Path","Communication Path (copy)","",""
"f3b05776","SystemSoftware","Application server program","",""
"id-5abad87c","SystemSoftware","ClientProgram","",""
