"ID","Type","Name","Documentation","Specialization"
"id-m-dce25409-8342-4632-858c-11cba75a4154","ArchimateModel","Model","",""
"id-Capability","Capability","Capability","",""
"id-Capability2","Capability","Capability2","",""
"id-CourseOfAction","CourseOfAction","CourseOfAcion","",""
"id-CourseOfAction2","CourseOfAction","CourseOfAction2","",""
"id-Resource","Resource","Resource","",""
"id-Resource2","Resource","Resource2","",""
"id-BusinessActor","BusinessActor","BusinessActor","",""
"id-BusinessActor2","BusinessActor","BusinessActor2","",""
"id-BusinessCollaboration","BusinessCollaboration","BusinessCollaboration","",""
"id-BusinessCollaboration2","BusinessCollaboration","BusinessCollaboration2","",""
"id-BusinessEvent","BusinessEvent","BusinessEvent","",""
"id-BusinessEvent2","BusinessEvent","BusinessEvent2","",""
"id-BusinessFunction","BusinessFunction","BusinessFunction","",""
"id-BusinessFunction2","BusinessFunction","BusinessFunction2","",""
"id-BusinessInteraction","BusinessInteraction","BusinessInteraction","",""
"id-BusinessInteraction2","BusinessInteraction","BusinessInteraction2","",""
"id-BusinessInterface","BusinessInterface","BusinessInterface","",""
"id-BusinessInterface2","BusinessInterface","BusinessInterface2","",""
"id-BusinessObject","BusinessObject","BusinessObject","",""
"id-BusinessObject2","BusinessObject","BusinessObject2","",""
"id-BusinessProcess","BusinessProcess","BusinessProcess","",""
"id-BusinessProcess2","BusinessProcess","BusinessProcess2","",""
"id-BusinessRole","BusinessRole","BusinessRole","",""
"id-BusinessRole2","BusinessRole","BusinessRole2","",""
"id-BusinessService","BusinessService","BusinessService","",""
"id-BusinessService2","BusinessService","BusinessService2","",""
"id-Contract","Contract","Contract","",""
"id-Contract2","Contract","Contract2","",""
"id-Product","Product","Product","",""
"id-Product2","Product","Product2","",""
"id-Representation","Representation","Representation","",""
"id-Representation2","Representation","Representation2","",""
"id-ApplicationCollaboration","ApplicationCollaboration","ApplicationCollaboration","",""
"id-ApplicationCollaboration2","ApplicationCollaboration","ApplicationCollaboration2","",""
"id-ApplicationComponent","ApplicationComponent","ApplicationComponent","",""
