"ID","Type","Name","Documentation","Specialization"
"_BIveEEjSEeyo8oS76GR6Gg","ArchimateModel","Fast Data CVP 1 - Plataforma digital","",""
"_3cXJ0Cx5EDq3gaByMY1Uew","BusinessActor","User Mobile","",""
"_5noukCx5EDq3gaByMY1Uew","BusinessObject","Web plataform","",""
"_Sj5ToCyBEDq3gaByMY1Uew","BusinessRole","Cartera - Oracle RAC","",""
"_QmRwYCyBEDq3gaByMY1Uew","BusinessRole","CRM - Oracle RAC","",""
"_HKZr0CyBEDq3gaByMY1Uew","BusinessRole","ERP- Oracle RAC","",""
"_N5hBcCx8EDq3gaByMY1Uew","Contract","Atuhentication (Basic Auth)","",""
"_Dd798Cx9EDq3gaByMY1Uew","ApplicationInteraction","Load Balanced","",""
"_FQkZMCx9EDq3gaByMY1Uew","ApplicationInteraction","Load Balanced","",""
"_VYEBMCx9EDq3gaByMY1Uew","ApplicationInteraction","Load Balanced","",""
"_3Dz1ACx7EDq3gaByMY1Uew","DataObject","Data Information (JSON, XMLl)","",""
"_KHRiECyAEDq3gaByMY1Uew","Artifact","Benefits - Server 1","",""
"_6iMqoCx_EDq3gaByMY1Uew","Artifact","Benefits - Server 2","",""
"_EyaWMCyAEDq3gaByMY1Uew","Artifact","Control - Server 1","",""
"_4gwXUCx_EDq3gaByMY1Uew","Artifact","Control - Server 2","",""
"_6C-_ECx_EDq3gaByMY1Uew","Artifact","Pagos - Server 1","",""
"_07HtYCx_EDq3gaByMY1Uew","Artifact","Pagos - Server 2","",""
"_GV-asCyAEDq3gaByMY1Uew","Artifact","Pagos - Server 3","",""
"_PRkKwCyCEDq3gaByMY1Uew","CommunicationNetwork","Cloud Storage from Providers","",""
"_ZpxG8Cx9EDq3gaByMY1Uew","CommunicationNetwork","Virtual Network","",""
"_9QGNkCx6EDq3gaByMY1Uew","Device","Mobile UI - (JS, Kotlin, Swift )","",""
"__WiyICx5EDq3gaByMY1Uew","Device","Web UI - (JS, HTML, CSS)","",""
"_lsa18Cx8EDq3gaByMY1Uew","SystemSoftware","Access PaaS","",""
"_cHOLYCx-EDq3gaByMY1Uew","Grouping","Acceso PaaS","",""
"_UiE-8Cx-EDq3gaByMY1Uew","Grouping","Aplicación PaaS","",""
"_rSg0YCx_EDq3gaByMY1Uew","Grouping","App DataLake - Servers","",""
"_vTTT0CyAEDq3gaByMY1Uew","Grouping","Benefits","",""
"_egyY4CyAEDq3gaByMY1Uew","Grouping","Control of financial products","",""
"_52d38Cx9EDq3gaByMY1Uew","Grouping","Customer interaction","",""
"_Ri7bUCyAEDq3gaByMY1Uew","Grouping","Payment","",""
"_JNDAYCx-EDq3gaByMY1Uew","Grouping","Presentación PaaS","",""
"_oLyJcCx-EDq3gaByMY1Uew","Grouping","Red","",""
"_B-dycCyBEDq3gaByMY1Uew","Grouping","Storage","",""
