"ID","Type","Name","Documentation","Specialization"
"_l_fD8KF6EemWLqKkNNGPFg","ArchimateModel","tim architectural diagram","",""
"_e-VCIIOpEDejvtqY8HCTDw","Resource","Resource","",""
"_ixcHYIOpEDejvtqY8HCTDw","BusinessActor","Editors","",""
"_1rdW0IOoEDejvtqY8HCTDw","BusinessActor","Web Users","",""
"_FkynAYOpEDejvtqY8HCTDw","BusinessCollaboration","AEM Editors","",""
"_jvinAYOsEDejvtqY8HCTDw","BusinessInterface","Apache Web Server / Dispatcher","",""
"_C9q-UIOqEDejvtqY8HCTDw","BusinessProcess","Process","",""
"_EBz74IOqEDejvtqY8HCTDw","BusinessService","TIM API Service","",""
"_q92vMYOpEDejvtqY8HCTDw","ApplicationComponent","AEM Java Bundle","",""
"_7JXUgYOpEDejvtqY8HCTDw","ApplicationComponent","AEM Web Service Client (REST)","",""
"_xi93cIOoEDejvtqY8HCTDw","ApplicationService","AEM Author Server","",""
"_zmo_YYOoEDejvtqY8HCTDw","ApplicationService","AEM Publish Servers Pool","",""
"_wKVbIYOpEDejvtqY8HCTDw","ApplicationService","Service","",""
"_SCQNQYOpEDejvtqY8HCTDw","Device","Apache Web Server","",""
"_zvAbwYOpEDejvtqY8HCTDw","WorkPackage","AEM Web Service Client (REST)","",""
"_vFtqgYOrEDejvtqY8HCTDw","WorkPackage","Work Package","",""
"_T9t-8YOqEDejvtqY8HCTDw","Grouping","Internet","",""
"_ZGzYoYOqEDejvtqY8HCTDw","Location","Location","",""
