"ID","Type","Name","Documentation","Specialization"
"952c3943-93ad-49f3-a777-d3f2952e9286","ArchimateModel","EA","",""
"58c07a83-5587-495c-8546-eca9f62ff859","Capability","Capability","",""
"1d886841-48b6-4251-8752-3a3a6c5c4561","Resource","Afgelegen landingsplaats","",""
"b1459c4b-b706-4edc-bc70-4a57aaf09ea3","Resource","Key resources","",""
"1bb0dc9f-eb64-44d5-9bf5-ccec0d9bd33f","Resource","Ondersteunende diensten","",""
"3594393d-f8ca-41c8-b8a8-7fcc67291fe2","Resource","Standaard 737-800 vliegtuigen","",""
"666eeef6-cae7-43d3-9bef-499a06050c75","BusinessActor","Boeing","",""
"cba54a81-3a92-4840-af8e-82a57c709835","BusinessActor","Customer segments","",""
"1b07d2dd-1881-457e-92e7-115514911bc1","BusinessActor","Diensten bedrijven","",""
"e2662c73-7132-4e6b-aca7-317d8eb6c756","BusinessActor","Klantensegmenten","",""
"cc684cd9-bc48-40b4-9276-b9e851285b8c","BusinessActor","Luchthavens","",""
"8f2ed521-c0fc-48c4-af53-64a67a300654","BusinessActor","Strategic partners","",""
"2562d97c-b92f-48c3-913d-45d0587750c8","BusinessActor","Vakantiegangers","",""
"391bb14d-981b-4885-a6e5-8cb1556285cf","BusinessActor","Zakelijke reizigers","",""
"5fe3d4d0-d0e5-4e7c-af35-144f4f2e053b","BusinessCollaboration","Customer relationships","",""
"c3582e75-b55f-4e9d-a34c-d1b53adc8a04","BusinessCollaboration","Klantenrelaties","",""
"bc235144-d397-4167-8729-515fb262415c","BusinessCollaboration","Lage diensten- kwaliteit ","",""
"aa719727-71f4-43d9-bdcb-7aaaded1d315","BusinessCollaboration","Online verkoop","",""
"438aaefa-d198-40a7-a810-96dff5f6b759","BusinessEvent","Business Event","",""
"c0c4c85b-ed2e-45aa-83b4-f6e03276296b","BusinessInterface","Channels","",""
"92bd1012-9a7f-4500-99cd-e7f9e3df45d8","BusinessInterface","Communicatie- kanalen","",""
"58e405a8-26c7-4887-9f2c-39f3831427c9","BusinessInterface","Live chat","",""
"c9624663-5c30-4200-b112-cc822d2de70b","BusinessInterface","Sociale media","",""
"197c6209-a2e8-41e6-87bc-36e90fa79f64","BusinessInterface","Telefoon","",""
"5632cf2f-ccbd-4e0e-baee-78604aa5ef34","BusinessInterface","Website/app","",""
"e262c812-0ac7-47f8-b4b9-96c72e292288","BusinessProcess","Business Process","",""
"398288b0-3a7f-4668-bff6-1ff647b1467f","BusinessProcess","Business Process","",""
"52518cc7-eb6d-42b3-9abb-0ded7c279b37","BusinessProcess","Grond- operaties","",""
"da4d0799-5329-43dd-b9c0-d1a8fe5187ba","BusinessProcess","Key activities","",""
"e5b4a03d-b4e9-4544-8e9d-b60d999219a6","BusinessProcess","Marketing","",""
"510e6fae-da5c-4e9e-8133-97dd548e9c85","BusinessProcess","Vlucht- operaties","",""
"ec96b5f1-486e-45d7-9cb4-3f2fbcca70fb","BusinessService","Business Service","",""
"c59552a9-4e17-42a4-9721-fb334351e473","BusinessService"," Service","",""
"2bb4eddf-d1f0-4226-a044-77f7082bd120","Product","Directe korteafstandsvluchten","",""
"b40ff5ef-8d2f-488e-ab55-049d9baca028","Product","Extra diensten","",""
"087403f4-d795-4c5f-9f3d-b862261ec216","Product","Geen franjes","",""
"303bf656-7ed7-4026-a9a6-f657adbb92ea","Product","Lage tarieven","",""
"ef06d768-a199-479f-b5a5-fdbfcbc27f19","Product","Product","",""
"8ef757ac-e672-4c75-8bb9-3da731aa72f1","Product","Value Proposition","",""
"4a66b00b-2e59-47a8-a7ac-74271cc51e6b","Product","Vluchten","",""
"7d7a6af7-986e-4d42-b6d9-e73a55acc1c2","Goal","Goal","",""
"ffbc438e-c567-4400-b08f-de153bcdc098","Outcome","Outcome cost & revenues","",""
"c7cc9ca8-a4d7-43e7-b7be-78a2b10d7144","Value","","",""
"c60291b0-dcac-43bc-a261-63f683599a98","Value","","",""
"425f4695-6d06-4b7c-8a4e-589c859536c2","Value","Cost structure","",""
"58a7cced-abbb-4b94-96d1-92aa810cd10d","Value","Hoog passagiersvolume","",""
"9e32bd4f-cc50-42db-b644-3a3dda7505cb","Value","Lage investeringskost","",""
"deabee7b-6ca9-432c-893b-408d14921f41","Value","Lage landingstarieven en snelle doorlooptijden","",""
"ae583bf0-e1dc-46d7-a4da-fc6b5f3663f2","Value","Low landing fees and quick turn around times (copy)","",""
"8caac555-dc21-4d7d-ac37-f2a13aa27a53","Value","Marge op betalende diensten","",""
"9ffc489e-f797-4b44-86db-63db8044902f","Value","Revenue streams","",""
"7043a9ee-ba84-48a4-8e2a-365e845b3ab0","Grouping","Grouping","",""
