"ID","Type","Name","Documentation","Specialization"
"id-0aac4c62e89b40fc8624be9719275d77","ArchimateModel","MangiaTranquillo","",""
"id-84ef9e7a28a74badbb383755d9c68a65","BusinessActor","Hospital","",""
"id-892dcb069ec64a7a855b975dd08a1b92","BusinessEvent","Hospital Requests New Order","",""
"id-a7383b30cc3e4b259dba43786f662df4","BusinessFunction","Handling Hospital Catering","",""
"id-76f2d90771ef49d4826a7eee05c2a6ce","BusinessInterface","WebApp","",""
"id-4bf665a1f0dc46949f679ba17cf9cc28","BusinessObject","Order","",""
"id-212836588b274c92bbdc06c0116a6008","BusinessProcess","Filter for current patient","Here the food is inteded to be composed of breakfast, launch and dinner.
This will be a subprocess with multi instance parallel process.",""
"id-cf086e6e67d744859d438487344bbf97","BusinessProcess","Get offered menu","",""
"id-fc122de6c6d64387b288740fbdeee2e2","BusinessProcess","Get Order","",""
"id-0b2c2a7a208a4f409587b91a6304780e","BusinessProcess","Handle Hospital Meal Order Process","",""
"id-f355b941cea74d0b9d8fc18d0ed8b2a3","BusinessProcess","Handling Hospital Catering","",""
"id-2744bd41cfbf49d1b11f5d2355bc17b2","BusinessProcess","Order Preparation Process","",""
"id-52682d1f1d164384a9a76ea91c8a41f0","BusinessProcess","Order Submission Process","Here the single customer is creating an order made of THREE meals.",""
"id-94417559109e439cbbf6616302b32938","BusinessProcess","Preparation","",""
"id-120a5ef8c34f4262893046287657d544","BusinessProcess","Preparation Planning","",""
"id-adffaa1ef3274256b6728067d7ca8bc9","BusinessProcess","Start the meal order","Here the Sanitary Stuff produce an order for each member of the department, in particular patients. It uses an Ipad that is moved around beds.

",""
"id-1c0becadafc941a28428061a30b98493","BusinessRole","Healthcare Worker","",""
"id-36e890da00e140c09914edaa6883bb16","BusinessService","Meal order submission Service","",""
"id-f4078d0a2a8b4cf8888f14ac4feb32b1","ApplicationComponent","CRM System","",""
"id-2ba501837de848b08af00e3afc169b12","ApplicationComponent","Order manager","",""
"id-e4f20a20f7a840f1ac6050f3eea8dae3","ApplicationFunction","Customer Management","",""
"id-5b8a49054b7d49edab322feb21e5e805","ApplicationFunction","Inventory Management","",""
"id-2c54789f12414f3bb3d11c68202a8e3c","ApplicationFunction","Menu Evaluator","",""
"id-023955d9cdac44f89abea7aa06e1e25c","ApplicationFunction","Order Management","",""
"id-9bb30f3677cb43c483448209cc9eb69b","ApplicationInterface","CRM HTTP REST APIs ","",""
"id-d3c5799b50a84541ba0f39f0d3d332c1","ApplicationInterface","HTTP REST API's","",""
"id-5b9243e3505d40afad266bdb89c85058","ApplicationInterface","National Health System API","",""
"id-81a88ac8f5454333a35b5c24b75b04fa","ApplicationInterface","WebApp","",""
"id-4b2c3942da4349f4ac90836071037e63","ApplicationService","Filtering Service","",""
"id-de6fbf9c37e448b4a22a4fcf738ea445","ApplicationService","Menu Offering Service","",""
"id-b9714c076afd45d290a7da63fe92af41","ApplicationService","Ordering service","",""
"id-67747d3925954590bfa49f29ddc77128","DataObject","Order","",""
"id-038857018cd34ee6aaa3ec72665f9e24","Junction","Junction","",""
"id-815dac50fa2a4611a8ff8e57d82622d2","Junction","Junction","",""
