"ID","Type","Name","Documentation","Specialization"
"id-47addbc94ac742d7bb384e40876a8a6e","ArchimateModel","(new model)","",""
"id-a7c0ccf6c11342079885c86e4180dab1","BusinessActor","Empleado","",""
"id-1de3658243ef4e0c9a65614bbc5a9f17","BusinessActor","Propietario","",""
"id-d9bc3b924f71417983fc2a770f9c92a4","BusinessCollaboration","Despacho de mercancía","",""
"id-48e4c7ffe69b4f8c9542c83279705d6e","BusinessEvent","Entregar producto","",""
"id-9f1c92c5b8c24a89861d7b92a386f710","BusinessEvent","Recepción pedido","",""
"id-b6df035f074745a096936d7b383080c9","BusinessFunction","","",""
"id-d64366b426d94000a3c156cb916dbc55","BusinessFunction","Despacho de pedidos","",""
"id-e17352e1d30d4038871c26670d472f5c","BusinessFunction","Entrega de pedidos","",""
"id-41f113b390624611a6274405aec7615f","BusinessFunction","Gestión de clientes","",""
"id-43cd83971a1648438b45aaacbb560cc9","BusinessFunction","Gestión de inventarios","",""
"id-fd43827b3b9448a8bae8cf2fee8b62f0","BusinessFunction","Pagos","",""
"id-6816e368b13b463b8279162f16f43f80","BusinessFunction","Venta de productos","",""
"id-69fdf88eb5324e34bdeaa694c1e61836","BusinessInterface","Página web","",""
"id-12e6ebb3133d4e25a05676197103664e","BusinessProcess","Despacho pedido","",""
"id-b2d13b2749414857b30ead0cfc9886d4","BusinessProcess","Preparación pedido","",""
"id-01ffcea1a4424b20a583f97b338337e3","BusinessProcess","Recepción pedido","",""
"id-97dab1c4634c421388e3809b051140b2","BusinessProcess","Venta de productos","",""
"id-d4c1593d1c3e45d4a80c5118108d5a87","BusinessRole","Domiciliario","",""
"id-d32cf5f754c04ae8bd380c3b9fa211a1","BusinessRole","Tendero","",""
"id-7907697021574546a76171de7e74a26d","BusinessService","Solicitar pedido","",""
"id-8667612f22c04f1f9931edb521b7ea3f","BusinessService","Vender productos","",""
"id-03b8aeadf1774d63b9711c4e05339996","Contract","Acceso al sistema","",""
"id-71966cbc86214e0a9e61168a0cb1133d","Contract","Contract","",""
"id-d82b1b3f472746b8b684318dc8dca94f","Product","Pedidos en linea","",""
"id-490fb405bd284527b9da59b07bc7be08","ApplicationComponent","Control de acceso","",""
"id-74d53ef4d96a4848a44536e6fcb0146c","ApplicationComponent","Gestor de envíos","",""
"id-894541c4889e4e299d1b47be4a1866fd","ApplicationComponent","Gestor de inventarios","",""
"id-a96d4f1c16df40a1bdd3541d13eb0271","ApplicationComponent","Gestor de pedidos","",""
"id-6cd636c9575048c99e83f661011c424d","ApplicationComponent","Gestor de usuarios","",""
"id-fd19d400563241d0b2182f3fb868b9da","ApplicationComponent","GUI tienda web","",""
"id-fadf54ba14cb472688b466ea43962a2a","ApplicationComponent","Pedidos","",""
"id-0cef36a600384a2280cb35a857cf31b9","ApplicationFunction","Actualización de inventario","",""
"id-5c3a1e353ad248a69eed40d69c7217b8","ApplicationFunction","Consultar estado del pedido","",""
"id-39116ebe6a144c1aaf633b12314fa440","ApplicationFunction","Control de acceso","",""
"id-6e0f07b1fc2e4cf5920cdd5df1ef5f15","ApplicationFunction","Historial pedidos","",""
"id-0e09fa28db1a450c88844698f3712c91","ApplicationFunction","Realizar pedido","",""
"id-9616095e9b44442a9e9c1aea4d560b9b","ApplicationInterface","Actualización","",""
"id-b0e786c83e65414ab52f2fcc59fae7c6","ApplicationInterface","Administración","",""
"id-ed4fa1fe12994779871bdd86716ecadb","ApplicationInterface","Application Interface","",""
"id-377c5cdffd37495ebe6cbc17d2d4c234","ApplicationInterface","Envíos","",""
"id-cb0453f447c149089d163d029c12efd9","ApplicationInterface","Registro de pedidos","",""
"id-a857d85f1331409c9c21b312ce22751c","ApplicationInterface","Validación","",""
"id-e03d03fc409e4eb0b903eadc2637ba5f","ApplicationInterface","Venta","",""
"id-84e6fbcc6ebf4ce8ab5b1921e509a178","ApplicationService","Gestionar estado de pedidos","",""
"id-84a0a8456a124b799ede86175e619a7d","ApplicationService","Gestionar pedido","",""
"id-0049dc4440d744c0be9148181b70b5d4","Value","Confianza en la entrega del producto","",""
"id-6a6856142f834093b2df69d24d0ce2b8","Value","Registro de pedidos","",""
"id-16c48505e6d5440184c3c98e468bc997","Location","Back office","",""
"id-e3fb9073bd9342418b0a1fb40afa86d0","Location","Front office","",""
"id-8e3dded65a3f44e2b62d8d0a541e3ff8","Location","Location","",""
"id-cff631586057409683dc8fff91e3a67f","Location","Tienda","",""
