"ID","Type","Name","Documentation","Specialization"
"id-3c8c3c416c7943d9a2277c432e91db2c","ArchimateModel","EA hWh","",""
"id-66f677a948574f248650fb5ff720d2b2","ApplicationFunction","Aanbesteding","",""
"id-10813de9198543c393a3661b57b97b1a","ApplicationFunction","Agenda Beheer","",""
"id-1e7b3118c4f14cac8f0aa8b880c7ad48","ApplicationFunction","Architectuur Beheer","",""
"id-0a28858389f14a59bb2d8e596f6c23f3","ApplicationFunction","Architectuur Ontsluiting","",""
"id-b91ce725a20948178d0f3336db2ab269","ApplicationFunction","Asset Creatie","",""
"id-9437a29a1210482e87e86f3991f0ef39","ApplicationFunction","Asset Gegevens Beheer","",""
"id-27638fc3113a41c3bdb992f6a18bfb04","ApplicationFunction","Asset Management","",""
"id-0d791f1d35764ee49abaff13da1e29b1","ApplicationFunction","Asset Monitoring","",""
"id-ee109e33e21e464d8b6a695b2976aad8","ApplicationFunction","Asset Onderhoud","",""
"id-abacfcd6e7a247beb3a79a0771050e2a","ApplicationFunction","Big Data Analyse","",""
"id-b45e425fbbc94bb1ad57f16714eddfee","ApplicationFunction","Contacten Beheer","",""
"id-00248518a7d34e78895825e8c24e6ce0","ApplicationFunction","Contract Beheer","",""
"id-900994e6ec5b4f71b74cac0217556068","ApplicationFunction","Contract Management","",""
"id-fcb6496e75d045d8b2523a93a9710cb5","ApplicationFunction","Control en Verantwoording","",""
"id-ef87b4beb89a4e9fb93f1e2351af38fa","ApplicationFunction","Dashboarding","",""
"id-ad051e1a2a9e419f9a230cb8c3b4dc8c","ApplicationFunction","Document Archivering","",""
"id-e1132d51848b4cc39f4e32ea18b92e41","ApplicationFunction","Document Beheer","",""
"id-c41289b8159f41a4ae4a907df8f145cc","ApplicationFunction","Document Bewerking","",""
"id-a8d3946e73bd408a8b6e95a21911293a","ApplicationFunction","Email functie","",""
"id-8522f720379d4e8a9008a5ec5f70f5ba","ApplicationFunction","Enterprise Architectuur","",""
"id-bb50ab0c7bcf40bd848acb9bb4becca9","ApplicationFunction","Finance","",""
"id-eb3ff22e65524f1388c27e3a6360332c","ApplicationFunction","Gegevens Analyse","",""
"id-36b84b5ba4db4b7c9281ddde248215dd","ApplicationFunction","Gegevens Analyse","",""
"id-492d456ccbba4bd496178095eee9d110","ApplicationFunction","Gegevens Integratie","",""
"id-e65baa002172417bbfc70d99dddb5721","ApplicationFunction","Gegevens Inzameling","",""
"id-f81527e38fa4437b8670d9323b8b7b10","ApplicationFunction","Gegevens Management","",""
"id-6c30c6e59c524feabea2d4f0bc3af6a5","ApplicationFunction","Gegevens Metadatering","",""
"id-50901b0a0f6c406db65713d5878691ae","ApplicationFunction","Gegevens Ontsluiting","",""
"id-6039c8b1d74b4fafb341f354fee3740c","ApplicationFunction","Gegevens Opslag","",""
"id-39f965ff6dec4f1da71b218899fc3fbf","ApplicationFunction","Gegevens Transformatie","",""
"id-7abb9796404d440a8aede59ff297f1fa","ApplicationFunction","Huisvesting","",""
"id-c00f8103cb8c4a20a2bdfe68ceca5f3b","ApplicationFunction","Identity & Access","",""
"id-e9ac92363dae4321a0bb0f80da8c4551","ApplicationFunction","Inkoop","",""
"id-89f163c3034e49a88cc526997975eca2","ApplicationFunction","IT Management","",""
