"ID","Type","Name","Documentation","Specialization"
"_Wyy00NYTEemWXYASHrbj8g","ArchimateModel","Data model test","",""
"_4LiN8W8PEDeAXN35aHrQDw","BusinessActor","Client","",""
"_O1igsW8QEDeAXN35aHrQDw","BusinessActor","TESP","",""
"_4DddMDsHEDaQfcpB0MHjlw","BusinessObject","Employment Contract","",""
"_2TlDQG8OEDeAXN35aHrQDw","BusinessObject","Employment Contract","",""
"_95I3ITsHEDaQfcpB0MHjlw","BusinessObject","Letter of Intent (LOI)","",""
"_g1FcoTsIEDaQfcpB0MHjlw","BusinessObject","Memorandum of Understanding (MoU)","",""
"_-TBWwTsHEDaQfcpB0MHjlw","BusinessObject","Non-disclosure Agreement (NDA)","",""
"_-nntwTsHEDaQfcpB0MHjlw","BusinessObject","Project Contract","",""
"_lkubkDsIEDaQfcpB0MHjlw","BusinessObject","Spare Parts Contract","",""
"_j4OFwG8PEDeAXN35aHrQDw","ApplicationService","LabOps PTT","",""
"_fjzbgG8VEDeAXN35aHrQDw","ApplicationService","Out of Scope: Financial Planning Tool","",""
"_FcoGAG8PEDeAXN35aHrQDw","ApplicationService","PET","",""
"_-5NxcG8QEDeAXN35aHrQDw","ApplicationService","POE","",""
"_oKYCAW8QEDeAXN35aHrQDw","ApplicationService","TESP PowerBI","",""
"_GSbFkW8PEDeAXN35aHrQDw","ApplicationService","WIN","",""
