"ID","Type","Name","Documentation","Specialization"
"id-ad036cc7f92c411697e6e123510a4664","ArchimateModel","SwHelpDesk","",""
"id-c3424652edb1436ebbfb4078548daae7","Capability","Capability","",""
"id-e6a5fe2cfd9c423383e07166749be294","Capability","Capability","",""
"id-a6e5d06bf13a4b02a284e6b92e5fcb0e","BusinessActor","Analista de redes","",""
"id-3d8766c2811b413eb6de9de4a87f4228","BusinessActor","Analista de segurança","",""
"id-1755a5a7b27549828cb82761b85d3d88","BusinessActor","Atendente de help desk","",""
"id-9b2b94fcc1884f4888b70b2a881d93d9","BusinessActor","Business Actor","",""
"id-24d04a0bc8434640b9c3bda235a61fd0","BusinessActor","Cliente","",""
"id-8ffdb91c50724ee7b128635152bfb60b","BusinessActor","DBA","",""
"id-f8acbf1179a84bb7a38bb52720d25923","BusinessActor","Gerente de relacionamento de clientes VIP","",""
"id-82972fe7bcff49d681361bd8a7b0ccb3","BusinessActor","Programador de aplicação","",""
"id-dafe7f78f13c40228e248fad35de53ca","BusinessEvent","Atendimento cancelado","",""
"id-8731bda271da4071ac8c78407c7d7e0e","BusinessEvent","Chamado avaliado","",""
"id-5fdf2a4dc07b4ee6b78b10273a833c78","BusinessEvent","Chamado pendente enfileirado","",""
"id-079e347324aa49548337934385bf3e81","BusinessEvent","Chamado pendente enfileirado (copy)","",""
"id-7bfaf3e0b9f4491e92bc73e2ad7ca8bc","BusinessEvent","Chamado resolvido","",""
"id-15d904107e60477eb383c43a478bcab1","BusinessEvent","Cliente entra em contato para suporte","",""
"id-196546f8fcf94b9aa46f6f9dd15cb690","BusinessEvent","Pesquisa enviada","",""
"id-0014c774d552475690a659e6bef685d7","BusinessFunction","Adicionar solução na base de soluções conhecidas","",""
"id-c3cc6ca99adb4b9c892827e2b5db328d","BusinessFunction","Aplicar solução encontrada","",""
"id-2fd55258182449cfbdb8228653d502f8","BusinessFunction","Business Function","",""
"id-56c1990969324949a0cbf5128586a061","BusinessFunction","Business Function","",""
"id-597b5bee28bd44169b70498254f357d7","BusinessFunction","Business Function","",""
"id-cc35aabbcab244558b2601e5e600f889","BusinessFunction","Cancelar atendimento por falta de contrato","",""
"id-4d1f6efd4fe64742a8cd50d0bc76e62f","BusinessFunction","Checar o nro de contrato de suporte fornecido pelo cliente","",""
"id-e9563337168e401cb6de8db587d197c5","BusinessFunction","Classificar a especialidade para resolver o chamado","",""
"id-074ee1fd0a2147a29d722a7bd483a8d1","BusinessFunction","Coletar retorno de avaliação do cliente","",""
"id-a19e75a9a01c43629c2097ec2c7bf311","BusinessFunction","Confirmar solução com o cliente","",""
"id-bcad0f297d964b7d873de26b6f55a17c","BusinessFunction","Confirmar solução com o cliente","",""
"id-d03ba3dc2ade4638998e637ec80b1b93","BusinessFunction","Consultar a fila de chamados por especialidade","",""
"id-cd87f9abcdf64b3b87e18098826a8a15","BusinessFunction","Decidir envio do chamado para outro especialista","",""
"id-4850abe633084d50bbae4ba4180d78a2","BusinessFunction","Encerrar atendimento do chamado solucionado","",""
"id-435ed90b5ce64968b5a92f6eec550313","BusinessFunction","Enviar para o eMail do cliente a mensagem de pesquisa com opções de notas de avaliação","",""
"id-97cbad5d764b4aa8a420efcde30ee95e","BusinessFunction","Fechar chamado com solução encontrada","",""
"id-e19eb3b707094401b7ed0248d033ae8e","BusinessFunction","Gerar protocolo para o chamado do cliente","",""
"id-236a3c2d8e2c439e9deeff2b1ef2c838","BusinessFunction","Movimentar chamado para a fila por especialidade","",""
"id-56bc53ebcfde4f138105148d7a42a152","BusinessFunction","Pegar o 1o chamado da fila na sua especialidade para resolver","",""
"id-e323c58b64f344c997f750d8d9005c0f","BusinessFunction","Pesquisar base de soluções conhecidas","",""
"id-91b120a35cf647b5bc4c45da0cc7755f","BusinessFunction","Registrar a ação realizada sobre o chamado","",""
"id-9f62490364e945088f04bcc4a0d278bc","BusinessFunction","Registrar dados de contato do cliente","",""
"id-df84346c11dc4419948883025244b6b0","BusinessFunction","Registrar sintoma do problema","",""
"id-2a2f67cf12ad4a13b91a08448580d7f9","BusinessFunction","Transferir chamado para outro especialista","",""
"id-e74967f97d6c4730aba5a944123c83cb","BusinessProcess","Avaliar atendimento","",""
"id-0b7ac7cf057245cba33d4a6c7157d95a","BusinessProcess","Registrar chamado","",""
"id-d2fc1f29dd2d4c2e8c8a43577c5cf9d4","BusinessProcess","Solucionar chamado em aberto","",""
"id-7091aeb849d24388b3ea37b2d3396e1e","BusinessRole","Avaliador","",""
"id-8127bf0af98d40c0ac86b8196af093c1","BusinessRole","Ponto único de contato direto com o cliente","",""
"id-4bb65631974c412cb0d9e9f630316d19","BusinessRole","Solucionador ","",""
"id-1c93771b6dd5462b98e8c0a70303a487","ApplicationComponent","Application Component","",""
"id-986ccc57cc0340df928d55e951121ae4","Facility","Facility","",""
"id-f818ec790d134c9b86ad11bb3603d756","TechnologyInteraction","Technology Interaction","",""
"id-5224a6e352ec404fabc60d61194d21f9","TechnologyInteraction","Technology Interaction","",""
"id-d1e7ec087da94914a75d6e9210f49d18","Assessment","Medir o tempo de atendimento","",""
"id-6ce6e1ecaa45479c843d2324a282c26b","Assessment","Pesquisar satisfação com cliente","",""
"id-9dd071a89c3c4248b994bbf556143ca0","Assessment","Registrar em Software","",""
"id-6c868206926f4690a00cb38d4d2efb05","Constraint","Ao resolver o chamado, registrar uma descrição da solução para associar ao registro do chamado, junto com a data e hora da solução e o tempo total de atendimento]","",""
"id-aec623aaa9204d5a91680834a7568e0b","Constraint","Criar identificadores de grupo de especialidade para cada funcionário que atua no suporte ao cliente","",""
"id-a28eb14e3ff34dbe8794bdac54872d95","Constraint","Email disparado ao encerrar um atendimento/solucionar chamado, contendo opções de avaliação por notas que o cliente deve selecionar","",""
"id-5315cb9a8c034ef39183b80a73710fd6","Constraint","Email disparado ao encerrar um atendimento/solucionar chamado, contendo opções de avaliação por notas que o cliente deve selecionar","",""
"id-74bb5d7e21c34c22b75cdfefc75c1231","Constraint","Incluir no banco de soluções a descrição do sintoma/problema e a descrição da solução","",""
"id-e615217e6d264b92a297ca3f20734f3d","Constraint","Informar a descrição do sintoma para que o sistema mostre uma descrição de solução associada (pesquisa por palavras)","",""
"id-5b34d57aa8e649348ad8b1f87df48a82","Constraint","Informar a identificação do técnico, descrição da operação feita, data de hora da operação","",""
"id-eb37e48378a1440db4103cc48e776ca3","Constraint","Informar identificação do grupo de especialidade de destino e chamado e data e hora da operação","",""
"id-4fbcfd21abbe44c1b0167315c066631a","Constraint","Informar identificação funcional do profissional de destino do chamado e data e hora da operação","",""
"id-a22fb2227d234489873af522f66fc22a","Constraint","Informações preenchidas por um atendente, contendo: protocolo gerado pelo sistema, data e hora, descrição do sintoma do problema, identificação do cliente, identificação do atendente, forma de contato, prioridade, especialidade técnica envolvida","",""
"id-e6c9fec7edb14406b24bf4a42b3d879b","Constraint","Mecanismo de totalização das repostas devolvidas por e-mail, agrupadas por nota atribuída","",""
