"ID","Type","Name","Documentation","Specialization"
"id-ec300fb923304a37861270f84dde5dc5","ArchimateModel","(new model)","",""
"id-66e1bc3d86c9471dac4656b38e601ebc","Resource","tienda de barrio","",""
"id-a64d599851c44780a9c704b49c3c93e9","BusinessActor","ckiente","",""
"id-0624a4b43d704d128c49d3ea6c4106be","BusinessActor","Dueño","",""
"id-00d48e5fcc0b42f48474d3e91706b695","BusinessActor","Dueño","",""
"id-ccdb0a206e384e689d037c281e2db17e","BusinessActor","Empleado","",""
"id-c423295f52d948e0931d3f1ef209f03c","BusinessActor","Empleado","",""
"id-cd57654b7f2b43cdb45e4395a69977ec","BusinessCollaboration","desapcho de mercancia","",""
"id-5498614b900646b1a4591d5de0b9015f","BusinessCollaboration","Despacho de mercancia","",""
"id-f5f68938b4d649c8bd4b78c23575186f","BusinessCollaboration","entrega de mercancia","",""
"id-9c8c6b301b014393a0d67d7227a8f3ba","BusinessCollaboration","Entrega de mercancia","",""
"id-10e6c1e5bd2e48baa696756bdc975bca","BusinessEvent","Pedido enviado","",""
"id-87443ffc5675458daf9f7559e1f0981f","BusinessEvent","Pedido enviado","",""
"id-8fb9113e34b744f3a12a63ac15cbe043","BusinessEvent","Realización de la venta","",""
"id-7219fb7532a94cb8be93f1ad78a0450f","BusinessEvent","Solicitud de pedido","",""
"id-1b887857537845c591b9d3e878b9b1f7","BusinessEvent","Solicitud de pedido","",""
"id-29fc47d9adfd4e37ba9a9e3db1e336aa","BusinessFunction","Despachar de pedido","",""
"id-63bde6a0deb54f5191e2187e2fd0da38","BusinessFunction","Entregar pedido","",""
"id-d242880d790845dc9d70adb49f762a8c","BusinessFunction","Gestionar clientes","",""
"id-4a29464341474705a1c47d68f1208b31","BusinessFunction","Gestionar de inventario","",""
"id-13fc0bcc55a54ad08c9128b2918178a9","BusinessFunction","Recibir pago","",""
"id-6ebf933715734cca8e84ec1af9b199d2","BusinessInterface","web","",""
"id-4f179070cea54654a76dabd79f18d659","BusinessInterface","web","",""
