"ID","Type","Name","Documentation","Specialization"
"7da39828-22be-4cfe-95d4-252211cceba8","ArchimateModel","Algoritme Register","",""
"id-1c84142294cf400e9655cccf9c697370","BusinessActor","Actor","Organisatorische eenheid (functie medewerker, afdeling, organisatie).",""
"d556fbbc-fdc9-4419-a64d-bce4076d9934","BusinessActor","Bedrijf","",""
"9e39a297-8538-472b-acb5-a489eab2a634","BusinessActor","Burger","",""
"02156905-8514-40f2-a666-9bd5ae02ced5","BusinessActor","CIO medewerker","",""
"c5db34a4-7f47-4087-9b97-0f208f599a36","BusinessActor","Dagelijks bestuur overheid","",""
"54f7b248-827b-4f2c-9302-cae5298e5dd8","BusinessActor","Handhavings medewerker","",""
"36aaf338-b610-476b-b56c-10713194f797","BusinessActor","Instelling","",""
"d74ebd08-e264-4727-8763-670be2913817","BusinessActor","Interne ontwikkelaar","",""
"15e6dde3-c2c5-4dff-9df3-5b5936b7cba2","BusinessActor","IT audit bedrijf","",""
"666517dc-3674-4753-9bd4-539e90f114ef","BusinessActor","Manager","",""
"6d1a9b46-d1a7-4362-9cb4-0d55c973de2e","BusinessActor","Medewerker ","",""
"6b1c8b00-eeea-42d9-9370-c36ab1e9ebb2","BusinessActor","Overheidsorganisatie","",""
"id-111e381d99214b38bee4e2b0e74c1dcf","BusinessActor","Overheidsorganisatie","",""
"0c5db364-d679-45ee-b8d0-9bc7f34e20a4","BusinessActor","Raad / Staten","",""
"eaabcdae-c03f-4bf5-ba94-5d5cca3516d5","BusinessActor","Software bedrijf","",""
"id-40bbe9b7d7144a2cb7183895a219d26a","BusinessCollaboration","Algoritme DevOps team","",""
"5f2a2a94-39fd-4b67-8487-94246389c70d","BusinessFunction","Applicatie ontwikkeling en beheer","",""
"id-759304801e5240f68f6618a8f4879262","BusinessFunction","Bedrijfsfunctie","Gedrag van een organisatie op basis van een gekozen set criteria (meestal vereiste bedrijfsmiddelen en/of competenties), nauw afgestemd op een organisatie, maar niet noodzakelijkerwijs expliciet bepaald door de organisatie.",""
"97161d58-f6a9-450f-a0f0-20178080cfba","BusinessFunction","Bronhouderschap","",""
"id-8200a3c60d2e422bb76b09395b26d772","BusinessFunction","DevOps algoritme","",""
"cf50a0ca-ba32-4f1b-8703-b9750dd06db3","BusinessFunction","Extern audit","",""
"7ab5ce55-959b-49b0-b81e-f9cde2d291c5","BusinessFunction","Functioneel beheer algoritme","",""
