"ID","Type","Name","Documentation","Specialization"
"6c4054a4","ArchimateModel","Warehouse model","",""
"86bd057d","BusinessFunction","Занесение новых объектов в БД","",""
"e1cd6b54","BusinessFunction","Контроля доступа","Spring Security Framework",""
"0f33ae2c","BusinessFunction","Прогнозирование заполненности склада по данным БД","На ближайшую неделю",""
"3f622cb7","BusinessFunction","Связь с БД","Промежуточный слой ПО, серверная сторона",""
"f867f143","BusinessFunction","Создание и редактирование данных пользователей","Spring Security Framework",""
"139b87a3","BusinessFunction","Формирование PDF","",""
"8a0d3e63","BusinessFunction","Формирование списков по результатам запросов к БД","Google Web Toolkit
",""
"b1a39a9c","BusinessRole","Администратор","",""
"55eede6a","BusinessRole","Пользователь","",""
"a56327cf","BusinessRole","Суперпользователь","",""
"eff3dc03","Product","WarehouseAS","Продукт. Автомитизированная система ""Склад"".",""
"4991c3e2","ApplicationComponent","База данных","",""
"eb98624a","ApplicationComponent","Браузер","",""
"346dfd93","ApplicationComponent","Пользовательский WEB-интерфейс","",""
"0ce445ed","ApplicationComponent","Промежуточный слой","",""
"79ac99d9","ApplicationComponent","Промежуточный слой","",""
"16c04269","ApplicationComponent","Сервер ","",""
"6f275a0e","ApplicationInterface","Data Access Service","",""
"9dfe50f3","ApplicationInterface","Контрагенты DAO","",""
"3f35bfd3","ApplicationInterface","Поставки DAO","",""
"228b793d","ApplicationInterface","Секции склада DAO","",""
"77933f56","ApplicationInterface","Сотрудники DAO","",""
"b54cd93b","ApplicationInterface","Типы товаров DAO","",""
"61370a0c","ApplicationInterface","Товары DAO","",""
"141f57c8","ApplicationInterface","Транспортные компании DAO","",""
"7110a06b","ApplicationInterface","Филиалы DAO","",""
"02035e67","DataObject","Контрагенты","",""
"8e99299c","DataObject","Поставки","",""
"5d29377c","DataObject","Секции склада","",""
"10d7a315","DataObject","Сотрудники","",""
"da661529","DataObject","Типы товаров","",""
"729a731f","DataObject","Товары","",""
"322315bf","DataObject","Транспортные компании","",""
"e92a7c7e","DataObject","Филиалы","",""
"2de76a10","Artifact","warehouse.nocache.js","",""
"ca4c1d82","CommunicationNetwork","Подключение к сети","",""
"59d9cc08","Device","Клиент","",""
"c1f1cfe0","Device","Сервер","",""
"892e7a89","Node","Сервер БД","",""
"6c40abd4","SystemSoftware","Application Server","Tomcat
",""
"0b3c2370","SystemSoftware","Браузер","",""
"3c493464","SystemSoftware","СУБД","",""
"d6a845ec","TechnologyService","Контейнер сервлетов (сервер) (copy)","Tomcat",""
"246e1acf","TechnologyService","Сервис контейнера сервлетов","Tomcat",""
"fd8c2a7e","TechnologyService","Сервис контейнера сервлетов (copy)","Tomcat",""
"28f16555","Assessment","Персонал склада","",""
"cc25f81a","Constraint","Платформа GWT","",""
"2ce2e2d5","Constraint","Язык Java","",""
"54f49bf6","Goal","Авторизация","",""
"3cf157ea","Goal","Ведение дел на складе","",""
"69e48448","Goal","Качественная работоспособная система","",""
"d681651d","Goal","Кража корпоративной информации","",""
"0bcea59e","Goal","Нарушение корректной работы компании","",""
"5e3b8aed","Goal","Нарушение работы системы путем ввода некорректных данных","",""
"05c3df8d","Goal","Незаконное использование корпоративной информации с целью получения выгоды","Продажа или непосредственное использование корп. инф.",""
"ff06366a","Goal","Отсутствие ошибок в работе системы","",""
"2206043c","Goal","Поиск несоответствий с требованиями заказчика","",""
"7182824c","Goal","Поиск позиции по ID-номеру","",""
"c8aed9eb","Goal","Получение информации и поставках","",""
"6d62ec29","Goal","Получение информации о заполненности склада","Кроме информации на данный момент производится прогнозирование заполненности склада на ближайшую неделю. Если емкости склада не хватает, то требуется запланировать поставку товара со склада в филиалы, либо отменить одну или несколько ближайших поставок, либо провести реарганизацию в наиболее заполненных секциях.",""
"a184235d","Goal","Получение статистики о поставках","",""
"424bdc69","Goal","Постановка новых задач для программистов и базистов","",""
"3186fb41","Goal","Постановка полных, ясных и последовательных требований для разработчиков","",""
"5d30ccdc","Goal","Разработка и поддержание наиболее оптимальной, целостной и непротиворечивой БД","",""
"46ada8a3","Goal","Распечатка накладной","",""
"92a6179c","Goal","Редактирование сведений существующих пользователей","",""
"5f8b5e49","Goal","Создание или редактирование информации о поставках","",""
"0c42179f","Goal","Создание нового пользователя","",""
"ec32755f","Goal","Уменьшение логистических издержек","",""
"b084a455","Goal","Упрощение получения необходимой информации","",""
"8e507e11","Goal","Устранение конкурентов","",""
"a2829614","Requirement","Минимальная кодовая база","",""
"e8456118","Requirement","Недопущение распространения информации за пределы компании","Реализуется с помощью Spring Security Framework
",""
"eba13aec","Requirement","Низкая нагрузка на центральный сервер компании","1) Google Web Toolkit создает javascript-код для клиентской части, тем самым оставляя часть бизнес-логики приложения на клиентской части, что снижает количество запросов к серверу. Вся визуальная часть обрабатывается на клиенте.
2) Google Web Toolkit предоставляет механизм асинхронных вызовов серверных сервис-методов вкупе с AJAX-подобным обновлением страниц, что снижает нагрузку на сервер и канал связи, т.к. не требуется дублировать уже переданную однажды информацию.",""
"ba5a54ca","Requirement","Решение логистических проблем","Планирование закупок руководством
Принятие решений о продолжении сотрудничества с конкретными транспортными компаниями по результатах их деятельности
",""
"b6379cff","Stakeholder","WEB мастер","",""
"9a724b52","Stakeholder","Администратор","",""
"94398274","Stakeholder","Аналитик","",""
