"ID","Type","Name","Documentation","Specialization"
"_OT3r4CdbEe2TQ77rRj9fOQ","ArchimateModel","TO BE op kennisplatform","",""
"_FupqQLW4EDu0a-xhQTQygg","Capability","data collectie","",""
"_eIm3sLW4EDu0a-xhQTQygg","CourseOfAction","Course of Action","",""
"_P5VhoAmKEDuGtqN7sGkNeg","CourseOfAction","Green Deal","",""
"_4V98cLW4EDu0a-xhQTQygg","CourseOfAction","ondersteunen lokale door het samenbrengen en de visualisatie van de data","",""
"_cIwf0LW4EDu0a-xhQTQygg","CourseOfAction","voldoen voldoen aan de Europese rapporteringsvereisten","",""
"_gfRZIAmKEDuGtqN7sGkNeg","BusinessActor","Installateurs","",""
"_e2NJkAmKEDuGtqN7sGkNeg","BusinessActor","Installatiebedrijven","",""
"_d1QC4AmKEDuGtqN7sGkNeg","BusinessActor","Retailzaken","",""
"_q8dwwAmKEDuGtqN7sGkNeg","BusinessEvent","interventie","",""
"_y18OcAmKEDuGtqN7sGkNeg","BusinessEvent","rapportering green deal","",""
"_OLTtgLW4EDu0a-xhQTQygg","BusinessFunction","data collectie","",""
"_2Ls2kLWzEDu0a-xhQTQygg","BusinessObject","Artikel 14 (1) en (3) van de","",""
"_NW2HgLW0EDu0a-xhQTQygg","BusinessObject","Artikel 15 lid 7","",""
"_MNhEwLWwEDu0a-xhQTQygg","BusinessObject","Beleidsnota Energie 2019-2024","",""
"_0XCbALWzEDu0a-xhQTQygg","BusinessObject","Energie Efficiëntie Richtlijn 2012/27/EU","",""
"_UZ_-ALWwEDu0a-xhQTQygg","BusinessObject","EU fit for 55","",""
"_7K3SAAmKEDuGtqN7sGkNeg","BusinessObject","excel file gegevens","",""
"_KGtMcLW0EDu0a-xhQTQygg","BusinessObject","Hernieuwbare Energie Richtlijn 2018/2001","",""
"_JG0ZkLWwEDu0a-xhQTQygg","BusinessObject","Regeerakkoord 2019-2024","",""
"_Q9py8LWwEDu0a-xhQTQygg","BusinessObject","Vlaams energie- en klimaatplan 2021-2030 VEKP","",""
"_sg9pYAmKEDuGtqN7sGkNeg","BusinessProcess","loggen interventie","",""
"_4MmxIAmKEDuGtqN7sGkNeg","BusinessProcess","versturen gegevens","",""
"_1XN4YAmKEDuGtqN7sGkNeg","BusinessProcess","verzamelen gegevens","",""
"_IlX_wLW4EDu0a-xhQTQygg","Product","energiebalans","",""
"_K2bcYLW4EDu0a-xhQTQygg","Product","warmtekaart","",""
"_u6fiAAmJEDuGtqN7sGkNeg","ApplicationComponent","Bronze (raw)","",""
"_tES1YAmJEDuGtqN7sGkNeg","ApplicationComponent","kennisplatform","",""
"_9KuGYAmJEDuGtqN7sGkNeg","ApplicationComponent","Landing zone","",""
"_xSiXcAmJEDuGtqN7sGkNeg","ApplicationComponent","Silver (curated + linked)","",""
"_numtoAmKEDuGtqN7sGkNeg","ApplicationComponent","vloeistoef boekhouding software","",""
"_FgKHUAmKEDuGtqN7sGkNeg","ApplicationService","Eigenaarsgegevens","",""
"_HHBXcAmKEDuGtqN7sGkNeg","ApplicationService","Gebouwgegevens","",""
"_A11GMAmKEDuGtqN7sGkNeg","ApplicationService","Generic services","",""
"_Cgi7kAmKEDuGtqN7sGkNeg","ApplicationService","MAGDA","",""
"_DsS9AAmKEDuGtqN7sGkNeg","ApplicationService","Persoonsgegevens","",""
"_6FdloAmJEDuGtqN7sGkNeg","TechnologyInterface","DATA IN","",""
"_X2QU4AmKEDuGtqN7sGkNeg","Driver","geen F-gassen tegen 2025","",""
"_Bzw4JrWvEDu0a-xhQTQygg","Driver","geen F-gassen tegen 2025","",""
"_Qjk7gLWvEDu0a-xhQTQygg","Driver","omslag maken naar duurzaam verwarmen en het vergroenen van energiedragers","",""
"_RB3P8AmKEDuGtqN7sGkNeg","Driver","verminderen broeikasgassen","",""
"_Bzw4IrWvEDu0a-xhQTQygg","Driver","verminderen broeikasgassen","",""
"_UiYwYAmKEDuGtqN7sGkNeg","Goal","minder F-gassen bij retail","",""
"_Bzw4JLWvEDu0a-xhQTQygg","Goal","minder F-gassen bij retail","",""
"_E7hd0LWwEDu0a-xhQTQygg","Outcome","doelstellingen voor groene warmte en restwarmte","",""
"_fX1dMLWzEDu0a-xhQTQygg","Outcome","uitstoot van broeikasgassen reduceren met minimum 55% t.o.v 1990","",""
"_EH-kMLW0EDu0a-xhQTQygg","Requirement","Requirement: analyse beleidsinstrumenten die hiervoor als hefboom kunnen ingezet worden","",""
"_8kin8LWzEDu0a-xhQTQygg","Requirement","Requirement: analyse van het potentieel voor efficiënte warmte en koude","",""
"_ZWz5cLW0EDu0a-xhQTQygg","Requirement","Requirement: analyze het gebruik van restwarmte en -koude in de verwarmings- en koelingssector","",""
"_UpsDALW0EDu0a-xhQTQygg","Requirement","Requirement: een analyse van het potentieel inzake energie uit hernieuwbare bronnen","",""
"_4FyvQLW0EDu0a-xhQTQygg","Requirement","Requirement: rapport met nationale overzicht van warmte en koude","",""
"_ojSDoLW0EDu0a-xhQTQygg","Requirement","Requirement: rapport projectie warmte- en koudevraag naar 2030 en 2050","",""
"_kJ5okLW0EDu0a-xhQTQygg","Requirement","Requirement: warmtevraagkaart = een kaart waar gebieden met een hoge en lage warmtevraag worden geïdentificeerd","",""
"_NQVfEAmKEDuGtqN7sGkNeg","Stakeholder","EU","",""
"_Bzw4ILWvEDu0a-xhQTQygg","Stakeholder","EU","",""
