"ID","Type","Name","Documentation","Specialization"
"id-c1805bfb164c441a939f5face53980a8","ArchimateModel","Trabajo Final","",""
"id-cf910d44ef7945fcb3c836526c724092","Capability","","",""
"id-e794be05e5974f87a7a19e6f7fa7778b","Capability","Asignar atributos alfanuméricos","",""
"id-0e47fd0678b84c838bc615d7f54fa843","Capability","Asignar rol","",""
"id-25ceba36463443f39d6924b0de201cbc","Capability","Asignar y editar atributos alfanuméricos","",""
"id-39fc8f6393fd490f8e9a666907db4a3d","Capability","Bajar datos manualmente","",""
"id-b6ad02ca0bc0425b8913196159b5fe3d","Capability","Búsqueda de información","",""
"id-76448d0f900c4f86982d3ede0db39bfb","Capability","Captura multimedia","",""
"id-dbe58ef1b65a488a9df9a27486925a5f","Capability","Capturar multimedia","",""
"id-9cda4a6e3cb34f0cb864a3034e0a3a3a","Capability","Comparación de información de mapas","",""
"id-ff2d9d73bf8345faa515ca4862dad525","Capability","Creación del reporte","",""
"id-9a769e4525fb4db98c7ecbcb6e715d31","Capability","Creación del reporte (copy)","",""
"id-9d273e5724fe4559ae7993256c5a8b39","Capability","Crear formulario","",""
"id-c0a7b592fab64c6488743f04f9d7689f","Capability","Crear formulario","",""
"id-165c59aed6d947b4b679eee576a1ea22","Capability","Cálculo de áreas y distancias","",""
"id-f199be8bac654b07b6f88799a37fd02e","Capability","Descarga del reporte","",""
"id-b75ca3e7237f4140b99b0ebef3a4a34d","Capability","Editar atributos de las fotos geolocalizadas.","",""
"id-a5db7cf82dd8434ca705e7a43a8c203a","Capability","Editar datos de formulario","",""
"id-2c25ea7696fa4a3dbe599aee29712170","Capability","Editar formulario","",""
"id-30f3635e49cb475b92a89e6c21ae6e96","Capability","Editar multimedia","",""
"id-f48a65e1ec164abda8600e3da722d755","Capability","Editar rutas","",""
"id-0b9a81def59640c9b357595c28d9bdfa","Capability","Editar waypoints ","",""
"id-2c87a8cbb7d944e6b620be55fdf43972","Capability","Elaboración del reporte","",""
"id-47e97742b1b741d3827c29768171f1e0","Capability","Envio de reporte","",""
"id-34f8e821461f4bc6bd0646ef467a8adf","Capability","Establecer modo (online/offline)","",""
"id-94d8e369b1ed442c98664764a8110644","Capability","Establecer rol","",""
"id-15648d6203af42afb1e1b62081f18dd0","Capability","Filtrado de datos","",""
"id-f053c944dcc740e2894d35d02040ac21","Capability","Generar rutas","",""
"id-b68d945fb25d4f59bbee10021ceb39a5","Capability","Generar rutas (copy)","",""
"id-752197b9dacf440c82bbb37ea3383d1c","Capability","Generar waypoints","",""
"id-b121a38091854436b0882fb89bff4041","Capability","Gestion de información","",""
"id-34886b1a233f474bbe317d4f4337bb1b","Capability","Gestion de puntos","",""
"id-c6937e4a5abe4f9caf7abc308eea5965","Capability","Gestión de rutas","",""
"id-8f831bf22a344009ac6fd043d3323b2f","Capability","Gestión de vectores","",""
"id-caa844263f934154bb4eda0edd2b3f66","Capability","Lectura de poligonos","",""
"id-12ee1bb8db4b4108910dff299e2426da","Capability","Llenar formulario","",""
"id-01e94e93be9842bf9d2c853a708e6f05","Capability","Mostrar mapas","",""
"id-9bada70d1ed642e4b113b89e87c1839e","Capability","Mostrar mapas (copy)","",""
"id-d7498ca83ab1436c81a08aa698ec6d64","Capability","Notificación","",""
"id-72d0bef70df848e3bfde6cbc3db5b23f","Capability","Notificación de sincronización y validación","",""
"id-14c71623435d48f19ecf890ec660faf7","Capability","Notificación del usuario","",""
"id-426a387f252049b1805effacc8963ede","Capability","Notificar paciente","",""
"id-0cdd5c581c814a75b096c068efa5e899","Capability","Programar formulario","",""
"id-71397a7f193040d9b20d336319a2ec7a","Capability","Seleccionar gestor de mapa","",""
"id-23de48a3ad9646d19bc965b21c0488a0","Capability","Sincronización","",""
"id-09603538f5284d438ca64f81f051b512","Capability","Sincronización","",""
"id-6f1fc9ea3c1e407cb7ac25a5688ba0c7","Capability","Sincronización","",""
"id-1524b1e0d7334d0e8fa5504bead4e246","Capability","Sincronización automatica","",""
"id-8d80f969e1534538976b1dada79eacd9","Capability","Sincronización automatica","",""
"id-6127be8b603241f5b35b8f4494f65f56","Capability","Sincronización de datos","",""
"id-8fe63e518ddd4c2dbb7db68213954947","Capability","Sincronización manual","",""
"id-f708b91f696c4e278cc92e6a3fda9004","Capability","Sincronización manual","",""
"id-cfa3028bf8014315ba2723c724cd769e","Capability","Subir datos manualmente","",""
"id-6a04d1ce9a194efa94acfa6266405b50","Capability","Validar información de usuario","",""
"id-ea969d506b90430a80d1969ac3ad7c71","Capability","Visualización de basemaps","",""
"id-613e03717a794f78a851f27e7638083c","Capability","Visualización simultánea","",""
"id-cf4a6dc173c043c2970dbd92138ca1b9","ValueStream","Capturar multimedia","",""
"id-d8e5becb3f6345ae9394546ff3343bb3","ValueStream","Crear formulario","",""
"id-1f73a798972d41c0b1c2da2c4de66a56","ValueStream","Descarga de reporte","",""
"id-689842dc42074c8b8f492db90d18b935","ValueStream","Editar formulario","",""
"id-92831566bee444d7ac6ec9d3a6e66fec","ValueStream","Editar multimedia","",""
"id-f583dea2cfe346aaafb21970dd418978","ValueStream","Elaboración del reporte","",""
"id-22b23ad9ffd14fecba0aa2abd3e2c103","ValueStream","Establecer rol","",""
"id-6f786530de1a4f7aa6bd55093b8f065e","ValueStream","Gestion de información","",""
"id-94b72d9d16124c5b9bd37c993377e282","ValueStream","Gestion de puntos","",""
"id-73dd68e57aac47eca218106143a9fdf4","ValueStream","Gestión de datos","",""
"id-0f79fb99a2c04a05b6adf6b98b1f075f","ValueStream","Gestión de datos","",""
"id-596a6d8e7fd04af7b5d0488015298935","ValueStream","Gestión de formularios","",""
"id-7463de1c30894b7682096463bae1b47c","ValueStream","Gestión de mapas","",""
"id-dabe29bec20d47c486b95678eed5a267","ValueStream","Gestión de reportes","",""
"id-e01edb6882c44d3daab124964c914371","ValueStream","Gestión de reportes","",""
"id-0538a101966b406e82ae17998fb5c179","ValueStream","Gestión de rutas","",""
"id-3fe0b27af87047288602bee2f1537b6e","ValueStream","Gestión de vectores","",""
"id-dfa7ce61cf2e4d9c82a6db86f2a1aa81","ValueStream","Gestión de waypoints","",""
"id-aeca8894549046ceb4c0ffcaa71584cb","ValueStream","Gestión de waypoints","",""
"id-443c79d366094f4cbc5b2c98f9dd64e5","ValueStream","Gestión formularios","",""
"id-82483d21c53043c887b4ba573cb0bbf3","ValueStream","Gestión mapas","",""
"id-af6fb51f895d4e4caf36df40e2815cd7","ValueStream","Gestión multimedia","",""
"id-36313482cf59416f8a387949bc415b3d","ValueStream","Gestión multimedia","",""
"id-456a4db04bac4ac8805747fac24495c9","ValueStream","Notificación","",""
"id-c5b7385d105749799bdfc996b70929bb","ValueStream","Sincronización","",""
"id-1744ae3b78d5498eb7eb12995e14c267","ValueStream","Sincronización","",""
"id-47e6745e1de44a09b73532da628a2889","ValueStream","Sincronización","",""
"id-824e1a91c782470b971e77eac8c3a821","ValueStream","Sincronización (copy)","",""
"id-d96e4391efb94a5ca3534076758ab7f6","ValueStream","Visualización de basemaps","",""
"id-42665262c49446f7bb4b5985e3954472","ValueStream","Visualización simultánea","",""
