"ID","Type","Name","Documentation","Specialization"
"_AaZmAENtEeqonN_RS9oRzw","ArchimateModel","Archimate - Qlikview and Microservices","",""
"_MGfoQCZyEDiP6_QRAT9TvA","ApplicationComponent","Backend","",""
"_7AQDkCZyEDiP6_QRAT9TvA","ApplicationComponent","Business","",""
"_9LRwsCZyEDiP6_QRAT9TvA","ApplicationComponent","Datos","",""
"_K719kSZzEDiP6_QRAT9TvA","ApplicationComponent","DTO Entity 1","",""
"_gCMaUCZ1EDiP6_QRAT9TvA","ApplicationComponent","DTO Entity 2","",""
"_OEABUCZzEDiP6_QRAT9TvA","ApplicationComponent","MS2","",""
"_TmDUoCZzEDiP6_QRAT9TvA","ApplicationComponent","MS2","",""
"_gCNBYSZ1EDiP6_QRAT9TvA","ApplicationComponent","MS2","",""
"_YaLyACZzEDiP6_QRAT9TvA","ApplicationComponent","MS3","",""
"_008-8CZyEDiP6_QRAT9TvA","ApplicationComponent","Servicios","",""
"_Y1M9QCZ3EDiP6_QRAT9TvA","ApplicationInterface","IC","",""
"_z08zYSXWEDiIIZ8Okh7nKA","Artifact","","",""
"_46dUoCXWEDiIIZ8Okh7nKA","Artifact","","",""
"_58lgACXWEDiIIZ8Okh7nKA","Artifact","","",""
"_FuDi8iXXEDiIIZ8Okh7nKA","Artifact","","",""
"_FuEKASXXEDiIIZ8Okh7nKA","Artifact","","",""
"_FuEKAyXXEDiIIZ8Okh7nKA","Artifact","","",""
"_IxCy0iXXEDiIIZ8Okh7nKA","Artifact","","",""
"_IxCy1CXXEDiIIZ8Okh7nKA","Artifact","","",""
"_IxCy1iXXEDiIIZ8Okh7nKA","Artifact","","",""
"_yWsJkSZuEDiP6_QRAT9TvA","Artifact","","",""
"_yWswoCZuEDiP6_QRAT9TvA","Artifact","","",""
"_yWswoiZuEDiP6_QRAT9TvA","Artifact","","",""
"_z9V-USZuEDiP6_QRAT9TvA","Artifact","","",""
"_z9V-UyZuEDiP6_QRAT9TvA","Artifact","","",""
"_z9V-VSZuEDiP6_QRAT9TvA","Artifact","","",""
"_1ot7AiZuEDiP6_QRAT9TvA","Artifact","","",""
"_1ot7BCZuEDiP6_QRAT9TvA","Artifact","","",""
"_1ouiESZuEDiP6_QRAT9TvA","Artifact","","",""
"_yWrigCZuEDiP6_QRAT9TvA","Artifact","JSON","",""
"_z9VXQCZuEDiP6_QRAT9TvA","Artifact","JSON","",""
"_1ot7ACZuEDiP6_QRAT9TvA","Artifact","JSON","",""
"_txElYSXWEDiIIZ8Okh7nKA","Artifact","QVD","",""
"_FuDi8CXXEDiIIZ8Okh7nKA","Artifact","QVD","",""
"_IxCy0CXXEDiIIZ8Okh7nKA","Artifact","QVD","",""
"_xOPo4CZwEDiP6_QRAT9TvA","Node","API Gateway","",""
"_rhIxkCZvEDiP6_QRAT9TvA","Node","Clientes","",""
"_czLEYCXXEDiIIZ8Okh7nKA","Node","DM 1","",""
"_czLrcSXXEDiIIZ8Okh7nKA","Node","DM 2","",""
"_czLrcyXXEDiIIZ8Okh7nKA","Node","DM 3","",""
"_iPnJ0CXVEDiIIZ8Okh7nKA","Node","DWH 1","",""
"_oudckCXVEDiIIZ8Okh7nKA","Node","DWH 2","",""
"_rtzikCXVEDiIIZ8Okh7nKA","Node","DWH n","",""
"_MVGS8SXYEDiIIZ8Okh7nKA","Node","Node","",""
"_wRmP4CZvEDiP6_QRAT9TvA","Node","POWER BI","",""
"_7O0ycCZvEDiP6_QRAT9TvA","Node","REACT...","",""
"_1nztkSXVEDiIIZ8Okh7nKA","Node","Repositorio","",""
"_YvQGgCXYEDiIIZ8Okh7nKA","Node","Servidor Archivos 1","",""
"_ahOacCXYEDiIIZ8Okh7nKA","Node","Servidor Archivos 2","",""
"_Qcg0QSXYEDiIIZ8Okh7nKA","Node","Servidor BD 1","",""
"_W8AnQCXYEDiIIZ8Okh7nKA","Node","Servidor BD 2","",""
"_3l4V0SZvEDiP6_QRAT9TvA","Node","TABLEAU","",""
"_O7mKMCXPEDiIIZ8Okh7nKA","Node","Windows Server","",""
"_pn5GUSXSEDiIIZ8Okh7nKA","SystemSoftware","Qlikview Desktop","",""
"_NvfcECXSEDiIIZ8Okh7nKA","SystemSoftware","Qlikview Server","",""
"_uiNcgSXYEDiIIZ8Okh7nKA","TechnologyProcess","ETL","",""
"_u9IogCXZEDiIIZ8Okh7nKA","TechnologyProcess","ETL","",""
"_3-q6cCXZEDiIIZ8Okh7nKA","TechnologyProcess","ETL","",""
"_ohg60SXXEDiIIZ8Okh7nKA","TechnologyProcess","Store","",""
