"ID","Type","Name","Documentation","Specialization"
"570928ca","ArchimateModel","Xerofone","This model contains all of the elements from all ArchiMate layers and extensions. It is a good starting point if you want to learn the principles of the ArchiMate language.",""
"c22a2f7a","BusinessActor","Business Actor","",""
"49d21c1f","BusinessActor","Student","",""
"db2bf9a5","BusinessActor","Student","",""
"f97ed565","BusinessCollaboration","Business Collaboration","",""
"854af4c6","BusinessEvent","","",""
"27eae62a","BusinessEvent","Business Event","",""
"efb08a89","BusinessEvent","Understand impact","",""
"9b4ec2ed","BusinessFunction","Business Function","",""
"8df93f7c","BusinessInteraction","Business Interaction","",""
"4b6fbe60","BusinessInteraction","Business Interaction","",""
"972fbe87","BusinessInterface","Business Interface","",""
"511f1259","BusinessInterface","Business Interface","",""
"dfe9aabb","BusinessInterface","Feature","",""
"e31e7a2e","BusinessInterface","FeatureType","",""
"233ce948","BusinessInterface","Informational","",""
"480e8e32","BusinessInterface","InformationalType","",""
"17827c10","BusinessInterface","Simulation","",""
"2e95f72c","BusinessInterface","Zone","",""
"2c239215","BusinessInterface","ZoneType","",""
"23835025","BusinessObject","Business Object","",""
"786b8226","BusinessProcess","Business Process","",""
"4c1a7ce2","BusinessProcess","Simulate Disaster","",""
"82bd598c","BusinessRole","Business Role","",""
"55235b3c","BusinessRole","Business Role","",""
"0a30b213","BusinessRole","FE user","",""
"88df8c1b","BusinessRole","User","",""
"44bfc0e4","BusinessService","Business Service","",""
"e1e24dac","Contract","Contract","",""
"968572ce","Product","Product","",""
"cadf53ec","Representation","Representation","",""
"4bc5e2e2","ApplicationCollaboration","Application Collaboration","",""
"dee12d3a","ApplicationComponent","Android","",""
"a5e1a27f","ApplicationComponent","APNS","",""
"9f2b1d17","ApplicationComponent","Application Component","",""
"b5dae02f","ApplicationComponent","Application Component","",""
"4551ee43","ApplicationComponent","Browser","",""
"989bdc0a","ApplicationComponent","Browser (copy)","",""
"9a342e55","ApplicationComponent","Data Service","",""
"4a48da94","ApplicationComponent","Data Service","",""
"c706936b","ApplicationComponent","Data Service (copy)","",""
"e77de4b9","ApplicationComponent","Embedded Mapping","",""
"f2caa345","ApplicationComponent","GIS Service","",""
"03f9a495","ApplicationComponent","GIS Service","",""
"50981187","ApplicationComponent","iOS","",""
"71605523","ApplicationComponent","MDM","",""
"8b127e88","ApplicationComponent","MDM (copy)","",""
"c352494d","ApplicationComponent","Simulation Framework","",""
"b31addc2","ApplicationComponent","Simulation Framework (copy)","",""
"e00ecf28","ApplicationComponent","Web Framework","",""
"713aedd7","ApplicationComponent","Web Framework","",""
"a8a6fc41","ApplicationComponent","Web Framework (copy)","",""
"a136ce58","ApplicationFunction","Application Function","",""
"5f2b7417","ApplicationInteraction","Application Interaction","",""
"c4b03583","ApplicationInterface","Application Interface","",""
"fde8c684","ApplicationService","APNS","",""
"48e05a60","ApplicationService","Application Service","",""
"a911a89f","ApplicationService","Embedded mapping","",""
"af5c04fd","ApplicationService","GIS","",""
"91edcc35","ApplicationService","Upstream Data","",""
"654afbbf","DataObject","Data Object","",""
"20cb1e7c","Artifact","Artifact","",""
"df1718b0","Artifact","Stored Open Data","",""
"e5308e3f","CommunicationNetwork","Network","",""
"827cb626","CommunicationNetwork","Pods","",""
"722e7f0b","Device","Android Device","",""
"25f8ee0c","Device","Apple Device","",""
