"ID","Type","Name","Documentation","Specialization"
"_-ucQoMu8EeyLxpMTtzcwUw","ArchimateModel","R202TD1","",""
"_XigwcK3rEDqCYaOv-gPFvw","WorkPackage","Carte","",""
"__2CUEK3qEDqCYaOv-gPFvw","WorkPackage","Ecran de démarrage","",""
"_c1P1YK3rEDqCYaOv-gPFvw","WorkPackage","Equipe","",""
"_GFVu8K3rEDqCYaOv-gPFvw","WorkPackage","In game","",""
"_LroCAK3rEDqCYaOv-gPFvw","WorkPackage","Menu","",""
"_E8jh8K3rEDqCYaOv-gPFvw","WorkPackage","Paramètres","",""
"_RpnDYK3rEDqCYaOv-gPFvw","WorkPackage","Pokédex","",""
"_Wd2OcK3rEDqCYaOv-gPFvw","WorkPackage","Profil","",""
"_TreNcK3rEDqCYaOv-gPFvw","WorkPackage","Sauvegarder","",""
