"ID","Type","Name","Documentation","Specialization"
"e6d3bb4e-a267-45f8-b70f-6a195d0b11d7","ArchimateModel","Sandbox","",""
"d9637e0c-29a0-4ac9-b726-275873b9463d","BusinessActor","Brønnøysundregistrene","",""
"217a9bfb-24ce-4a30-9cac-b83899c30faf","BusinessEvent","Foretak registrert","",""
"412ff30f-887a-42c0-ab15-70558dd2a8d7","BusinessEvent","Melding om opprettelse av foretak","",""
"38bbba54-90ee-4610-a19b-864a608ba900","BusinessObject","Foretak","",""
"64994e0f-5913-4d7b-82fc-93e244201399","BusinessProcess","Kontrollere foretaksinformasjon","",""
"107c69ad-ba74-40b3-9cc5-59c5e9acb9dd","BusinessProcess","Opprette foretak","",""
"ca2035e0-27a6-4a4b-a394-241ee04bb32e","BusinessRole","Kontroller","",""
"daebfb99-d03a-4c27-981e-7857d595d9a8","BusinessRole","Meldingsmottaker","",""
"4155c32d-58fb-43e4-8507-9a82bd4553b0","Representation","API beskrivelse 1","",""
"e1a17a35-9f0c-43dd-878e-245e77e89ccc","Representation","API beskrivelse 2","",""
"cbe83857-2c72-4605-88bf-be4c876c7885","Representation","API-beskrivelse","",""
"cf0171a4-fcad-4835-8e43-9d82d87dbe1a","ApplicationComponent","","",""
"5fa5b86f-f1a0-4302-b4b1-3efdd1817697","ApplicationComponent","API-katalogen","",""
"927616ff-a08b-43d9-967a-be4bd36c43da","ApplicationComponent","Applikasjon 1","",""
"15733065-afcb-4fa2-ab99-826e816ea775","ApplicationComponent","Applikasjon 2","",""
"a23acb78-9ef9-410c-bdc0-52f7e7244e15","ApplicationComponent","Konsument applikasjon","",""
"ee73b644-5602-4e23-89f4-5377b3a2954d","ApplicationComponent","Tilbyder applikasjon","",""
"fcd1f469-c073-43b3-ac58-f0828a20df12","ApplicationFunction","Application Function","",""
"24c6d6dc-bb56-4791-be42-a05ddbba64c2","ApplicationInterface","API","",""
"a2d7e50a-7cf3-4bd7-b1c7-d7c821fa8fff","ApplicationInterface","API 1","",""
"5b0a36d5-0a49-477e-82ea-258e3d75410a","ApplicationInterface","API 2","",""
"309eea0a-ed86-4f11-ae15-e8673f9048c3","ApplicationInterface","Standardisert API [ABSTRACT]","",""
"682e6f2b-7486-4797-a215-90a4d855a0e8","ApplicationService","Application Service","",""
"2a08b1d4-e02d-4d0c-b4e7-6aefc6d7f21f","DataObject","Data Object","",""
"5f56136b-3eb4-470f-beff-c832a46a7cbe","DataObject","En API beskrivelse","",""
"9d1495bf-2bbf-44b9-a516-5c84e266aca8","Requirement","API spesifikasjon","",""
"2061b564-a863-43ae-9b70-c768a7657e9e","Requirement","Standard xyz","",""
"89853c7d-97d2-4904-a89a-eb3c433804ce","Grouping","Meta","",""
"1e9fadef-73f7-4c3e-8a2c-b238a130dc2e","Grouping","Røynda","",""
