"ID","Type","Name","Documentation","Specialization"
"id-a859dd69df0f4978b0d7bb0382894ac2","ArchimateModel","Delivery_details","",""
"id-663d732204b64adb8455ca735b9fa60e","BusinessActor","IT-отдел","",""
"id-ca86844fdf3f43cab5145c087a167267","BusinessActor","IT-отдел","",""
"id-4194459b092b48f0b402664978b7943d","BusinessActor","Бухгалтерия","",""
"id-5920d45ee8674761aa1331e51026bf49","BusinessActor","Отдел обслуживания","",""
"id-56bd7b58132341fc8a2baa41fef4c108","BusinessActor","Отдел сортировки","",""
"id-6f0936156c00474ca91377454b30580b","BusinessActor","Производственный отдел","",""
"id-93bd595773924e2780fa39acdfe5638b","BusinessEvent","Груз готов к отправке","",""
"id-060bea63cab54b66a1980f1c6fb5ed0e","BusinessEvent","Груз доставлен","",""
"id-a835bc8be1f64fe6af895bf86bd47c68","BusinessEvent","Отправление готово к сортировке","",""
"id-4f3e7a6de3054077a70e684e430af65f","BusinessEvent","Отправление готово к сортировке (copy)","",""
"id-8e5dd9cead90415ca887e31f7f101562","BusinessEvent","Поступление отправления","",""
"id-4395832901774c4d81f181c089b1aca9","BusinessFunction","Проведение отчётности по периодам","",""
"id-927f751587c64f65b48c664c3996b488","BusinessFunction","Создание в 1С проводок","",""
"id-34a20596520f48b4b97567e245b16c74","BusinessObject","Груз для отправлений","",""
"id-23febb40228948dc95d3989dd0a77df9","BusinessObject","Договор о доставке ","",""
"id-a9289060d51d409b8fb079d5c4926fdd","BusinessObject","Счёт на оплату","",""
"id-bc6e48d65e6448ebb7574c9a1e441745","BusinessProcess","Внесение данных об отправлении в базу","",""
"id-1137897d86ec4b5bb1498b40e3af1247","BusinessProcess","Внести в единую базу отправление","",""
"id-eca0be5aa79d4954a1a59004add86be5","BusinessProcess","Вручение адресатам","",""
"id-519af00f9bf84d1b904f328fd9f57ed8","BusinessProcess","Вручение курьерам отправлений","",""
"id-666da1e24675419281b34f2e25556708","BusinessProcess","Детальная сортировка","",""
"id-c9c60b3ac52648ca92800ead087aae40","BusinessProcess","Доставка груза","",""
"id-b3a23c02ccc042b6a32244c8f868202e","BusinessProcess","Мониторинг","",""
"id-a0e8b43ab72547298deb2b29df638ff2","BusinessProcess","Мониторинг курьеров","",""
"id-45e767bcdb234437abc7076a1896fd0f","BusinessProcess","Мониторинг от","",""
"id-77510f1ef71a45cabcc9336ecdd9763e","BusinessProcess","Мониторинг транспорта","",""
"id-d4cc2dc1752e4dc99f6361c64599ae43","BusinessProcess","Обработка груза","",""
"id-01c76a7aea2c49aca3df88ccc917a484","BusinessProcess","Общая сортровка по маршрутам","",""
"id-acebdf29b3b440a8b6a023b9973401bf","BusinessProcess","оформить финансовые документы","",""
"id-f36150505faa48cf8fd74922ca386848","BusinessProcess","Перевозка","",""
"id-da4f01a875064a5e98012c62a9b89d1d","BusinessProcess","планирование загрузки маршрутов","",""
"id-df3933ca5fbb4b689c143588652386b1","BusinessProcess","Подготовка маршрутов","",""
"id-c6df383975374a138883ec3c4d87a452","BusinessProcess","подготовка сопроводительных документов","",""
"id-7b37a4aae3ab4cf2b4a2ee5c362c204d","BusinessProcess","Прием груза","",""
"id-d1e65771c6e74c0592b511e8a15ce815","BusinessProcess","Проверить наличие отправления","",""
"id-fdc09a66c5c74369af716f321e0a6e59","BusinessProcess","проверить сопроводительные документы","",""
"id-9f5ab6141a8c49feb0d0444f03577db8","BusinessProcess","произвести замеры габаритов","",""
"id-f41e9342674d4d91816df60287704154","BusinessProcess","Сверить количество, наименования","",""
"id-a8c48832206044b29fda0cea5f0ed0fa","BusinessProcess","сообщение клиенту о временных рамках прибытия курьера","",""
"id-2ac128b79d8b4e6d9e2dbb3110dc7044","BusinessProcess","составление планов-заданий","",""
"id-7d0aa9a31dfc4de0ae8cf3ec97132537","BusinessProcess","Упаковка груза","",""
"id-6ff82014c7b2433098a81bad6a462656","BusinessProcess","Хранение груза","",""
"id-e7bfe62f7bc74b68a6467496bd1fcc37","BusinessRole","Бухгалтер","",""
"id-d62b7400f0da4ad48805a42905e6c3d8","BusinessRole","Глава IT-отдела","",""
"id-bcf31219526e4faa8dbd6cbc19373d21","BusinessRole","Главный бухгалтер","",""
"id-4026e64072ac4cd68612be42f42941c7","BusinessRole","Курьер","",""
"id-3dd5b3b19918421cbddc5bde69fae433","BusinessRole","Начальник отдела ","",""
"id-f457dea796bc45a7acf9b1c8afddc066","BusinessRole","Начальник отдела ","",""
"id-1ea4f6e868094afc893295abd3578958","BusinessRole","Начальник отдела","",""
"id-0060de0a7fb04d04a484e65a724c7acc","BusinessRole","Специалист по маршрутизации","",""
"id-7b511e92db6745b9b2793de14589ed1b","BusinessRole","Специалист по мониторингу","",""
"id-2f378d3d97c74ae2a92682e0c3a7684b","BusinessRole","Специалист по сортировке отпралений","",""
"id-0b38ce2db283429eabe5a7a83fa9a562","BusinessRole","Специалист поддержки баз данных","",""
"id-9f59d7618038493dbfddcdaa388b151e","BusinessRole","Специалист приёма грузовых отправлений","",""
"id-8be4d3c0688e4115a31755db9c8af0d5","Product","Доставка отправлений лично в руки","",""
