"ID","Type","Name","Documentation","Specialization"
"id-df2d3843eb53490cb056680f3bad13b0","ArchimateModel","diagrama2","",""
"id-072b7e794db44e7c9dec01ae3bf51a17","BusinessActor","CDep","",""
"id-749c4b787314450b900690b802407e5c","BusinessActor","Cliente","",""
"id-a3117ec86fc8476c95086c147cd30781","BusinessActor","LDep","",""
"id-7008da62c73147ffb02625cd48092100","BusinessActor","TDep","",""
"id-6a013b0492e548ea8a2efd7ee753228a","BusinessEvent","Pede um contrato","",""
"id-c32d60fd0d614860846475802e954e0b","BusinessEvent","SLA Modificações","",""
"id-b58eb762968b4a49a8cea617a518e20c","BusinessObject","Pretensão de contrato","",""
"id-f5b932504f1742789afc9eda81746514","BusinessObject","SLA","",""
"id-0c8a4c68ca3445fe87175add09fc30cb","BusinessProcess","Análise da estrutura de dados","",""
"id-fafeeb9497e74885919aa0dc15b76490","BusinessProcess","Envio dos pacotes","",""
"id-04e963435a14499588ef76c331f07159","BusinessProcess","Modificações ao SLA","",""
"id-e3face735ace4709832bfcc831e7b148","BusinessProcess","Processo de Contrato","",""
"id-85df94d0c022433c963968e65a56129c","BusinessProcess","Reencaminhamento de resultados","",""
"id-84b368bbe7b74edbbef5cea300ee1ade","BusinessProcess","Registo de todos os factos","",""
"id-aa4886cacd07493bb8dccf43d35103ad","BusinessRole","CA","",""
"id-60ca3c494fd04108855aac17149a3724","BusinessService","Análise de dados","",""
"id-b2c37fd355104273a3e11a3f02710041","BusinessService","Gestão de contrato","",""
"id-3cae803d3dd6479aa4b62e4cdc5b0198","BusinessService","Suporte às operações","",""
"id-a9af5989cd934e579dadd332319fd28d","Contract","Contrato","",""
"id-66d56a333a3041fe8aca46421858ed37","Product","SATX","",""
"id-f24dfaa6313b453fbb543ad1f802116c","ApplicationComponent","SATIS","",""
"id-f0483d67ac93462398cde746c34b7313","ApplicationComponent","SPXCRM","",""
"id-2e466022e4f14a7d98a3df48a69d2d9b","ApplicationComponent","SPXSMT","",""
"id-f8e5634d60714c4d9373e2411d92ec56","ApplicationFunction","Análise","",""
"id-acf9527d578342648df2b5a9b738b5d9","ApplicationFunction","Registo de propostas de contratos e contratos em vigor","",""
"id-93f6a8e9be724116aa961fa58b7e0ecd","ApplicationFunction","Suporte","",""
"id-36a4205026434f54a507a74ac6750926","ApplicationInterface","Acesso HTML","",""
"id-fc2fd4b3d5024cefba34bfdddc53cd1f","ApplicationInterface","Acesso mobile app","",""
"id-95ffc33793d147f5b859d2c347fdd202","ApplicationService","Administração de contratos","",""
"id-6ddbd95651cd463aa8f09c940825e0b3","ApplicationService","Análise de dados","",""
"id-4b3afff939874e6e8378727d0e6b13b4","ApplicationService","Envio dos pacotes da estação","",""
"id-9031639c1ddc44239c8b2898355d2ee1","ApplicationService","Reencaminhamento dos resultados","",""
"id-50072633884348bc95ed533ced1f5243","ApplicationService","Registo dos factos dos pacotes","",""
"id-652fb7cbae8b47308bdf137afefa1068","ApplicationService","Serviço de suporte às operações contratadas","",""
"id-a7719212df004943ad8154d06ebc0a2b","CommunicationNetwork","Rede Local","",""
"id-295c043b459946369c5cc34c9ad01593","CommunicationNetwork","SATNET","",""
"id-05add16eb8404bcba0872f36a56e35a6","Device","HTML online","",""
"id-77bfcc5cbc244e7b840e152ae32d8eb9","Node","Estações terrestres","",""
"id-7c27eecda38545a687eedcdef72ba7f1","Node","Satélite artificial","",""
"id-1064c51f6bcf439e86a4f91444cc7cba","SystemSoftware","Mobile app","",""
"id-5246072bbdf6470f83910c005ed858ba","SystemSoftware","Máquina virtual JAVA","",""
"id-f9b5647dcd294469a48fbf2d4557ecc8","SystemSoftware","Sistema operativo linux","",""
"id-d11002c7d9874890b32ac241bbcb0f04","TechnologyInterface","Máquina virtual Java","",""
"id-a06a020b32864f339b03f87c055ff0f0","TechnologyInterface","Sistema operativo linux","",""
"id-10056fa6554e4481a64408baa2288fab","TechnologyService","Serviço web","",""
