"ID","Type","Name","Documentation","Specialization"
"_1_nh0M3mEei1GrjyiKWeTA","ArchimateModel","Data Archiving Architecture","",""
"_8W0qUnyoEDiGFMMbwLVRlQ","BusinessInterface","ConsolePostProcess.Contract","",""
"_owix0nypEDiGFMMbwLVRlQ","BusinessService","AnalysisAdapter","",""
"_owjY4XypEDiGFMMbwLVRlQ","BusinessService","AnalysisFacade","",""
"_8W0qUHyoEDiGFMMbwLVRlQ","BusinessService","ChBasis","",""
"_8W0qVnyoEDiGFMMbwLVRlQ","BusinessService","ConsolePostProcess.AdapterForViewer","",""
"_i9v0IHymEDiGFMMbwLVRlQ","BusinessService","ConsolePostProcess.Contract","",""
"_owix1nypEDiGFMMbwLVRlQ","BusinessService","ConsolePostProcess.Contract","",""
"_H3NH1HyqEDiGFMMbwLVRlQ","BusinessService","ConsolePostProcess.Contract","",""
"_SsYhpHyqEDiGFMMbwLVRlQ","BusinessService","ConsolePostProcess.Contract","",""
"_H3Nu43yqEDiGFMMbwLVRlQ","BusinessService","FilmAdapter","",""
"_H3NH1nyqEDiGFMMbwLVRlQ","BusinessService","FilmFacade","",""
"_SsZItXyqEDiGFMMbwLVRlQ","BusinessService","ReportAdapter","",""
"_SsYhpnyqEDiGFMMbwLVRlQ","BusinessService","ReportFacade","",""
"_VC8NgHyjEDiGFMMbwLVRlQ","BusinessService","ReviewerAdapter","",""
"_NjOeMHykEDiGFMMbwLVRlQ","BusinessService","ReviewFacade","",""
"_owix0HypEDiGFMMbwLVRlQ","ApplicationComponent","Analysis App","",""
"_8W0qWHyoEDiGFMMbwLVRlQ","ApplicationComponent","Clinical Apps","",""
"_H3NH0HyqEDiGFMMbwLVRlQ","ApplicationComponent","Film App","",""
"_SsYhoHyqEDiGFMMbwLVRlQ","ApplicationComponent","Report App","",""
"_ei2acbAbEDaSf7GDEvf44w","ApplicationComponent","Review App","",""
"_H3NH2HyqEDiGFMMbwLVRlQ","ApplicationService","FilmProxy","",""
"_8W0qVHyoEDiGFMMbwLVRlQ","ApplicationService","MIC","",""
"_SsZIsXyqEDiGFMMbwLVRlQ","ApplicationService","ReportProxy","",""
"_LhI8kHyiEDiGFMMbwLVRlQ","ApplicationService","ViewerProxy","",""
"_owjY5XypEDiGFMMbwLVRlQ","ApplicationService","ViewerProxy","",""
"_kUHG8HyiEDiGFMMbwLVRlQ","Artifact","Report Repository","",""
"_6F8x0LAVEDaSf7GDEvf44w","WorkPackage","Console Application","",""
"_owix1HypEDiGFMMbwLVRlQ","WorkPackage","Console Application","",""
"_H3NH0nyqEDiGFMMbwLVRlQ","WorkPackage","Console Application","",""
"_SsYhonyqEDiGFMMbwLVRlQ","WorkPackage","Console Application","",""
"_3rGiEHyoEDiGFMMbwLVRlQ","Grouping","Owned by Console","",""
"_jzzAdXyoEDiGFMMbwLVRlQ","Grouping","Owned by Post Process","",""
