"ID","Type","Name","Documentation","Specialization"
"id-640847346f82411da60a9912a169a11d","ArchimateModel","prevention_chain","",""
"id-0408494ab41d4b3a9a2ab5d0571bcac7","Capability","Capability","",""
"id-8fca42b24e8d4453950271941f51ac31","Capability","Capability","",""
"id-62143305ab6440a79c12e5ef6ef5846e","Capability","Prevention Capability","",""
"id-9e1b0104c0bd43cab4263950f47de5fd","Resource","Object","",""
"id-9ac6646d5c834826a7bd1dd00d3fd98e","Resource","Resource","",""
"id-ca48c43feaf04865a19e80dbf1c4ddd7","Resource","Resource","",""
"id-1f7a9c2abfca42f4848971f3137cff91","BusinessEvent","Business Event A","",""
"id-65f005e81d384981b3d04b283e603f4c","BusinessEvent","Business Event A","",""
"id-414e471eca324a89a90de017f65492d8","BusinessEvent","Business Event B","",""
"id-8eea9b7053c24237b5fd2421c2c6ae92","BusinessEvent","Business Event B","",""
"id-9aa22b5c5aad4236aaa4dbfc40203470","BusinessEvent","Prevention Event","",""
"id-3b7dd6cfa9ab4338843c381ba0faa50d","Assessment","«Likelihood» X%","",""
"id-d7e53b793ee84f5eb21954f10d28f233","Assessment","«Likelihood» X% - Y%","",""
"id-336401e13bd84767b5d483ad118fe104","ImplementationEvent","Implementation Event Introducing an Object","",""
"id-503e795a7c4849f79047c37ee748619c","Plateau","New Plateau","",""
"id-f057cb35a33f4e8e8b214c9a77fa4863","Plateau","Plateau","",""
"id-e0d5661d4d7542c0baf3543901947b49","WorkPackage","Work Package","",""
"id-6e8b963cf89d438a8e5b39a84599933f","WorkPackage","Work Package","",""
"id-0386ce7a6ecb4b3995f53f22f12d069d","Junction","Junction","",""
