"ID","Type","Name","Documentation","Specialization"
"_nb8hkD_bEe22546wEPhU_w","ArchimateModel","Electronic Ticketing Genealogy","",""
"_nb--wz_bEe22546wEPhU_w","BusinessActor","Admin","",""
"_nb--xz_bEe22546wEPhU_w","BusinessActor","Admin","",""
"_nb--yT_bEe22546wEPhU_w","BusinessActor","Admin","",""
"_nb--1T_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_k5D_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_k6j_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_k8D_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_k9j_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_k_D_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_lAj_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_lCD_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb_lHD_bEe22546wEPhU_w","BusinessActor","Agent","",""
"_nb--xT_bEe22546wEPhU_w","BusinessActor","DevOps","",""
"_nb_lJD_bEe22546wEPhU_w","BusinessActor","indipendent participants","",""
"_nb--yz_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb--zT_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb--zz_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb--0T_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb--0z_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k4D_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k4j_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k5j_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k6D_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k7D_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k7j_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k8j_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k9D_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k-D_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k-j_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_k_j_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lAD_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lBD_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lBj_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lCj_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lDD_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lHj_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb_lID_bEe22546wEPhU_w","BusinessActor","Manager","",""
"_nb--wT_bEe22546wEPhU_w","BusinessActor","Super Admin","",""
"_nb_lIj_bEe22546wEPhU_w","BusinessService","Ticket Sales","",""
"_vMkugCIJEDuZFPbtSPmnhQ","ApplicationComponent","Component","",""
