"ID","Type","Name","Documentation","Specialization"
"_S8g1YDO1EemuL8kiMfd-Jw","ArchimateModel","Integración PSP/Banco/COELSA","",""
"_O9gEARXmEDeunYeN-WSx9g","BusinessActor","Banco","",""
"_ejUiUBXmEDeunYeN-WSx9g","BusinessActor","Banco","",""
"_PjTxsBXkEDeunYeN-WSx9g","BusinessActor","COELSA","",""
"__NERIBXlEDeunYeN-WSx9g","BusinessActor","COELSA","",""
"_u7VIARXlEDeunYeN-WSx9g","BusinessActor","Delivery Manager","",""
"__NDqExXlEDeunYeN-WSx9g","BusinessActor","Delivery Manager","",""
"_cJRCERXjEDe-J62KFxEeNw","BusinessActor","Fintech (PSP)","",""
"__NCb8BXlEDeunYeN-WSx9g","BusinessActor","Fintech (PSP)","",""
"_cZRXgRXkEDeunYeN-WSx9g","ApplicationService","API Gateway","",""
"__NDDARXlEDeunYeN-WSx9g","ApplicationService","API Gateway","",""
"_mop8oBXkEDeunYeN-WSx9g","ApplicationService","API Portal","",""
"__NDDAxXlEDeunYeN-WSx9g","ApplicationService","API Portal","",""
"_gNB9ARXkEDeunYeN-WSx9g","ApplicationService","BackOffice-APILink","",""
"__NDDBRXlEDeunYeN-WSx9g","ApplicationService","BackOffice-APILink","",""
"_gNyVgRXlEDeunYeN-WSx9g","ApplicationService","BillingServices","",""
"__NDqERXlEDeunYeN-WSx9g","ApplicationService","BillingServices","",""
"_jt3mgRXkEDeunYeN-WSx9g","ApplicationService","CVUServices","",""
"__NDDBxXlEDeunYeN-WSx9g","ApplicationService","ESB/IIB","",""
