"ID","Type","Name","Documentation","Specialization"
"71a9c29b","ArchimateModel","Alastria","",""
"3df868e2-f501-4c91-90e3-10964f397611","CommunicationNetwork","Associate infrastructure","",""
"5c0dc960-3e51-462c-ab19-25b6e7a407a7","CommunicationNetwork","Core network","",""
"45a0a53d-1c29-4c46-ad92-d129589f9420","Node","Client","En el nodo cliente, se incluirán todos los servicios que interactúen directamente con el navegador y/o procesos externos a la organización.

",""
"087d9453-0e4d-41fd-b4b9-bbe692ec586e","Node","CN1","Core Node 1:

Nodo core quorum en el que se manejan las transacciones",""
"07886db4-9ac3-475f-82b3-4341b3cfef1b","Node","CN2","Core Node 2",""
"cbf70227-8674-4502-804b-b0532378baae","Node","CN3","Core Node 3
",""
"b3269523-170e-469d-ad6c-9a881309db08","Node","CN4","",""
"3dc70964-9153-42b9-865e-f60f2f352b90","Node","CN5","",""
"054d0c0b-4427-4d9f-8824-0db8715fa6d4","Node","Gateway","",""
"ed3f3134-9594-4505-b250-8207d2a46837","Path","Log Cakeshop","",""
"213d331b-ea0b-4ff0-b2fb-fda3454607d6","Path","Log constellation CN1","",""
"29eedf4d-3087-47f7-b3ec-77d56c45758f","Path","Log constellation CN3","",""
"1612ea68-4b8c-4955-8afb-ac006980dd00","Path","Log constellation CN4","",""
"1c781128-3a3e-45ea-a8d6-0751a0ddd997","Path","Log constellation CN5","",""
"19736513-7d70-4764-afb7-d79d08cf2b29","Path","Log constellation GW","",""
"ab490e2a-b210-4ac3-8b13-8e7bde5359dd","Path","Log constellationCN2","",""
"28876dab-fd8d-49b4-92f5-cf1a10e2f427","Path","Log contract service","",""
"76a3af30-f25a-46eb-a301-d3ab59a9c9dd","Path","Log elasticsearch GW","",""
"d547dc71-69c5-4443-a084-a13137d6fa1d","Path","Log hydra","",""
"0b595fb3-4098-4df5-bdcf-ed01a557fe4e","Path","Log hydra-consent","",""
"bcf6015f-fe0f-4682-8baf-dd0f264fe84f","Path","Log IPFS Client","",""
"f6abf971-d782-475e-bb4d-2a7f0f4950f6","Path","Log IPFS GW","",""
"8ec80090-fd1c-4edd-aa01-43c03ffb76aa","Path","log kafka GW","",""
"ff018373-7980-415d-8c87-a1a28ef066a6","Path","Log Kibana","",""
"7a2baaa3-2e9c-40a9-93fb-1f2efea00ca7","Path","Log logstash GW","",""
"476062cf-b2a0-4e0a-88ea-0e60c877b083","Path","Log mongoDB","",""
"e873e5a6-7d9b-42b5-93fa-b3c580035801","Path","Log nginx","",""
"8731b127-9c2c-4a00-91ee-9acfbd535fbe","Path","Log PostgreSQL","",""
"ed357d3c-ebdf-44e3-bb8c-70fe7759076c","Path","Log quorum CN1","",""
"05be537f-f66f-471a-ac74-0824f91d35d9","Path","Log quorum CN2","",""
"722f1759-a45b-44c8-994f-870dce1cf75a","Path","Log quorum CN3","",""
"1f2b797b-8266-4bc7-b898-27c90ec9d9be","Path","Log quorum CN4","",""
"019266e0-432e-4189-b378-85e90eec59dc","Path","Log quorum CN5","",""
