"ID","Type","Name","Documentation","Specialization"
"d3654fb0-c160-41e9-bea1-4dcdb14adfe3","ArchimateModel","Tembea","",""
"e3db9e31-35c2-410e-a012-3de3a94470ee","Resource","App Router","",""
"id-604a9680-4af3-4dda-8dc6-bc6240a003e7","Resource","Google Cloud Storage","",""
"id-8fe56eea-05ed-4c92-993b-aff6349552a5","Resource","Postgres Database","",""
"id-0424b7a3-14e8-4606-9d5d-3afb4d768bb9","Resource","Redis Cache","",""
"id-8b72ed18-855f-4e58-aec4-970aa95c09ce","Resource","Route Controller","",""
"e6ca4240-4b83-4730-bde3-208b1e6e0a1a","Resource","Trip Controller","",""
"id-95a550ae-3034-42de-819e-bda5079336af","BusinessInterface","Google Maps Service","",""
"bfb35a4a-36f2-430e-8e49-ef9102c7e171","BusinessService","Google Maps API","",""
"id-3b3f4353-c5fd-439e-91af-8774f64548ed","BusinessService","Slack API","See 'Slack Engine' View for more info",""
"d0cf9539-af5f-4fae-964e-4dd19edefca3","ApplicationComponent","Slack Engine","",""
"bb772daf-9df8-43f7-b20f-7c80a6e67b3e","ApplicationComponent","Tembea","",""
"dce884e3-95b1-4c48-a074-9556df7aae07","ApplicationService","Manager Routes Router","",""
"d763cf47-8eae-42b6-a424-4a2061252b59","ApplicationService","Manager Trip Router","",""
"id-22921141-b8d0-400c-9b64-9b433b1b5228","ApplicationService","Ops Routes Router","",""
"d36b85fe-5335-4572-9c51-d5eb958dcb7e","ApplicationService","Ops Trip Router","",""
"fb029493-7dda-4b6e-bc1c-e7f83055cf6b","ApplicationService","Provider Routes Router","",""
"id-3375d1e8-912d-4407-a259-2de4ef6e3f56","ApplicationService","Provider Trip Router","",""
"id-110f0384-9f75-46cc-8a2b-2828f8ec4590","ApplicationService","Routes Router","",""
"ab7cb0b3-f61a-4746-ab7a-87f179c69a73","ApplicationService","Trip Router","",""
"id-21af6756-aa91-489b-a3b6-b32f0492e972","ApplicationService","User Routes Router","",""
"c5bef369-2e45-4014-b41d-fc2e245162c0","ApplicationService","User Trip Router","",""
"af08ac7e-7c2c-4ebc-be46-136cd51f2666","DistributionNetwork","Distribution Network","",""
"id-9244c014-59b1-4f0f-a0dc-36bff49f8cb8","Equipment","Middlewares","",""
