"ID","Type","Name","Documentation","Specialization"
"f6ad0a42-7e66-4e40-a11e-b883bb21212f","ArchimateModel","Tecnology Component","",""
"0b9e1f08-0922-47ba-93f7-29d48457b0f4","BusinessActor","Business Actor","",""
"f7017bf7-aa71-4681-a637-555f180fee52","BusinessActor","Cliente","",""
"88bc373b-22e7-410e-9b6a-4a3fe5dcaf17","BusinessActor","Cliente","",""
"318414c2-64db-452f-9db9-bb983b4316ac","BusinessActor","Cloud","",""
"feba2ad6-e171-4773-b8df-d4f04acad9ca","BusinessProcess","Devolução de BICA","",""
"4ffcb8f5-faf3-4f25-8caf-35e722989b88","BusinessProcess","Levantamento de BICA","",""
"e2b6ae25-14ad-42ce-8fef-69aefc443479","BusinessProcess","Levantamento, Utilização e Devolução da bibicleta","",""
"c915163c-e3d3-4854-8d27-6414bc898c9d","BusinessProcess","Processo de alteração de condições de serviço","",""
"64838fe2-6069-4374-9584-24e36d857846","BusinessProcess","Processo de alteração de condições de serviço","",""
"11b53b91-a6ec-4737-ba7c-e330a071f9b2","BusinessProcess","Processo de desactivação de conta","",""
"e79ed0e4-4cf0-4fee-b536-f2001aedccd8","BusinessProcess","Processo de utilização da app","",""
"e7b5ec53-a65c-40e2-8797-e69c71e437a9","BusinessProcess","processo de utilização do produto","",""
"28828272-d3fe-4ec0-b403-93563f0f2656","BusinessProcess","Registo de cliente","",""
"ec2d5909-a90d-4b92-b40d-6d3d0e951d93","BusinessProcess","Registo de cliente empresarial","",""
"92219a73-28b7-4140-b57e-292eaac169b3","BusinessProcess","Utilização de BICA","",""
"712b10e3-6d98-44af-923c-2cbd4c6e6a01","BusinessRole","Usufruir do produto","",""
"1d6f8437-6fb9-4818-804a-178229a9908a","BusinessService","Aquisição/Alteração das condições de serviço","",""
"3e86fd9c-eed2-4811-a6f0-d8d267018e41","BusinessService","Desativação","",""
"2ac396a9-10ef-48bf-832f-48c594610792","BusinessService","Informações","",""
"48ad4f45-ae51-4ab8-b6ab-83d30fe1cd3a","BusinessService","Levantamento, Utilização e Devolução","",""
"7ea27c08-7f6c-4416-9dee-e04439b23b4c","BusinessService","Reclamação","",""
"d416de42-7ec1-4dc6-9ef7-9f7ff6391305","BusinessService","Registo de Clientes","",""
"79a272b7-e3e8-4223-96f9-c65ff8d0003c","Product","Aluguer Particular de Bicicletas","",""
"797d9f2d-c01f-440d-a9e9-dcdc452302c7","ApplicationCollaboration","Calculo de taxação/monitorização da BICA e efectivação de pagamentos","",""
