"ID","Type","Name","Documentation","Specialization"
"e78440e0","ArchimateModel","Interpreter","",""
"id-42a6cf97","ApplicationComponent","class NONterminal expression ||","",""
"id-30eab01a","ApplicationComponent","class terminal expression","",""
"c1ae7aae","ApplicationComponent","client","",""
"id-3344aab4","ApplicationFunction","add(component)","",""
"id-04ff83bf","ApplicationFunction","add(component)","",""
"id-03287c7a","ApplicationFunction","add(component)","",""
"c1e23955","ApplicationFunction","constructor (expression 1, expression 2)","",""
"id-636dcdf4","ApplicationFunction","constructor (word)","",""
"id-06bab148","ApplicationFunction","getChields()","",""
"id-4463cae6","ApplicationFunction","getChields()","",""
"id-101c0a89","ApplicationFunction","getChields()","",""
"id-427b3c2f","ApplicationFunction","getComposite","",""
"id-80064b82","ApplicationFunction","getComposite","",""
"a63e52be","ApplicationFunction","getComposite","",""
"id-03544141","ApplicationFunction","IF text[position]==word","",""
"id-795af956","ApplicationFunction","interpret (CONTEXT)","",""
"id-79dbc631","ApplicationFunction","interpret (CONTEXT)","",""
"id-1b3f5e55","ApplicationFunction","interpret (CONTEXT)","",""
"b94e31d7","ApplicationFunction","remove(component)","",""
"fa5fb1b4","ApplicationFunction","remove(component)","",""
"id-98175478","ApplicationFunction","remove(component)","",""
"id-1fab80a2","ApplicationInterface","interface abstract expression","",""
"e2096b67","ApplicationProcess","add C and B inside","",""
"id-53ee47b5","ApplicationProcess","add component to list","",""
"id-79dee5a2","ApplicationProcess","add programm input data: text =""ac""","",""
"ef8fc135","ApplicationProcess","Application Process","",""
"ac986c3b","ApplicationProcess","call operation on each list","",""
"id-1957b687","ApplicationProcess","create C and B","",""
"cb9a5aef","ApplicationProcess","create context","",""
"b3078801","ApplicationProcess","create expression ||","",""
"id-8d22045a","ApplicationProcess","for each list member","",""
"id-6b0d024a","ApplicationProcess","get components list","",""
"id-44556c1e","ApplicationProcess","get result from context","",""
"e26c0964","ApplicationProcess","interpret!","",""
"id-32320987","ApplicationProcess","remove component from list","",""
"id-954984a8","ApplicationProcess","result == true","",""
"id-6233b918","ApplicationProcess","result =TRUE , position+=wordLength","",""
"id-1751a85f","ApplicationProcess","return NULL","",""
"id-3f1e77ec","ApplicationProcess","return SELF","",""
"id-13222916","ApplicationProcess","some operation on leaf","",""
"id-8edbb6a4","ApplicationProcess","store expression 1 in variable[1] as REF","",""
"ebc82553","ApplicationProcess","store expression[2] in variable 2 as REF","",""
"id-01e66a1f","ApplicationProcess","store word in var","",""
"ab2fbd2f","ApplicationProcess","var[1] . interpret (context)","",""
"id-37bb7c4c","ApplicationProcess","var[2] . interpret (context)","",""
"id-1b001935","DataObject","&","",""
"id-252e1317","DataObject","a","",""
"fff5ec7f","DataObject","b","",""
"id-2005381e","DataObject","c","",""
"id-1b52860b","DataObject","composite","",""
"id-03bfc10e","DataObject","context","",""
"e529fca7","DataObject","Data Object","",""
"id-398bc653","DataObject","leaf","",""
"d9d69a57","DataObject","position in text","",""
"ce2ca34c","DataObject","result of expression","",""
"id-62533a99","DataObject","source text","",""
"id-95216712","DataObject","VARIABLE: list of instances of INTERFACE ABSTRACT EXPRESSION type","",""
"id-8939533c","DataObject","word","",""
"ee1b64d9","DataObject","||","",""
"c012358f","Junction","Junction","",""
