"ID","Type","Name","Documentation","Specialization"
"id-2f8ace2e5534460cbbdb7e44710c8ce9","ArchimateModel","patterns","",""
"id-1d7a475888e74b40aeb9155845cbf97f","Capability","Autoupdate Software Capacity","",""
"id-1ed0b6680a954e9196691162796cea8c","Capability","Exploitation Capability","",""
"id-cdbb414a60b246b3a399fcac8d377dff","Capability","Exploitation Capability","",""
"id-db2b88e2589a442fab3bca7fa6f44ce5","Capability","«Vulnerability» Weakness","",""
"id-9a438febac894ec1ae6c43ff080fbbec","Resource","Software Code","",""
"id-94a5a202efbf4c8c872c1cd66131fd97","Resource","Software Code","",""
"id-65fb95b4944f4c21814e7033a53c2ce5","Resource","«AssetAtRisk» Private Data","",""
"id-b361a52bf17d4200bda0489abc710423","Resource","«AssetAtRisk» Private Data","",""
"id-238287d9d98b452f8efb4ab654006ca9","Resource","«SecurityMechanism»Autoupdater Piece of Software","",""
"id-8eb5880c7679453f8d6b7b93414a7fd7","BusinessActor","«ThreatAgent»Hacker","",""
"id-ce1a9420d2ff493e83a06af94a8de497","BusinessActor","«ThreatAgent»Hacker","",""
"id-7a8da4358ecd4a9d8364a1a1163a99dd","BusinessEvent","Autoupdate","",""
"id-f203326e4119417cb9fb495a9bf26e2c","BusinessEvent","«LossEvent» Data Breach","",""
"id-c6dbbd23314e4cb4af45423bceab84a3","BusinessEvent","«LossEvent» Data Breach","",""
"id-0d2bcec545154a5e8c7163d94a7028cc","BusinessEvent","«ThreatEvent» Vulnerability Exploitation","",""
"id-8abfc6fc96b94ec987298cb4e70f9534","BusinessEvent","«ThreatEvent» Vulnerability Exploitation (copy)","",""
"id-dc6d70f7397348ec8cd606e8ce0a374d","BusinessRole","«SecurityDesigner» IT Security Team","",""
"id-b2a86896d88f43b48a6879cfa827f00c","BusinessRole","«SecurityDesigner» IT Security Team","",""
"id-925b9cfd6e4843a393a18ba344e845d1","Assessment","Risk of Data Breach is acceptable","",""
"id-44a9acf5b71f4fcf9be0da6022d7e6f1","Assessment","Risk of Data Breach is Unacceptable","",""
"id-066062762cb040ac9ee67b6de7637daf","Assessment","«HazardAssessment» Lack of Software Update by the Users","",""
"id-fadbd167f34b46cb9a3b8f9c56874e35","Assessment","«HazardAssessment» Lack of Software Update by the Users","",""
"id-ae0ad30a07c74aab9cb454cd53e490c9","Assessment","«Likelihood» 5%","",""
"id-4639cd91bdf144f69f0553a0ffdd8449","Assessment","«Likelihood» 50%","",""
"id-cd9f5a3f32124302841f16a30b36721d","Driver","«Risk» Data Breach","",""
"id-137f794b34ff45c0b3365865a74b7697","Driver","«Risk» Data Breach (copy)","",""
"id-5448b50b6a3e413294c52a46d1671dc3","Goal","Data Protection","",""
"id-9861aa39153f46779719dc9a4219c557","Goal","Data Protection","",""
"id-72f90fbcbde249d1b7d9cb629e28ba96","Goal","Exploitation Intention","",""
"id-5f5ee5c36d384ce281bbce484364abb7","Goal","Exploitation Intention","",""
"id-aaf0583fdf6a4bb5be6e2f2869fdd2a4","Goal","«ControlObjective»Preventing Data Breach","",""
"id-8db2e104c8274bd69ace60e25e6bab68","Goal","«ControlObjective»Preventing Data Breach","",""
"id-4458db07e6f640369b4dfab03b672d5d","Requirement","«ControlMeasure» Autoupdates","",""
"id-8dc4a1723df74d67bc914b77b2ff159c","Requirement","«ControlMeasure» Check Autoupdater regularly","",""
"id-30966f8647ca4a76876a928272644c73","Stakeholder","Company","",""
"id-0587c21ebdb94b308a326a435c143214","Stakeholder","Company","",""
"id-4f87a140b4a44ee9bde7eb8d808fdc1e","Gap","Guarantee Users Update the Software","",""
"id-cdc80a27cc9f426c95564ea7df035ee9","ImplementationEvent","Implementation of Autoupdater Piece of Software","",""
"id-a9b7e3d685194071b70f08ca20736933","Plateau","Baseline Architecture","",""
"id-c4eb396033474ce8bd2a05a4d0cde67b","Plateau","Target Architecture","",""
"id-8779269d947848f0bd7a5e1c0dacf0b3","WorkPackage","Software Improvement","",""
