"ID","Type","Name","Documentation","Specialization"
"559863ec-4c67-43b1-b1ab-a8add55cc20f","ArchimateModel","2. Value experience Software Management","",""
"fc3faa48-5a35-4ff6-9574-bcd6d788987b","Capability","Continue ontwikkeling applicatie sotfwareproductent","",""
"d9d9d2e1-27e9-4f7d-9ef9-85221fd47439","BusinessCollaboration","Overleg noodzaak Afdeling MICT & Databasebeheerder Leverancier","",""
"ae3dfa9a-b694-41f4-b83e-6e9e098b0325","BusinessProcess","Installatie software","",""
"b002249a-d74b-4644-aae9-c9a42d712ace","BusinessProcess","Patches / Fixes installeren","",""
"bcb8759d-5525-49fe-8189-261845b34827","BusinessProcess","Reguliere update installeren","",""
"c51e14cb-ae81-4328-90b8-a612755fa792","Assessment","«Likelihood» 40%","",""
"0964ed7d-5ceb-4828-b533-1f7fe9d8cce0","Assessment","«Likelihood» 60%","",""
"d5ca0a68-d733-4282-aa85-cd55b6766a65","Goal","«FunctionalGoal» Werkende database","",""
"5213e237-9220-4fae-86b8-efc21c209c05","Goal","«FunctionalGoal» Werkende en integere database","",""
"7259dce3-013e-41f6-87bf-cb004c7d2668","Goal","«QualityGoal» Up-to-date database","",""
"8d42ba43-9fab-4887-bfd8-97c67996258e","Goal","«QualityGoal» Veilige database","",""
"a11ddf84-4a65-4ac3-bb32-48fbc9b1fd54","Stakeholder","Afdeling MICT","",""
"3939cf3b-926f-4532-9f75-d82d1488a506","Stakeholder","Stakeholder","",""
"248d3646-f2d4-498d-8a15-973c133b95f0","Grouping","«ValueExperience» Software Management","",""
"1e2b62d5-4d15-4f31-bff5-27825ae010e6","Junction","Junction","",""
