"ID","Type","Name","Documentation","Specialization"
"id-5bc40983-7970-4c26-a480-5e183da9d19d","ArchimateModel","NEO Architecture Reference Model for .NET Developers (neo-charm)","",""
"id-2f6bad60-6b7b-4735-8c11-9eef598e1a10","Product","Neon Wallet","",""
"c9bcbc78-ce6c-401a-91f3-ce4af05e64c7","ApplicationComponent","Client Project [ASP.NET, WinForms, WPF, Xamarin (Android, iOS), Console App]","",""
"id-733a8c30-d9ec-4b75-8e75-2f3d23d83029","ApplicationComponent","Contract Project","",""
"e1ccaf87-30de-4065-9492-7a3763789379","ApplicationComponent","Driver Project","",""
"id-2d14ee70-9494-4f43-9b8e-f629183df2c5","ApplicationComponent","Model Project","",""
"id-4e48f378-b3b0-4e7f-b068-7f8b21937328","ApplicationComponent","neo-cli","",""
"id-16168292-71c2-450e-9d8f-a9434c29b880","ApplicationComponent","neo-gui","",""
"id-8f296499-7cf8-4fca-80e0-da3faed0d9ec","ApplicationComponent","neo-gui-developer","",""
"id-6be46262-f91b-4442-86db-904c4fe9a530","ApplicationComponent","neo-python","",""
"id-67debcf9-8578-494a-a227-a58de0ab88ed","ApplicationComponent","NPC Compiler (npcc)","",""
"id-6f3aae8d-94f2-4617-89da-6d4e959ad83d","ApplicationFunction","CodeGen","",""
"id-1f2a2945-745f-4cb1-9704-f9a39ad9c9d4","ApplicationFunction","Parse","",""
"id-97d42460-b697-4ff3-8dab-82cb549f8289","ApplicationFunction","Verify","",""
"id-4585e57f-653c-41e8-a08c-888bae951096","DataObject","_approverScriptHash","",""
"id-64fc00bc-8160-4126-8de5-06d2e2fd706e","DataObject","_approverScriptHash","",""
"id-30b69e9c-b565-49b9-835c-5b5f5a15d304","DataObject","_balance","",""
"f4f31aef-67c3-41d5-ba84-09cf10aa597a","DataObject","_currentNumber","",""
"id-264cf1e2-7a8e-4e63-9700-fa369b0cb408","DataObject","_debitCreditAmount","",""
"id-8404fad3-4d2c-4772-aa98-ac8a251e3f04","DataObject","_decimals","",""
"id-9905f8aa-15bb-4c17-b4ee-176c1afcbc2b","DataObject","_encryptedBlobURI","",""
"id-1fd77b48-acb7-4ad5-93c4-86c81c2781a6","DataObject","_fromScriptHash","",""
"id-5504b827-6cdf-476c-9aa7-85b4478b98aa","DataObject","_lastTxTimestamp","",""
"d64e6134-b135-4141-8362-d0d39eb4676d","DataObject","_name","",""
"id-3bdb0e55-b6c3-432d-8b6c-10acb784f1ce","DataObject","_name","",""
"f1e4faba-41f0-49ed-b92f-7157eea0328a","DataObject","_reqIndex","",""
"ff01e870-ef30-458b-afa6-4381e0e60ee6","DataObject","_reqPublicKey","",""
"id-049085fe-e68c-486e-82a3-aaf3cc697a24","DataObject","_reqPublicKey","",""
"f3667b5f-4466-405c-b4aa-95c1bddd2a1a","DataObject","_symbol","",""
"a323be6d-96ba-430d-bca9-31dd1c5d0606","DataObject","_title","",""
"id-37703396-5eff-454e-bb74-5d9ed1cbcec6","DataObject","_title","",""
"id-1a16a8fd-272e-411b-a4dd-dbc6773186ea","DataObject","_toScriptHash","",""
"id-5919f8bd-954a-4f77-8b58-a5ca8d34c826","DataObject","_totalSupply","",""
"a0b8df67-a1c1-4363-8b12-47ff53424fed","DataObject","_workflowState","",""
"c4126a7f-78cd-409c-b38a-40c6fcaad1af","DataObject","AltStack","",""
"id-2459f8b8-2015-4a3d-9701-b50d71edfd7d","DataObject","CallingHashScript, EntryHashScript, ExecutingHashScript","",""
