"ID","Type","Name","Documentation","Specialization"
"id-225eff63-035e-479a-be23-84c6a33e696d","ArchimateModel","12 Association Patterns","",""
"id-34b38af4","BusinessObject","employee","",""
"id-75e1a92b","BusinessObject","employee","",""
"id-98b9e0e6","BusinessObject","employee","",""
"id-5e29f24e","BusinessObject","organization","",""
"eb054864","BusinessObject","organization","",""
"id-89ed14f5","BusinessObject","organization","",""
"id-260b3804","ApplicationComponent","class employee","",""
"ae146af0","ApplicationComponent","class employee","",""
"id-62c1a502","ApplicationComponent","class employee","",""
"id-68472db1","ApplicationComponent","class organization","",""
"ca1f0964","ApplicationComponent","class organization","",""
"id-46fa67ed","ApplicationComponent","class organization","",""
"id-286992a7","DataObject","array of references to the employees","",""
"f4f73189","DataObject","ordered list of references","",""
"id-3dfa7b28","DataObject","pointer to organization","",""
