"ID","Type","Name","Documentation","Specialization"
"id-b5dda01d-52f5-4a9d-a02d-61c14a29befb","ArchimateModel","CAUDIT-UCISA-CRUE Merge Capability model","",""
"523c5f19-8643-4cf3-a7e2-086a9ef62dfa","Capability","Acreditación profesional","",""
"1ece1392-f7a3-4c11-a797-136f2976c531","Capability","Administración académica","",""
"ea75d54e-0e62-45f3-9ec8-98aa90b204e1","Capability","Administración de estudiantes","",""
"93dd1ff5-c72f-4b6b-8ab1-cf9301c27104","Capability","Administración de la investigación","",""
"c977dea7-6600-486e-897c-c90df2ec9789","Capability","Alineación, Planificación y Organización","",""
"0b2e4c1a-19f5-447f-a978-2505b618696b","Capability","Analítica de la información","",""
"3a763938-44d6-449c-83a8-431a6e717e49","Capability","Análisis comercial del mercado","",""
"f905f5bc-799a-46da-a3a5-ad0c67e7c23c","Capability","Análisis de oportunidades de Investigación","",""
"1109e7d4-b054-41cc-bcbe-791bcbde76dc","Capability","Aprendizaje profesional (personal)","",""
"1ff667da-0d85-4a38-a67a-e079f85e4ad6","Capability","Arquitectura Empresarial","",""
"93cf4b2a-4217-44e3-b731-93c7d2ff19e7","Capability","Asesoramiento de alojamiento","",""
"26d7ba39-de19-426d-854a-901ae0f5bdc9","Capability","Asesoramiento financiero","",""
"33e0e230-fd83-483c-afe4-74908e235e80","Capability","Asesoramiento financiero a los estudiantes","",""
"6865d43a-6f37-45e5-a62d-6699393aab55","Capability","Asesoramiento legal","",""
"e41a7807-e751-492e-9a93-0fa617c90b50","Capability","Asignación de alojamiento","",""
"a676088d-0ef8-4612-8007-112e280ce939","Capability","Atracción y captacion de estudiantes","",""
"9c6f9551-78f2-4108-9553-ecdf86349538","Capability","Atracción y retención de investigadores","",""
"9092dfd0-ab09-4095-b3d5-31f08df34945","Capability","Auditoría interna e informes","",""
"d6569bb4-839d-47cf-8346-8a7dcea7a1e9","Capability","Búsqueda y descubrimiento de la información","",""
"360c1e40-d667-4189-bb1a-da4565c6af87","Capability","Capacidades Habilitantes","",""
"04b36097-2a93-4680-ad7f-2a5fa1105589","Capability","Captación de estudiantes del territorio","",""
"d96b4d48-286d-4549-bbf3-a37122c5834b","Capability","Captación de estudiantes internacionales","",""
"a29e20b8-28a9-4a6f-ac75-3af8fe905fe2","Capability","Captación de financiación de investigación","",""
"48291ae7-875f-41a2-8922-e924ec0f56f0","Capability","Captación de personal","",""
"id-0e17eb03-c63c-4e76-8653-24b29fff0dd6","Capability","CAUDIT Academic Administration","",""
"id-1272fbbc-65a5-4a91-868f-fe23a71c8a83","Capability","CAUDIT Academic Advice","",""
"id-9d7c1834-6ace-4560-9b5e-e70683e3cf1c","Capability","CAUDIT Academic Policy Administration","",""
"id-13ea7551-5c86-4d04-af23-60db43f691a8","Capability","CAUDIT Academic Skills Development","",""
"id-addb4607-340c-42e4-9138-2a6e9403a900","Capability","CAUDIT Academic Year Scheduling","",""
"id-1fa12999-9214-4f45-b547-9d66bd7cf285","Capability","CAUDIT Accommodation Management","",""
"id-bcf519df-84a3-483b-a813-559718e5c1f7","Capability","CAUDIT Accounts Payable","",""
"id-360240e1-c599-4a19-99f0-3c68161613dd","Capability","CAUDIT Accounts Receivable","",""
"id-79f613ed-511a-4509-a777-e1baef015e12","Capability","CAUDIT Accreditation","",""
"id-8a6623e3-e7fc-4fef-8f10-0229db74a906","Capability","CAUDIT Admission Evaluation","",""
"id-4dcd09de-eea7-4789-ac46-4cf0d9c95433","Capability","CAUDIT Advanced Analytics","",""
"id-4ab7b63b-4d60-44bf-aa10-0aa130f522f9","Capability","CAUDIT Advertising Management","",""
"id-de46f0ed-65dd-4cbf-9cbe-a618d6c34a33","Capability","CAUDIT Agent Management","",""
"id-6f3a2946-4702-4d83-a95a-6445473ce61f","Capability","CAUDIT Alignment, Planning & Organisation","",""
"id-828e726e-0038-40ac-a9ba-37b3cdb840ed","Capability","CAUDIT Allocation & Placement","",""
