"ID","Type","Name","Documentation","Specialization"
"id-6809f538-6899-4f5d-8123-0ff8000cd486","ArchimateModel","Interoperability testing snippet-1","",""
"id-2d231c8f-3462-4e9f-ab55-d86b077d7a89","CommunicationNetwork","Internet","",""
"id-1ac2971d-9721-4876-b783-3337cd38ed49","CommunicationNetwork","LAN L1","",""
"id-7c68fdbd-dffa-4982-b141-0b3b72325524","CommunicationNetwork","LAN L2","",""
"id-787ad6a1-2231-4d5e-8a61-864327aef573","Device","Back Office application server","",""
"id-d32fee87-70e9-48e4-bf2a-c0811ee04e80","Device","Blade","",""
"id-ea7658b9-be39-4e1f-9e48-d6fc4b0ba37c","Device","Front Office application server","",""
"id-919c56cf-e761-4772-a0c1-768ce49a514c","Device","Nas File Server","",""
"id-65871168-8837-4cd1-806a-4b73449b4476","Device","UNIX Server","",""
"id-5ef201b4-e37d-4cd1-a7db-c09f438eeea6","Device","UNIX Server","",""
"id-89a3ec7d-ec9f-47eb-ab29-c8ee629d27eb","Device","Web server","",""
"id-4ecf7b1b-3b74-4536-9465-b4ce79e225b5","Node","Application server","",""
"id-58fc23fa-aea6-4bde-8620-8e8314154dc6","Node","Application server AS1","",""
"id-5d1855ae-42c6-4af8-8679-0974b3631fbe","Node","Client device","",""
"id-267c7a3b-bbfa-45ac-b2c7-ec7312598154","Node","Firewall","",""
"id-545223ec-e8a6-4e39-af68-d7ae48820cd9","Node","Mainframe","",""
"id-a36a629f-c422-425d-a5e3-5e3364c5a21a","Node","UNIX Server Farm","",""
"id-395d19cc-b299-4dc6-a073-53601562eae5","Path","Message queuing","",""
"id-dd5d2b29-00e2-4974-98f9-72659ccbb7f8","SystemSoftware","DBMS","",""
"id-3fc8c4c7-8526-460f-915f-b21a370f4bd3","SystemSoftware","J2EE Application Server","",""
"id-679040c4-8188-418e-babc-0ceb66214e4b","SystemSoftware","Message Queuing","",""
"id-c571daef-26a5-4982-9f43-4d444b15dce8","SystemSoftware","Transaction Server","",""
"id-2d0964d0-6843-4b0a-96a3-f6027efa5561","TechnologyService","Database Service","",""
"id-c08db88a-4031-4d25-b901-18b590781ec6","TechnologyService","File Service","",""
"id-5090b1f5-bc5f-4225-97cb-765cf80f95e5","TechnologyService","Network Service","",""
"id-297c9467-cdf2-4b09-9e98-e588c576fe23","Location","ArchiSurance Office","",""
