"ID","Type","Name","Documentation","Specialization"
"_bKP5kEimEe22546wEPhU_w","ArchimateModel","lab2interactiuena","",""
"_FdIuwCrXEDuaJplOEUSGVw","ApplicationComponent","Component","",""
"_9NzV0CrWEDuaJplOEUSGVw","ApplicationComponent","Main menu","",""
"_SHxDwCrWEDuaJplOEUSGVw","ApplicationComponent","Match details","",""
"_frYZwCrWEDuaJplOEUSGVw","ApplicationComponent","Notifications","",""
"_bsPqsCrWEDuaJplOEUSGVw","ApplicationComponent","Settings","",""
"_m-RqgCrUEDuaJplOEUSGVw","ApplicationComponent","Splash","",""
"_Fsr4kCrVEDuaJplOEUSGVw","ApplicationInterface","Basketball","",""
"_Cq7XwCrVEDuaJplOEUSGVw","ApplicationInterface","Football","",""
"__3PvMCrUEDuaJplOEUSGVw","ApplicationInterface","Sport selector","",""
"_ElV2ACrVEDuaJplOEUSGVw","ApplicationInterface","Tennis","",""
"_fmV-MCrVEDuaJplOEUSGVw","ApplicationService","All games","",""
"_ifk1ICrVEDuaJplOEUSGVw","ApplicationService","Favourites","",""
"_hHJpoCrVEDuaJplOEUSGVw","ApplicationService","Live games","",""
"_f9WTgCrWEDuaJplOEUSGVw","ApplicationService","Odds","",""
"_gAu-sCrWEDuaJplOEUSGVw","ApplicationService","Others","",""
"_-ksFsCrVEDuaJplOEUSGVw","ApplicationService","Selected sport","",""
"_kzBecCrVEDuaJplOEUSGVw","ApplicationService","Standings","",""
