"ID","Type","Name","Documentation","Specialization"
"id-49baab359d914f8798d48b0db7e6621a","ArchimateModel","bank-of-future","",""
"id-1b695f3e637a47eda2f232297a839d4b","BusinessActor","Banco","",""
"id-8adf063181a54dff9007e289014d7a8c","BusinessActor","Cliente","",""
"id-d34c246b094546a6a6670d9b6168a6d8","BusinessEvent","solicita producto o servicio","",""
"id-7198732ebfe04c6d87166400f80c2968","BusinessFunction","","",""
"id-cc6724805de84c0cb09c675a6db08b1c","BusinessFunction","Activar producto","",""
"id-f1b4446417e240e291eb0105d6a80501","BusinessFunction","Activar servicio","",""
"id-9cc0e416be0043f3bb94b361fc277c3d","BusinessFunction","Adquirir tecnología","",""
"id-07418e21e9304a97b16fca899e167433","BusinessFunction","Analizar cliente","",""
"id-9b4fd192df9c4221a009ad01e2cde48d","BusinessFunction","Analizar competencia","",""
"id-8f9514fc5a1c44fdbb6d28593542cd4c","BusinessFunction","Analizar mercado","",""
"id-9083c3ca911745a28e3d7f3625a7e8fd","BusinessFunction","Aprobar solicitud","",""
"id-1b1a7cfa11d54df29aee8f3fd1c0131d","BusinessFunction","Asociar producto o servicio a cliente","",""
"id-2c345adcc1f14c6997ab2065c6a02ba6","BusinessFunction","Definir apetito y toleracion del riesgo","",""
"id-5eb5112a593f45faa09f461e1b8c6454","BusinessFunction","Definir competencias","",""
"id-5830bc3c24bf4103967326e2748bdfcb","BusinessFunction","Definir estrategia de gestion de recurso humano","",""
"id-15a5403da015451aa6b580fb499c8936","BusinessFunction","Definir estrategias de respuesta al riesgo","",""
"id-41fa885e460340b79c5bad72e85e6fbb","BusinessFunction","Definir plan de entrenamiento y mentoring","",""
"id-e3fa6e3f2ba24a7ea6210699edeb8667","BusinessFunction","Definir plan de motivación y retención","",""
"id-2e245646eca345238ca488302b2e98c7","BusinessFunction","Definir procesos y herramientas de cumplimiento","",""
"id-8661779766a941348bedc228e7394dde","BusinessFunction","Desarrollar tecnología","",""
"id-845dc5ae229d4dbe9ab645235390e8a8","BusinessFunction","Desplegar tecnología","",""
"id-f8c08241e3704b5bbbd04fc02443907d","BusinessFunction","Establecer estructura organizacional para manejo de riesgo ","",""
"id-e7cf1a34946344b6b75264389907ddee","BusinessFunction","Establecer requerimientos de cumplimiento","",""
"id-7ddfd00549c34ad4bacf6edc979bfe91","BusinessFunction","Estudiar solicitud","",""
"id-a3c663aa50b54d22ad4e83974b2170b0","BusinessFunction","Gestionar datos e información.","",""
"id-fbc6729465c74bf998b8ee06a91ba0a6","BusinessFunction","Gestionar infraestructura","",""
"id-c4258c8a385c405d8eb430a486a00fa2","BusinessFunction","Gestionar Solicitud","",""
"id-c57e2fe4b2b240738421c0dc3b0ba176","BusinessFunction","Habilitar producto o servicio a cliente","",""
"id-dd9257194ce449eaa8f5109ae29bd4b2","BusinessFunction","Legalizar produto o servicio","",""
"id-1aaea3efb5ca47bd8c6db18248772aeb","BusinessFunction","Monitorear riesgo","",""
"id-ae89aab80e504aa1b03db8ae6580ff51","BusinessFunction","Recibir solicitud","",""
"id-8821c350863e4281bf784b55d137794a","BusinessFunction","Reportar riesgo","",""
"id-fe7aa34c946f4f229da5a44d3dd3d714","BusinessFunction","Soporte de usuarios","",""
"id-8fc86803451547feb7fe5e91462ac073","BusinessFunction","Soporte tecnologico","",""
"id-6ced5728ce784b87a178982c6bd16c13","BusinessProcess","Activacion de productos y servicios","",""
"id-a4b906fc62ce457fb7986805e19f8ba6","BusinessProcess","Business Process","",""
"id-0cc851e54261478a938c655c25356da9","BusinessProcess","Gestión de cumplimiento","",""
"id-852b999ab1164802a20997ec278536a1","BusinessProcess","Gestión de talento humano","",""
"id-61f79f68a0eb40119e7d4c99c6648ece","BusinessProcess","Gestión del riesgo","",""
"id-4c62d0d1c0c4412cb91bac2b8eac8060","BusinessProcess","Gestión tecnologías de información.","",""
"id-54ab1b5c483c4b639549afacc4f5cbcf","BusinessProcess","Mercadeo y produccion de productos y servicios","",""
"id-e3a710b2932b4ffbb26e12a30dd7848c","BusinessProcess","Operación de productos o servicios","",""
"id-8b555d1fb76f4ef8999561f2de598628","BusinessProcess","Transancción de productos y servicios","",""
"id-a91eb8e58c264334b4607f347dc9c683","BusinessService","Productos y servicios bancarios","",""
"id-f1ae7cd899e04c50917ff111b208334c","BusinessService","Productos y servicios bancarios (copy)","",""
"id-e51dbb0cde584d2b831d84f654c8245e","Product","Producto o Servicio","",""
"id-21951205c8f843a69bb3c518a7b1bccf","ApplicationComponent","Cajero electronico","",""
"id-b7db6a8f9a5e46c496953ae7faecb0d1","ApplicationComponent","Core Banking","",""
"id-1bc164c7d9a54be2800343b7b30f1cd5","ApplicationComponent","Corresponsal No Bancario","",""
"id-cce17439251f46f7ad4ad102586f001d","ApplicationComponent","CRM","",""
"id-ef602199a44b4fb99618c2a29d77dfb7","ApplicationComponent","Gestión documental","",""
"id-659a945846e648bdaefbf0cd3f571646","ApplicationComponent","Portal Móvil","",""
"id-5ae2f075c59c46af87afdfb28ba0a649","ApplicationComponent","Portal transaccional","",""
"id-5c1d66967717479ea29a83a37b72e812","ApplicationComponent","sincronización de informacion","",""
