"ID","Type","Name","Documentation","Specialization"
"fff566e2","ArchimateModel","Decorator","",""
"id-0efb4ae8","ApplicationComponent","class Concrete Component (BASE functionality)","",""
"aa8e1e0c","ApplicationComponent","class concrete decorator A","",""
"id-4688237e","ApplicationComponent","class concrete decorator B","",""
"ae2469e0","ApplicationComponent","class decorator (ADDITIONAL functionality)","",""
"fd9f1d0b","ApplicationFunction","add(component)","",""
"f9065e4e","ApplicationFunction","added behavior","",""
"c4a50134","ApplicationFunction","constructor","",""
"a586803c","ApplicationFunction","constructor","",""
"e16fc503","ApplicationFunction","constructor","",""
"c0d762e0","ApplicationFunction","constructor","",""
"id-1500d1cd","ApplicationFunction","constructor","",""
"id-4442b285","ApplicationFunction","constructor (copy)","",""
"id-3ef8886a","ApplicationFunction","getChields()","",""
"f8c91528","ApplicationFunction","getChields()","",""
"id-3e9f6457","ApplicationFunction","getChields()","",""
"a62b87c6","ApplicationFunction","operation 1","",""
"id-0f5dab58","ApplicationFunction","operation 1","",""
"id-2ae5002e","ApplicationFunction","operation 1","",""
"id-73ab211e","ApplicationFunction","operation 1","",""
"faabd9df","ApplicationFunction","operation 1","",""
"c72d1312","ApplicationFunction","operation 1","",""
"id-88844be4","ApplicationFunction","operation 1 (copy)","",""
"id-2280a6bb","ApplicationFunction","operation 2","",""
"id-6b815416","ApplicationFunction","operation 2","",""
"e1f7d834","ApplicationFunction","operation 2","",""
"id-2783151e","ApplicationFunction","operation 2 (copy)","",""
"b6c5d1ac","ApplicationFunction","remove(component)","",""
"id-35b84d56","ApplicationFunction","remove(component)","",""
"a56e7758","ApplicationFunction","remove(component)","",""
"id-3fd7f603","ApplicationFunction","SUPERCLASS::operation2","",""
"a1eb2cb5","ApplicationFunction","SUPERCLASS:operation 2","",""
"id-072524bc","ApplicationInterface","interface component","",""
"d2b0bce4","ApplicationProcess","add component to list","",""
"id-482b775c","ApplicationProcess","add concrete component inside decorator","",""
"abff4c3b","ApplicationProcess","add decorator A inside","",""
"aab32adb","ApplicationProcess","call decorator method","",""
"id-47ad65c3","ApplicationProcess","call operation on each list","",""
"id-81fdd5e9","ApplicationProcess","call superclass.operation 1","",""
"ab2c8511","ApplicationProcess","call superclass.operation 1","",""
"a875fb12","ApplicationProcess","call VAR.operation1","",""
"id-6d5f9411","ApplicationProcess","create component","",""
"id-5b2efb67","ApplicationProcess","create concrete component","",""
"a304cc96","ApplicationProcess","create decorator (and put inside component)","",""
"id-31f7fa61","ApplicationProcess","create decorator A","",""
"b4751a0a","ApplicationProcess","create decorator B","",""
"a8bdd899","ApplicationProcess","enhance functional of operation 1","",""
"id-820299dd","ApplicationProcess","enhance functional of operation 1","",""
"id-3e4761de","ApplicationProcess","for each list member","",""
"a87b76d3","ApplicationProcess","get components list","",""
"id-22c6547d","ApplicationProcess","receive and store some DATA","",""
"b01341f9","ApplicationProcess","remove component from list","",""
"id-96ff1fad","ApplicationProcess","return NULL (copy) (copy)","",""
"cf39bce8","ApplicationProcess","return NULL (copy) (copy)","",""
"df2b8c2b","ApplicationProcess","return SELF","",""
"id-6516549a","ApplicationProcess","some operation on component (copy)","",""
"a3174833","ApplicationProcess","some operation on component (copy) (copy)","",""
"id-393da4ae","ApplicationProcess","some operation on component (copy) (copy)","",""
"id-631f8311","ApplicationProcess","some operation on DATA","",""
"id-9e1f2523","ApplicationProcess","some operation on DATA","",""
"ca7f4fc3","ApplicationProcess","some operation on decorator B(through all tree)","",""
"id-3663c579","ApplicationProcess","some operation on leaf (copy) (copy)","",""
"f4459f06","ApplicationProcess","VAR=some COMPONENT","",""
"id-0cff5c46","DataObject","concrete component","",""
"id-6a6cf80d","DataObject","decorator A","",""
"id-796f4bf2","DataObject","decorator B","",""
"id-0e33f2d3","DataObject","leaf","",""
"id-196d975e","DataObject","leaf","",""
"b0aea07f","DataObject","leaf","",""
"b0814187","DataObject","leaf","",""
"b2126115","DataObject","VARIABLE of some HANDLER interface","",""
"id-17c73d3c","DataObject","VARIABLE of some HANDLER interface","",""
"d7f29448","DataObject","VARIABLE to some interface COMPONENT type","",""
"b7d312d8","DataObject","VARIABLE to some interface COMPONENT type","",""
"ae475cef","DataObject","VARIABLE to some interface COMPONENT type (copy)","",""
"id-3cc93cd3","DataObject","VARIABLE to some interface COMPONENT type (copy)","",""
"id-717ff9fb","DataObject","VARIABLE to some interface COMPONENT type (copy)","",""
