"ID","Type","Name","Documentation","Specialization"
"id-e617d286bb624dadbff2876a66a0a154","ArchimateModel","eHealth_RUZ","",""
"id-ea79fc9973af48e88ece8aba86f613de","Capability","API","",""
"id-d3cbc4362be641d4a6cecafa2e8f5a4b","Capability","DevOps","",""
"id-f0f18b413f21481abb26a040b3beb0b8","Capability","ETL","",""
"id-e9a8d0c98a7e4931930ab8f5af800e39","Capability","IoT","",""
"id-4353521dd540439a82a3b7e1f437f1bc","Capability","REST","",""
"id-b548f9165cfb40f4a7bc31545450d146","Capability","Workflow","",""
"id-9f59a4efb182479ab8028da53c435437","Capability","Амбулаторные Карты","",""
"id-817d1b04eee94fe583156c9f98612ff2","Capability","Аналитика и Отчетность","",""
"id-d56f0d98a2504ac5a34111e0d26bef81","Capability","Аналитические Инструменты","",""
"id-a31847783a9b4bf4b4b4ffb4af45ce65","Capability","Аптечное Дело","",""
"id-b3844d607d4c4bfebb8f168a85515c5a","Capability","Бактериологические исследования","",""
"id-ab08900eccd74390910a9303e465bcf0","Capability","Вакцинация","",""
"id-f02c7bcd6315436bb0961ce6c42376c2","Capability","Валидация результатов","",""
"id-2dedb3f6c9b443328fe4a89e1c2fcfb5","Capability","Ведение лабораторных журналов","",""
"id-8a775f96ce27493c98a4ced9e10a02f7","Capability","Выдача результатов","",""
"id-e2eadb5fedbe450bb2840cf1c3afd671","Capability","Демография","",""
"id-2d3e70ca241a45048e96e42bbef8e0d2","Capability","Защита Информации","",""
"id-166d8c75e24447c89b769af5bece6021","Capability","Изделия Медицинского Назначения","",""
"id-80ff8bba44454908ad7a5fb05db06214","Capability","Индивид. Датчики","",""
"id-7520403d07c543cf8ca888cc29ca061a","Capability","Интеграционные Решения","",""
"id-a65d0f3335fc4cd49e5dfd30dd450a36","Capability","Интеграция с Внешними Системами","",""
"id-34a9854641554397a346aa68ee8e98b9","Capability","Истории Болезни","",""
"id-e43291ebb99f4e5d94e4381669ab7d29","Capability","Каналы Доступа","",""
"id-703f3ad0547647bcbadf985a6220f152","Capability","Клинические порталы","",""
"id-262994cbad594d52b9d6404b06951862","Capability","Коды Медицинские","",""
"id-2c6a174c06ab4ddd9c8be6388f326286","Capability","Коды страховые","",""
