"ID","Type","Name","Documentation","Specialization"
"_gOHFUBKcEeuxZMUIY-ihGw","ArchimateModel","enterprise","",""
"_gOI6zRKcEeuxZMUIY-ihGw","BusinessActor","Actor","",""
"_gOI6uRKcEeuxZMUIY-ihGw","BusinessService","Blog","",""
"_gOI6yxKcEeuxZMUIY-ihGw","BusinessService","Service","",""
"_gOI6txKcEeuxZMUIY-ihGw","BusinessService","Sito Ufficiale","",""
"_gOI6xxKcEeuxZMUIY-ihGw","ApplicationService","Archilovers","",""
"_gOI6yRKcEeuxZMUIY-ihGw","ApplicationService","Architonic","",""
"_gOI6uxKcEeuxZMUIY-ihGw","ApplicationService","Facebook","",""
"_gOI6wRKcEeuxZMUIY-ihGw","ApplicationService","Google+","",""
"_gOI6vRKcEeuxZMUIY-ihGw","ApplicationService","Instagram","",""
"_gOI6xRKcEeuxZMUIY-ihGw","ApplicationService","SlideShare","",""
"_gOI6wxKcEeuxZMUIY-ihGw","ApplicationService","Twitter","",""
"_gOI6vxKcEeuxZMUIY-ihGw","ApplicationService","Youtube","",""
