"ID","Type","Name","Documentation","Specialization"
"id-5ef2e055","ArchimateModel","2 Active Record","",""
"ec2ae6ef","ApplicationComponent","class active record 1","",""
"id-7b3afe4b","ApplicationComponent","class active record 2","",""
"c5df8899","ApplicationComponent","class active record 3","",""
"id-784e289e","ApplicationComponent","class finder 1","",""
"id-438f0620","ApplicationComponent","class finder 1","",""
"id-51b490c6","ApplicationComponent","class finder 2","",""
"id-77de56bc","ApplicationComponent","class finder 2","",""
"id-747a8677","ApplicationComponent","class finder 3","",""
"ab1eda4d","ApplicationComponent","class finder 3","",""
"id-6290c604","ApplicationComponent","class row data gateway 1","",""
"id-501ba834","ApplicationComponent","class row data gateway 2","",""
"id-35ddd824","ApplicationComponent","class row data gateway 3","",""
"bc7b184a","ApplicationFunction","Create (parameters)","",""
"e143ae5e","ApplicationFunction","Create/insert (parameters)","",""
"a40098a9","ApplicationFunction","Delete (id)","",""
"id-71a8a6cc","ApplicationFunction","Delete (id)","",""
"a8c5b10f","ApplicationFunction","Find(parameters)","",""
"b5fdfe2c","ApplicationFunction","Read(id)","",""
"id-7a3b025a","ApplicationFunction","some business logic function 1","",""
"id-183a8905","ApplicationFunction","some business logic function 2","",""
"de10b5b8","ApplicationFunction","STATIC factory (params)","",""
"id-877e251c","ApplicationFunction","STATIC Find(parameters)","",""
"id-962e87a7","ApplicationFunction","static load (some object)","",""
"fa4f223f","ApplicationFunction","STATIC Read(id)","",""
"id-7d2580ff","ApplicationFunction","Update (parameters)","",""
"a7b2bdf3","ApplicationFunction","Update (parameters)","",""
"id-5c5f1cf9","ApplicationProcess","change some object some properties for update","",""
"id-83070dbd","ApplicationProcess","change some object some properties for update","",""
"id-9d974a92","ApplicationProcess","create obj and fill properties acording with input args","",""
"id-77a7d540","ApplicationProcess","fill properties acording with some object input args","",""
"d6035339","ApplicationProcess","find some data objects","",""
"id-2136c894","ApplicationProcess","find some data objects","",""
"c3f75089","ApplicationProcess","get id","",""
"f4591627","ApplicationProcess","get id","",""
"c9e2bc80","ApplicationProcess","get props for use in insert","",""
"id-4e905f20","ApplicationProcess","get props for use in insert","",""
"f0f44c8f","ApplicationProcess","get props for use in update","",""
"id-446a8bbe","ApplicationProcess","get props for use in update","",""
"id-0a595228","ApplicationProcess","return array of objects of type 'class active record 1'","",""
"id-5329d040","ApplicationProcess","return array of objects of type 'class row data gateway 1'","",""
"id-1aa33cae","ApplicationProcess","return created object of type 'class active record 1'","",""
"b28d2055","ApplicationProcess","return object of type 'class active record 1'","",""
"bd95e3df","ApplicationProcess","return object of type 'class row data gateway 1'","",""
"id-2b5299e5","ApplicationProcess","some business logic on object","",""
"id-4e37876f","ApplicationProcess","some process","",""
"a93e3ced","ApplicationProcess","some process","",""
"edbf87f8","ApplicationProcess","SQL delete 1 row statement","",""
"id-55beb093","ApplicationProcess","SQL delete 1 row statement","",""
"id-2c753c03","ApplicationProcess","SQL insert 1 row statement","",""
"id-1a1fff31","ApplicationProcess","SQL insert 1 row statement","",""
"c49d6b34","ApplicationProcess","SQL select 1 row statement","",""
"a6417e19","ApplicationProcess","SQL select 1 row statement","",""
"da0b3650","ApplicationProcess","SQL select rows statement","",""
"bbe9f769","ApplicationProcess","SQL select rows statement","",""
"id-337a3232","ApplicationProcess","SQL update 1 row statement","",""
"fe68d478","ApplicationProcess","SQL update 1 row statement","",""
"f86598a7","ApplicationProcess","update 1 object","",""
"id-9d7bd279","ApplicationProcess","update 1 object","",""
"id-1ec07436","DataObject","entity 1","",""
"id-8014c4e5","DataObject","entity 1","",""
"id-4d081f22","DataObject","entity 2","",""
"id-289b17a0","DataObject","entity 2","",""
"id-429088f1","DataObject","entity 3","",""
"id-3d5ecbec","DataObject","entity 3","",""
"id-6b4aef56","DataObject","properties (corresponds to table columns)","",""
"id-8fabaf5d","DataObject","properties (corresponds to table columns)","",""
