"ID","Type","Name","Documentation","Specialization"
"_hTOYIJKIEeqcytSjwrQ0Dg","ArchimateModel","CMArch","",""
"_tZp5gIZCEDiHd-tZ_hynBA","BusinessActor","Главный инженер Проекта","",""
"_fwbR4HS2EDixaOI3wik-xA","BusinessActor","Заместитель Главного инженера Проекта","",""
"_pu4D8XT2EDixaOI3wik-xA","BusinessActor","Инженер по управлению системной конфигурацией","",""
"_6nxgoIZCEDiHd-tZ_hynBA","BusinessActor","Руководитель группы разработки оборудования","",""
"_8cyhgIZCEDiHd-tZ_hynBA","BusinessActor","Руководитель Группы системной и программной инженерии","",""
"_fWcoAIZDEDiHd-tZ_hynBA","BusinessCollaboration","Инженер по управлению конфигурацией оборудования","",""
"_UunGoYZDEDiHd-tZ_hynBA","BusinessCollaboration","Инженер по управлению конфигурацией программного обеспечения","",""
"_caBTIIZDEDiHd-tZ_hynBA","BusinessCollaboration","Инженер по управлению конфигурацией системы","",""
"_EpTeIXS3EDixaOI3wik-xA","Grouping","Группа разработки оборудования","",""
"_DPJ0UXS3EDixaOI3wik-xA","Grouping","Группа системной и программной инженерии","",""
"_4wD_QXS2EDixaOI3wik-xA","Grouping","Группа управления проектом","",""
