"ID","Type","Name","Documentation","Specialization"
"44076c2a-bab4-4eb0-af81-d8d892c711d7","ArchimateModel","LGPD","Determinar a arquitetura to-be de negócios TI para enquadramento na Lei Geral de Proteção de Dados (LGPD). ",""
"1921623e-ab65-49a5-936b-e20d33568697","CourseOfAction","Cadastramento/Gestão dos compartilhamentos de forma geral","Representa o plano para configurar a capability de gestão do compartilhamento. Esse plano irá derivar o processo de gestão do compartilhamento que será mantido em tempo de operação. Há um gap entre a gestão do compartilhamento possível e aquela que é pedida pela lei/pretendida pelo negócio.",""
"4b53b5d3-3ba5-41ec-98a6-5e0e3c8676ac","CourseOfAction","Cadastramento/Gestão dos consentimentos por titular/marca","Representa o plano para configurar a capability de gestão do consentimento. Esse plano irá derivar o processo de gestão do consentimento por titular que será mantido em tempo de operação.",""
"1f4ac0b9-7697-419f-bb88-5018a8d5d898","CourseOfAction","Definir processo de Criação/Manutenção de Compartilhamento(?)","Representa o plano para configurar a capability de gestão do consentimento. Esse plano irá derivar o processo de gestão do consentimento por titular que será mantido em tempo de operação.",""
"3cc32530-81a7-4115-80d8-6a4a02c74689","CourseOfAction","Definir processo de Criação/Manutenção de Consentimento (?)","Representa o plano para configurar a capability de gestão do consentimento. Esse plano irá derivar o processo de gestão do consentimento por titular que será mantido em tempo de operação.",""
"2772b9f7-109a-415c-88b9-facf4f582e67","BusinessActor","Canditato","Pessoa que realizou cadastro para uma vaga e não foi selecionado ou está em período de seleção.",""
"2fb2f421-b72d-4de5-9215-0140c1c39e7b","BusinessActor","Cliente","São todos os demais titulares de dados pessoas físicas, podendo ser os clientes (de lojas ou e-commerce), investidores, visitantes, entre outros.",""
"4294de88-c029-42ee-b862-33aeb1f40b6b","BusinessActor","Compliance","Departamento responável pela gestão dos processos ligados à LGPD.",""
"6263d9ef-3f56-4644-b519-2aac0a237a82","BusinessActor","CSC","Área de Serviços compartilhados. Canal secundário de atendimento de petições.",""
"6b5db769-1bc6-4952-93a0-aa43727f95f6","BusinessActor","Ex-Funcionário","Funcionário inativo.",""
"3420c230-d4d2-4c71-92bb-a9a2a94bdad1","BusinessActor","Fornecedor"," São todos os prestadores de serviços, fornecedores, terceiros  pessoas físicas.",""
"42ed8c1b-6fe8-4ba3-ae6e-669f6ebc69c1","BusinessActor","Funcionário","São todos os colaboradores, tanto ativos quanto inativos.",""
"61faf966-41ce-404a-b6e0-88409b8fc14d","BusinessActor","Jurídico","Departamento Jurídico (sponsor do projeto LGPD).",""
"81c5aef7-22d6-4db6-be5d-bb2206a05fb6","BusinessActor","Marketing","",""
"e1a6c553-8af3-43d6-9827-cb2a7dbc8113","BusinessActor","Requisitante","Ator principal da arquitetura de negócio LGPD podendo ser especializado em diversos tipos.",""
