"ID","Type","Name","Documentation","Specialization"
"id-8aa550a3f57941e69cfd20a06a01e15b","ArchimateModel","Sandbox-Lapierre, Jean B","",""
"id-45013186afde43ee9655ce96bf523d78","Capability","A. Content Hosting In Common Space On One Instance","a) Hosting of content in common space on a single instance;
b) OGD branded sub-school ""condo"" model on a single instance;
c) OGDs working directly with D2L to implement separate instances;
d) Federating with learning platforms deployed by OGDs
",""
"id-c29b574649b144b4a4b8bb4b7d27dd38","Capability","Access Control Via Authorized List of Users-to-Servers","",""
"id-7b3f78818a484e8c809abeab774d6c51","Capability","Allow For SSO Credentials, Learner Attributes, Learning Content, Common Learner Record","Single sign-on credentials, learner attributes, learning content, common learner record.",""
"id-10ed4eedda614ffb8b4c424e701610f5","Capability","B. OGD Branded Sub-school ""Condo"" Model on One Instance","a) Hosting of content in common space on a single instance;
b) OGD branded sub-school ""condo"" model on a single instance;
c) OGDs working directly with D2L to implement separate instances;
d) Federating with learning platforms deployed by OGDs
",""
"id-ef02fcd148d3461e826bc14c68aab77c","Capability","C. OGDs May Work Directly With D2L To Implement Separate Instance","a) Hosting of content in common space on a single instance;
b) OGD branded sub-school ""condo"" model on a single instance;
c) OGDs working directly with D2L to implement separate instances;
d) Federating with learning platforms deployed by OGDs
",""
"id-cd8aa112e65f4a33998cb75b490930b8","Capability","Controlled File Transfer","",""
"id-d1aaaf61bc614749a5979a33297810d5","Capability","Controlled Server Access","",""
"id-ae1fdcf1c6d14f29a1ad56e8b58afedf","Capability","D. Federate with Learning Platforms Deployed by OGDs","a) Hosting of content in common space on a single instance;
b) OGD branded sub-school ""condo"" model on a single instance;
c) OGDs working directly with D2L to implement separate instances;
d) Federating with learning platforms deployed by OGDs
",""
"id-3504c015a4204b16b1db55c95717da5f","Capability","Data Integrity & Confidentiality (File Encryption / Decryption)","",""
"id-daffbb0c8fc04ddcbe547a7c8e50b870","Capability","Email Notification","",""
"id-3a7bacf465114978855777a7d007e850","Capability","Enable Interoperability","D2L supports global learning technology interoperability standards, such as SCORM/xAPI, LTI and IMS common cartridge, enabling reusabilty and interoperability.",""
"id-b23c885846524fe8acdca5c9b1a6e612","Capability","Enable Reusability","",""
"id-26bb5e70f60042268024245e2b52a839","Capability","Instant Translation of Content","",""
"id-5836faca63c948c599d48f628dccc917","Capability","Multilingual Capabilities Added to Communication Channels","",""
"id-ff9d47f01a7d44e59b84f461ebdc223f","Capability","Multilingual Community Interaction Enablement","",""
"id-c914d37d7fe349c3bc3e5af7a78b363f","Capability","Personalized Enterprise Translation Portal","",""
"id-b69c0edfd47244248b3c5dae8bd0a9cf","Capability","Provide Self-Service or API-Based Access to Data / Reports About Own Employees / Learners","Provide OGDs with self-service or API based access to data/reports about own employees/learners",""
"id-db5010a870e14f3da8127c18c48515d2","Capability","Secure Multilingual Employee Collaboration","",""
"id-642bcb907e5141dbba805098732d51ed","Capability","Securely Transfer Files","Allows government organizations to securely transfer files:

between themselves
to and from private organizations",""
"id-de23ffa8b3614d0cbe5a96b2ba48eadf","Capability","Server Scalability (""Capable"")","Servers can be grouped to support more users",""
"id-357ede514a63446097808670b2f7b4f2","Capability","Stakeholder Management (Capability)","",""
"id-537bae0643ad4155ad7f787ce5365a47","Capability","Strong Authentication (using myKEY)","",""
"id-d96606fcccc34ca888a27ad871a5169e","Capability","Support Global Learning Technology Interoperability Standards","D2L supports global learning technology interoperability standards, such as SCORM/xAPI, LTI and IMS common cartridge, enabling reusabilty and interoperability.",""
"id-996b8bc519d64db6a52af80707baf116","Capability","Workforce Management","Two major components of the strategy are workforce management and workload management.",""
"id-2350ec838b2a4068b4dcf12e23392b4a","Capability","Workload Management","Two major components of the strategy are workforce management and workload management.",""
"id-98c9903231ac4157b0a6733d5f5b1a81","CourseOfAction","#1: Ensure that all of the substantial IT elements of ESDC's transformation are delivered","• ESDC is undergoing a massive service transformation right now, as you know.  IITB’s role in this work is suitably large – we must ensure that all of the substantial IT elements of our transformation are delivered, whether by our team or by our service delivery partners.  This work is of highest priority in our Department, and for the GC and indeed for Canadians.",""
"id-229d509a911e4039948745b59bd8f8b2","CourseOfAction","1. Develop Onboarding Inventory (Course of Action)","1. Develop an Inventory of Onboarding",""
"id-6fd172e86df04a7b812ca33127209a5d","CourseOfAction","11 - Incorporate Digital Principles Into Operations, Programs & Service Design","In order to guide and shape how government information, technology and service delivery will be managed in a new digital ecosystem, ESDC is undertaking the following initiatives:
   CSLP – E-Service Re-Procurement;
   Temporary Foreign Worker System and Webservice Enhancements 2.0; and,
   CSLP - New Brunswick SIN Validation. 

These initiatives will help build a set of digital standards into policy, operations and program development.
In response to the COVID-19 pandemic, ESDC created and rapidly deployed the e-service and eSIN applications. Currently, over 99% of EI applications are currently submitted through digital methods. Additionally, Pensions projects, such as CPP-SIS, are further advancing the availability of e-services for that client segment.",""
"id-bb6222ad806343aa9f21df9019899149","CourseOfAction","2. Yearly Onboarding Survey (Course of Action)","2. Yearly survey on Onboarding - with the 2021 April Survey as the baseline.",""
"id-fd62cc19a0594316a2a3813e3b96b306","CourseOfAction","3. Support Pilots (Course of Action)","3. Support Pilots (Ref. Section 2.3).",""
"id-de3d8f40a15443a6a6aa92e88b33b177","CourseOfAction","4. Prototype A ""One Click Away"" Platform (Course of Action)","4. Explore use / develop a prototype platform ""One Click Away"" for Onboarding using Power tool.",""
"id-c59504a83d1343afa69ec35472bf512d","CourseOfAction","57 - Promote digital literacy and collaboration","In order to promote digital literacy and collaboration within the Department, ESDC has developed an Open Source Software (OSS) Management Framework, which encourages employees to contribute to public open source software projects.",""
"id-ef3ae8c0bfac4873a07bf9824990818f","CourseOfAction","7 - Shift Culture & Processes Toward Open By Design","In order to encourage a culture of ""Working in the Open"", and the sharing of software development projects, ESDC is developing an Open Source Software (OSS) Management Framework to guide employees. To this effect, the IT Strategy and IT Research team within ESDC has begun working in the open. Existing project teams are increasingly looking to share their source codes and work in the open (e.g. CDO, CAWS). More than 50 GitHub source code repositories have been shared (32 Developer Experience, 11 Developer Community of Practice [DevCoP] and 9 Service Canada). The DevCoP has numerous repositories on GcCode and GitHub, indicating ESDC’s efforts to both promote and align with the DOSP - working in the open, collaborating widely, using open standards and solutions. Over 99% of EI applications are currently submitted through digital methods. In addition, the Pensions projects (especially CPP-SIS) are further advancing the availability of e-services for that client segment as well.",""
"id-ae5122bc07da44929f534faccd041481","CourseOfAction","70 - Evolve IM/IT management practices, processes and tools","",""
"id-9a2448f6e6124263aab546bc69acbf51","CourseOfAction","73 - Rationalize investments","In order to keep with enterprise IM/IT governance, ESDC is implementing the PMIS Upgrade and Enhancement. ",""
"id-e1c2d3cd890649918e00feed66520684","CourseOfAction","74 - Introduce stronger project oversight at the concept phase","In order to enhance and strengthen the oversight function for IT-enabled projects, ESDC is implementing the PMIS Upgrade and Enhancement. ",""
"id-02729c314feb434695ad67c4ca0b23cd","CourseOfAction","A Modernized EI System","",""
"id-051376e2b2714a4c8112a32bd3212323","CourseOfAction","Accelerate National Action Plan For The National Inquiry into Missing & Murdered Indigenous Women & Girls’ Calls For Justice","Accelerating work on the National Action Plan in response to the National
Inquiry into Missing and Murdered Indigenous Women and Girls’ Calls
for Justice, as well as implementation of the Truth and Reconciliation
Commission’s Calls to Action;",""
"id-bf44479dd7e048efa4c319227f3a6d01","CourseOfAction","Accelerate National Action Plan For The National Inquiry into Missing & Murdered Indigenous Women & Girls’ Calls For Justice","Accelerating work on the National Action Plan in response to the National
Inquiry into Missing and Murdered Indigenous Women and Girls’ Calls
for Justice, as well as implementation of the Truth and Reconciliation
Commission’s Calls to Action;",""
"id-f1e847b6bf83464abc5a047110d03543","CourseOfAction","Accelerate National Action Plan For The National Inquiry into Missing & Murdered Indigenous Women & Girls’ Calls For Justice (copy)","Accelerating work on the National Action Plan in response to the National
Inquiry into Missing and Murdered Indigenous Women and Girls’ Calls
for Justice, as well as implementation of the Truth and Reconciliation
Commission’s Calls to Action;",""
"id-8e74006f185549539e9fee8fc9ed4619","CourseOfAction","Accelerate National Action Plan For The National Inquiry into Missing & Murdered Indigenous Women & Girls’ Calls For Justice (copy) (copy)","Accelerating work on the National Action Plan in response to the National
Inquiry into Missing and Murdered Indigenous Women and Girls’ Calls
for Justice, as well as implementation of the Truth and Reconciliation
Commission’s Calls to Action;",""
"id-aaa8bffaf30843b5aecd3f9059c8eb73","CourseOfAction","Accelerate Our Path to A 100 Percent Net-Zero Electricity Future","The Government is taking real action to fight climate change. Now, we must go further, faster.

That means moving to cap and cut oil and gas sector emissions, while accelerating our path to a 100 percent net-zero electricity future.",""
"id-dc04202d33be4d01a111cea7a1dbfa94","CourseOfAction","Accelerate Work With Indigenous Partners To Address the National Tragedy of Missing and Murdered Indigenous Women, Girls and 2SLGBTQQIA+ People","Everyone in our country deserves to be safe.

That is why the Government will accelerate work with Indigenous partners to address the national tragedy of Missing and Murdered Indigenous Women, Girls and 2SLGBTQQIA+ People.",""
"id-6b040922f9a14dc1b10e8e066fc45f54","CourseOfAction","Action On Climate Change","",""
"id-bf5af85e1eb34e5987405bb126a9bb9f","CourseOfAction","Action On Our Collective Health and Well-Being","Action on our collective health and well-being.

The pandemic has shown us that we need to put a focus on mental health in the same way as physical well-being because they are inseparable.",""
