"ID","Type","Name","Documentation","Specialization"
"id-3b6a8087-f0c6-4280-80bf-4bb2b902dc67","ArchimateModel","Archimate elementy (Česká verze) v1.1","",""
"id-archimate_metamodel_Capability","Capability","Schopnost (Capability)","Poskytuje pohled na vysoké úrovni o současných a požadovaných schopnostech organizace ve vztahu k její strategii a prostředí. Schopnost je ucelenou sadou dovedností, znalostí, potřeb, kontraktů, procesů, služeb a dalších objektů na všech úrovních, které dohromady dávají definovatelný celek.",""
"id-archimate_metamodel_CourseOfAction","CourseOfAction","Prováděcí postup (CourseOfAction)","Prováděcí postup je přístup nebo plán pro konfiguraci některých schopností a zdrojů podniku, prováděných za účelem dosažení cíle. Prováděcí postup představuje to, co se podnik rozhodl udělat. Lze je kategorizovat jako strategie (dlouhodobé) a taktiky (krátkodobé).",""
"id-archimate_metamodel_Resource","Resource","Zdroj (Resource)","Představuje definovatelný zdroj, který je za potřebí mít k dodažení strategie a který se využije pro realizaci strategií, byznysu a procesů.",""
"id-archimate_metamodel_ValueStream","ValueStream","Tok (ValueStream)","Tok hodnot představuje sled činností, které vytvářejí celkový výsledek pro zákazníka, zúčastněné strany nebo koncového uživatele. Hodnotový tok popisuje, jak podnik organizuje své činnosti tak, aby vytvářel hodnotu. Proudy hodnot jsou obvykle realizovány podnikovými procesy, a případně dalšími klíčovými prvky chování. Proudy hodnot mohou být definovány na různých úrovních organizace, např. na úrovni podniku, obchodní jednotky nebo oddělení. Proudy hodnot mohou být složením nebo agregací činností s přidanou hodnotou. Tyto jsou také modelovány s prvkem hodnotového toku a jsou známé jako hodnotové (proudové) fáze, z nichž každá vytváří a přidává inkrementální hodnotu z jedné fáze do další. Tyto fáze jsou obvykle spojeny pomocí tokových vztahů k modelování toku hodnoty mezi nimi.",""
"id-archimate_metamodel_BusinessActor","BusinessActor","Aktér, Účastník (BusinessActor)","Aktér/Účastník je definován jako organizační jednotka schopna vykonávat aktivitu přiřazenou k jedné nebo více byznys rolím. Aktér je subjekt, může to být jedna organizace, organizační jednotka, OVM, nebo samozřejmě i osoba.",""
"id-archimate_metamodel_BusinessCollaboration","BusinessCollaboration","Spolupráce (BusinessCollaboration)","Spojení dvou a více rolí pracující společně k vykonání určitého kolektivního chování. Nebo jiná spolupráce rolí.",""
"id-archimate_metamodel_BusinessEvent","BusinessEvent","Událost, procesní událost (BusinessEvent)","Něco, co se stává (interně nebo externě) a ovlivňuje chování.",""
"id-archimate_metamodel_BusinessFunction","BusinessFunction","Funkce (byznysově) (BusinessFunction)","Prvek chování, který seskupuje chování podle vybraná sady kritérií (typicky požadovaných dovedností, znalostí, zdrojů).",""
"id-archimate_metamodel_BusinessInteraction","BusinessInteraction","Interakce (BusinessInteraction)","Prvek chování, který popisuje chování spolupráce.",""
