"ID","Type","Name","Documentation","Specialization"
"b38cd6d0-e613-4627-8ee2-94d36fa21832","ArchimateModel","oas-core","",""
"id-1d43ce28-e089-464b-9ce3-c7086783e194","BusinessObject","Actividades económicas","",""
"id-448b3776-0b40-4f66-8f18-2fc64cde370e","BusinessObject","Dependencia","",""
"id-7e795834-4a64-449d-8eec-5c1359ed1a0a","BusinessObject","Documento","",""
"id-402d77f5-923b-4b26-90b4-0a6594855943","BusinessObject","Documento Académico","",""
"id-3f2487d2-3d0e-4435-8264-d61a854f9c43","BusinessObject","Documento de identificación","",""
"ae45ec68-fcbf-418f-8162-8b3e47b33ed0","BusinessObject","Documento Financiero","",""
"be41c76e-84ca-4253-932d-df6906666c50","BusinessObject","Ente territorial","",""
"id-0f8b8e86-0d85-49a3-8384-a45232a118fc","BusinessObject","Entidad Financiera","",""
"id-76019bc3-24f1-4e39-ac44-bbe8130386be","BusinessObject","Espacio físico","",""
"id-6b15825f-9e65-4b62-961b-86600b3f2181","BusinessObject","Estado","",""
"id-6c2aff35-07dd-4ebe-9e2d-20c117f74cb6","BusinessObject","Organización","Representa cualquier tipo de entidad u organización, refrentes a entidades o divisiones de las mismas.",""
"id-77166498-0587-4506-b34b-162db86c173e","BusinessObject","Persona","",""
"id-5bfde38c-1627-4e89-9152-1714f2d38022","BusinessObject","Rol","",""
"ebf8ea4d-ea07-42af-9e63-f4d8714de749","BusinessObject","Sucursales","",""
"id-8c2d80f5-9210-4fb4-ac76-689c5f1dfad6","ApplicationCollaboration","Autorización","",""
"id-8098dc58-7182-4cde-aecf-99192301a24b","ApplicationCollaboration","Orquestación","",""
"id-4f8e60bb-09b9-4b95-b498-8be28cf260c6","ApplicationComponent","Documento","",""
"b7b8a5de-b78a-4c89-8727-34a299144739","ApplicationComponent","Identity server","",""
"id-1e07372f-76a5-4d62-bf5b-7d67f6650808","ApplicationComponent","Nodo de configuración","",""
"ed6fdbe8-45b8-42ff-966b-36ac25498327","ApplicationComponent","Oikos","",""
"id-810d1758-25bf-43a7-a739-0cd2978d7b2a","ApplicationComponent","Organización","",""
"id-13c7fc67-12c0-41a2-9b5b-e79c4ddf9dbb","ApplicationComponent","Persona","",""
"ab292672-18ec-469b-8bb3-5a4fb4df39df","DataObject","Contacto","",""
"id-2d9e5279-09bd-43b9-b3ac-1f9a673f17a8","DataObject","Documento","",""
"adc789ae-3fee-4e2d-a640-5da189518c1c","DataObject","Ente territorial","",""
"a128cdc5-3b7a-4de8-9bb9-e37374d76216","DataObject","Espacio físico","",""
"id-7c084c57-55a1-48fb-af85-088ae3be7a6a","DataObject","Estado","",""
"id-70ac4efb-2c74-45ae-9b00-aa9d89e6164d","DataObject","Información académica","",""
"id-4d6aefd9-88ae-4c4d-b21d-dff1ab532e49","DataObject","Información laboral","",""
"b4c79fef-2c6f-40bf-8a52-d0794a45e432","DataObject","Opción","",""
"id-78ab69cc-ea0f-4017-8026-11b0d89a0259","DataObject","Organización","",""
"id-675b9630-3f80-438b-9a6e-bf8ceffa7e64","DataObject","Organización","",""
"id-488ea363-ba4d-4b75-b5ae-060cb55452e9","DataObject","Persona","",""
"id-422f34e6-b67d-4b83-a546-50a2596201ea","DataObject","Relación","",""
"ba1080a9-6a81-442e-a56d-9d83f616037c","DataObject","Rol","",""
"id-84be3840-3757-4313-875f-104537fd3127","DataObject","Subtipo documento","",""
"id-8724889e-c213-4502-9ac7-cd56390d9c2e","DataObject","Tipo documento","",""
"c0e5fe1a-7de3-4f47-8d9a-4fdebaea7bce","DataObject","Tipo espacio fisico","",""
"id-15cdbf87-3a66-430c-9d61-b33b3282324a","DataObject","Tipo organización","",""
"id-08639786-b34c-40f0-9b26-e2904d887420","DataObject","Tipo persona","",""
"id-0480b204-10e5-420e-8202-c08968a7692c","DataObject","Uso espacio fisico","",""
"b5429fc1-86b7-4c28-9619-d48a9ff4a1e0","DataObject","Usuario","",""
