"ID","Type","Name","Documentation","Specialization"
"_ACPIkCd3Ee2TQ77rRj9fOQ","ArchimateModel","exemple hierarchy","",""
"_ACSNDCd3Ee2TQ77rRj9fOQ","BusinessActor","ArchiSurance","",""
"_ACSM7Cd3Ee2TQ77rRj9fOQ","BusinessActor","Client","",""
"_ACSM9id3Ee2TQ77rRj9fOQ","BusinessCollaboration","Insurant","",""
"_ACSNCid3Ee2TQ77rRj9fOQ","BusinessCollaboration","Insurer","",""
"_ACSM_Cd3Ee2TQ77rRj9fOQ","BusinessProcess","Accept and valuate","",""
"_ACSM_id3Ee2TQ77rRj9fOQ","BusinessProcess","Pay","",""
"_ACSM-id3Ee2TQ77rRj9fOQ","BusinessProcess","Register","",""
"_ACSM8Cd3Ee2TQ77rRj9fOQ","BusinessService","Claim registration service","",""
"_ACSNECd3Ee2TQ77rRj9fOQ","BusinessService","Claims administration service","",""
"_ACSM9Cd3Ee2TQ77rRj9fOQ","BusinessService","claims payment service","",""
"_ACSNDid3Ee2TQ77rRj9fOQ","BusinessService","Customer administration service","",""
"_ACSM8id3Ee2TQ77rRj9fOQ","BusinessService","Customer information service","",""
"_ACSNEid3Ee2TQ77rRj9fOQ","BusinessService","Payment service","",""
"_ACSM7id3Ee2TQ77rRj9fOQ","Product","Insurance","",""
"_ACSNHCd3Ee2TQ77rRj9fOQ","ApplicationComponent","CRM system","",""
"_ACSNJCd3Ee2TQ77rRj9fOQ","ApplicationComponent","Financial application","",""
"_ACSNICd3Ee2TQ77rRj9fOQ","ApplicationComponent","Policy administration","",""
"_ACSNIid3Ee2TQ77rRj9fOQ","ApplicationService","Claim information service","",""
"_ACSNGCd3Ee2TQ77rRj9fOQ","ApplicationService","Claims administration service","",""
"_ACSNFid3Ee2TQ77rRj9fOQ","ApplicationService","Customer administration service","",""
"_ACSNHid3Ee2TQ77rRj9fOQ","ApplicationService","Customer information service","",""
"_ACSNGid3Ee2TQ77rRj9fOQ","ApplicationService","Payment service","",""
"_ACSNFCd3Ee2TQ77rRj9fOQ","ApplicationService","Service","",""
"_ACSNMCd3Ee2TQ77rRj9fOQ","Artifact","Financial application EJBs","",""
"_ACSNNCd3Ee2TQ77rRj9fOQ","Device","Sun Blade","",""
"_ACSNKid3Ee2TQ77rRj9fOQ","Device","zSeries mainframe","",""
"_ACSNLCd3Ee2TQ77rRj9fOQ","Equipment","DB2 database","",""
"_ACSNMid3Ee2TQ77rRj9fOQ","Node","Sun Blade","",""
"_ACSNLid3Ee2TQ77rRj9fOQ","SystemSoftware","DB2 database","",""
"_ACSNNid3Ee2TQ77rRj9fOQ","SystemSoftware","iPlanet app server","",""
"_ACSNJid3Ee2TQ77rRj9fOQ","TechnologyService","Claim files services","",""
"_ACSNKCd3Ee2TQ77rRj9fOQ","TechnologyService","Customer files service","",""
"_ACSM-Cd3Ee2TQ77rRj9fOQ","Grouping","Handle claim business process","",""
