"ID","Type","Name","Documentation","Specialization"
"_QqL5gMw2EeyLxpMTtzcwUw","ArchimateModel","bank management","",""
"_3h5TMK5kEDq6ao05JltHcg","BusinessObject","Account closure","",""
"_vCYJMK5kEDq6ao05JltHcg","BusinessObject","Apply for Loan/Investment","",""
"_q9OU4K5oEDq6ao05JltHcg","BusinessObject","Authenticate","",""
"_dvy00K5pEDq6ao05JltHcg","BusinessObject","Authenticate","",""
"_CThF4K5pEDq6ao05JltHcg","BusinessObject","Authneticate","",""
"_uBzqwK5pEDq6ao05JltHcg","BusinessObject","Back to the home page","",""
"_uXRWsK5kEDq6ao05JltHcg","BusinessObject","Balance statement","",""
"_9L8SoK5pEDq6ao05JltHcg","BusinessObject","Closed successfully","",""
"_Vqes0K5kEDq6ao05JltHcg","BusinessObject","Create an account","",""
"_uAFlwK5kEDq6ao05JltHcg","BusinessObject","Deposit/withdraw","",""
"_jsuiwK5oEDq6ao05JltHcg","BusinessObject","Enter the amount to deposit/withdraw","",""
"_mjvI8K5kEDq6ao05JltHcg","BusinessObject","Home page(dashboard,logout)","",""
"_c9m8MK5kEDq6ao05JltHcg","BusinessObject","Login","",""
"_52dW0K5kEDq6ao05JltHcg","BusinessObject","Logout","",""
"_6V2EsK5oEDq6ao05JltHcg","BusinessObject","Select plan for Loan/Investment","",""
"_lINewK5nEDq6ao05JltHcg","BusinessObject","Valid user?","",""
"_FuemUK5oEDq6ao05JltHcg","BusinessObject","Wrong credentials","",""
