"ID","Type","Name","Documentation","Specialization"
"id-8d22994da0f04ad688f8b6ffe9b6e5d8","ArchimateModel","PICKTRU","",""
"id-00bbb6c77e74468792955951b3974877","BusinessActor","Chefe de equipa","",""
"id-73714d3ce7104361b0f7f4dcbeeb72fa","BusinessActor","Cliente","",""
"id-afd0879736d24feea50d97d7a1008bf1","BusinessActor","Departamento de Operações (D-OP)","",""
"id-67df1d08650e4a64846501eb3e764543","BusinessActor","Departamento de Projetos (D-PRJ)","",""
"id-3a4cb96f85eb4cc88dc4b6f85a6a4eb2","BusinessActor","Departamento de Vendas","",""
"id-a44c9e9fc04c424a8f7df4f28840b78a","BusinessActor","Equipa de instalação","",""
"id-eb9e85b17afa4f6689b6321edc13886f","BusinessActor","Funcionários","",""
"id-65ac11dbe3e34b3d98e2a7b9691e1990","BusinessActor","Negociante","",""
"id-2185ae0093aa47b5aafe6568c96fd3e8","BusinessActor","PICK","",""
"id-45aafffe0dff41a6ac13ae6e59620c98","BusinessActor","Unidade de Hardware (U-HW)","",""
"id-6555fe1624bf4b3190901c0629f8d3b3","BusinessActor","Unidade de Software (U-SW)","",""
"id-8326dbcfc29f4c119cdc65933f68e530","BusinessCollaboration","Business Collaboration","",""
"id-d67a5cf8df7e4dd18efc8c908d98d9aa","BusinessCollaboration","Equipa de instalação","",""
"id-06a2fa0e8847420293428eebbe64e19d","BusinessCollaboration","Gestão de alterações na loja","",""
"id-6bce5116d6354e5a92b007f170d2df6f","BusinessProcess","P-GO","",""
"id-65912b8d4bd549a4a06ce20ad94d3c1d","BusinessProcess","P-ON","",""
"id-83bc98a340eb4edd9630f6fc815907f8","BusinessProcess","P-SET","",""
"id-3f1bea45ba26439684b9d8eacfe413ad","BusinessProcess","P-SIGN","",""
"id-8385c685846a4ecb85234f41a6dca3b6","BusinessRole","Chefe de equipa","",""
"id-609e1efa0c094ee987005de9894851b9","BusinessRole","Funcionários","",""
"id-f0c1d2b12cb84fea84d9d37631b7eb5a","BusinessRole","Informar o cliente de eventos","",""
"id-278cb20f462d41778895f1e27c5848f8","BusinessService","Celebração de contratos com clientes","",""
"id-ee5304a687e747a2b70b2427b1be9265","BusinessService","Gestão de alterações numa loja","",""
"id-b6af09f6ddcd4536baefd0c35ee91c3b","BusinessService","Informar o cliente de eventos numa loja","",""
"id-959ac99d1e98445595e810fb4fc4519b","BusinessService","Instalação do produto numa loja","",""
"id-d2453c9376a2486c8688aeb0acf41e51","BusinessService","Seguir na loja cada visitante e identificar um conjunto de ações relevantes","",""
"id-775247c32ee24314a59f2fa8a422bd31","Contract","Contrato","",""
"id-a6acbf0c2b494e869fdc179ec83ce9bd","Product","PICKTRU","",""
"id-cf9b646974704335a82977ed6f6a4edb","ApplicationCollaboration","Application Collaboration","",""
"id-0cf6b5f5795f4f51803a89b6369e3c0b","ApplicationCollaboration","Sistema RUN","",""
"id-f3816bad081c46e49bfdfce6d5604525","ApplicationCollaboration","Sistemas do cliente","",""
"id-cd78fb7aaa82461f90a39d26b095ce46","ApplicationComponent","BOSS","",""
"id-06c0b5919cd04ade86baf659a96a88ed","ApplicationComponent","C-ID","",""
"id-3427f8536e4a4481a3658aaf5f8ea72c","ApplicationComponent","C-ID","",""
"id-3b9e70e319034e61a5990b05e2512879","ApplicationComponent","C-ID (copy)","",""
"id-032215115bfe42f29d42781073bfb635","ApplicationComponent","C-MNG","",""
"id-9a6ff9db372b4ced916c6b00394ea629","ApplicationComponent","C-OUT","",""
"id-a2318078f4484683b3b58561c546b5cf","ApplicationComponent","RUN","",""
"id-de2c6115d4804bc58b630306db97c37e","ApplicationComponent","RUN","",""
"id-c12665baa01744daa8beecec3e7fda03","ApplicationComponent","SMART","",""
"id-bc54b21842d7460d8bd727f25983b30d","ApplicationComponent","STORE","",""
"id-ec5fcb79e3bd4f5b914be31595ed0b9f","ApplicationComponent","STORE","",""
"id-46f91fb0cc364d96ae8fbc5d363584ee","ApplicationInteraction","RUN","",""
"id-45ec07965d1f4dc7a943776e33e011d1","ApplicationInteraction","SIstema RUN","",""
"id-04282acdae864840bf1db704b05bec54","ApplicationInterface","Dispositivos","",""
"id-dd92fd3ca92d46878a00ea158046066b","Node","Node","",""
"id-5d39332d4e4542729c91d7eaff21ff47","Node","Node","",""
"id-3f272cf8ff994b87a6d75af047de1cb1","Node","Node","",""
"id-f612b19a18614df5989b2283afc0cfb2","Location","Cliente                                            ","",""
"id-02a27afe219347beb19508c13d2a619c","Location","Loja","",""
"id-e75eeced64c14cd88175251ca24e34e0","Location","PICK","",""
