"ID","Type","Name","Documentation","Specialization"
"_tyPiQJRmEey7XMPwOAXJ1g","ArchimateModel","Prisna Capital","",""
"_8-cI4HaUEDqs-pDggCY_4Q","BusinessService","Prisna Capital (Shares)","",""
"_SFNm8HaYEDqs-pDggCY_4Q","Contract","1.) proof of ownership","",""
"_DYUUsHaYEDqs-pDggCY_4Q","ApplicationComponent","Staking","",""
"_CIg5sHaYEDqs-pDggCY_4Q","ApplicationComponent","Vesting","",""
"_ZGWAAHabEDqs-pDggCY_4Q","ApplicationComponent","Yield Farming","",""
"_cQYacHaYEDqs-pDggCY_4Q","DataObject","burnable","",""
"_ZncpUHaYEDqs-pDggCY_4Q","DataObject","Mintable","",""
"_Sc9DcHaWEDqs-pDggCY_4Q","Facility","Nasdaq100","",""
"_WHI2MHaWEDqs-pDggCY_4Q","Facility","Promising Ventures","",""
"_pdZDwHaXEDqs-pDggCY_4Q","SystemSoftware","Prisna Capital (Coins, erc1155)","",""
"_aKEYwHaZEDqs-pDggCY_4Q","SystemSoftware","wallets","",""
