"ID","Type","Name","Documentation","Specialization"
"id-679fbf4e-44af-4c56-aaf5-f36a601ed1c0","ArchimateModel","Sensei","",""
"id-8b7bcb55-4788-4b9e-80e8-ef3bba8ccd23","Capability","Capability","",""
"id-21dcb23b-d5e3-46d0-994a-8a2c72ae5236","CourseOfAction","Associer les plaques d'immatriculation avec les tickets","",""
"id-829c40bb-5a14-442e-8c62-cb0fd5e80bee","CourseOfAction","Contrôler en sortie que le ticket correspond à la voiture entrée","",""
"e2eb0bab-92f7-4512-85d5-7cf6fcf71991","CourseOfAction","Identifier les plaques d'immatriculation des voitures entrants et sortants","",""
"id-4233d66e-5c08-494b-8298-8b3017afe93f","CourseOfAction","Move to the Cloud","",""
"id-7c3b79de-5201-4e74-90de-749897a8e3dc","CourseOfAction","Offer a loyalty program with discount","",""
"d701f749-35a3-434a-908e-0a4dac42a8b9","ValueStream","Value Stream","",""
"id-882a0594-7bf4-4fd0-9ea6-3fccd7713e52","BusinessActor","Agent","",""
"id-52a19890-007e-4ef5-ba7d-8c017740af2a","BusinessActor","An Actor","",""
"id-2307eede-89ca-4331-8688-e3e2cdc2c151","BusinessActor","Attacker","",""
"id-3c608ea8-0f2f-458b-a3d4-a13b488bd9e8","BusinessActor","Business Actor","",""
"id-8be6808f-78ec-481e-b772-932ea7e4b8fd","BusinessActor","Business Actor","",""
"d68bc964-f4dd-4062-ba40-f76669e0087b","BusinessActor","Customer","",""
"id-3685af4a-54a4-4427-a664-8b56f4b19339","BusinessActor","Customer","",""
"f800c22e-7da7-4df5-bff1-6448611dbf32","BusinessActor","Departement A","",""
"be90df05-8a6b-4554-abfe-b1446771478a","BusinessActor","Departement B","",""
"b03ac1d8-0161-4629-8ec4-6ea553a4574b","BusinessActor","Departement C","",""
"c4cf083d-a656-4159-97ac-4cfd155edd96","BusinessActor","Leadership","",""
"a0d61412-018d-41e8-baea-67e6e24813b5","BusinessActor","Organisation","",""
"id-36de8bdb-ec19-486f-8c8f-78a5dedde62c","BusinessActor","Other Actor","",""
"id-15af3a27-ca67-4232-aaa3-1e96b0ba03d8","BusinessActor","Threat Agent (Business Actor)","",""
"id-175b7144-37b8-49ac-9fa7-9b395439930f","BusinessCollaboration","Business Collaboration","",""
"faaf50b6-728d-40c4-ba75-97751a956c8e","BusinessEvent","Address not found","",""
"ebcfd99c-c591-4ac5-b9bc-7db65db863f8","BusinessEvent","Attack","",""
"cc9d5fef-d6a7-4d4b-9b92-e1104ed587ff","BusinessEvent","Business Event","",""
"acff7944-2ad3-4941-8d3f-f6bac5d98543","BusinessEvent","Claim received","",""
"bddace08-0531-441a-a176-7ce693509367","BusinessEvent","Claim Rejected","",""
"id-03df9391-27f4-4d7d-a6de-982750493a87","BusinessEvent","Delivery guy Arrived","",""
"fdaa7538-faeb-4116-aafd-3c3e635e0947","BusinessEvent","Fish stock level is low","",""
"id-9b7555e2-bb06-4610-b086-523f266e20a1","BusinessEvent","It is open time","",""
"f89a014e-9898-4a8f-8557-d1fa9f1c985c","BusinessEvent","New app available","",""
"id-80fb4ae5-f27b-4412-8b61-aa2a52f8eab8","BusinessEvent","No more Fish","",""
"fde27587-3d8f-4a48-93da-2ddbcf55c2c7","BusinessEvent","Order form received","",""
"id-092eb650-b4eb-4998-a486-98721c45697c","BusinessEvent","Order prepared","",""
"f5ec6844-6040-420c-a68e-5bc505814cb2","BusinessEvent","Order proceed","",""
"id-34f6f15a-9aef-493f-9a5b-5026df3001ad","BusinessEvent","Order Received","",""
"af85bcfe-c696-4778-8d30-85f25f991dd1","BusinessEvent","Order Received","",""
"id-1e35e5ec-e000-476f-9b21-bc7b2d56416c","BusinessEvent","Order Rejected","",""
"id-845a031b-6cd5-4011-af92-606f0b6365d3","BusinessEvent","Order shipped","",""
"f9131c63-ea6f-4df0-83c0-07fc812323c7","BusinessEvent","Order Taken","",""
"id-71d18756-fefb-43f6-9c58-231a064789a5","BusinessEvent","Provisionning request received","",""
"d41b687c-84b0-4876-a2b1-149d9b26a596","BusinessEvent","Throwing Event","",""
"db3b669b-ac2e-444e-bda3-c0d3ed2c405c","BusinessFunction","f1(x)","",""
"b29214e8-716c-4d19-91d7-97585d354565","BusinessObject","Barrier","",""
"id-6c51b178-e99c-43d9-98c4-ada7600645fc","BusinessObject","Bus","",""
"id-1e1579fa-b663-4b75-a4f5-53d799bb307b","BusinessObject","Camera","",""
"e5ebc54c-f743-49b0-a607-899946f1e12f","BusinessObject","Car","",""
"id-0a8e4fae-76d4-4aab-a214-053b4b1dabfd","BusinessObject","Car Plate","",""
"id-15057166-0ca3-4a25-b620-ccd840ea541d","BusinessObject","Card","",""
