"ID","Type","Name","Documentation","Specialization"
"d6d289d4","ArchimateModel","","",""
"id-68ae2da9","BusinessActor","Coordinador","",""
"id-95dee497","BusinessActor","Docente","",""
"f61e419f","BusinessFunction","Asignar tiempo docentes","",""
"id-919d2d02","BusinessFunction","Editar perfil","",""
"id-04919056","BusinessFunction","Gestionar actividades","",""
"bbbc0e66","BusinessFunction","Gestionar docentes","",""
"f1723033","BusinessFunction","Gestionar horario","",""
"id-5243f08d","BusinessFunction","Gestionar productos","",""
"id-12a702c7","BusinessFunction","Gestionar semanas","",""
"ea9378b3","BusinessInterface","Interfaz lógica","",""
"id-9bd7e95c","BusinessInterface","Interfaz Lógica","",""
"ae66ee79","BusinessRole","","",""
"adf3e99a","BusinessRole","Business Role","",""
"id-7525db05","BusinessService","Gestionar semanas","",""
"ca1767e0","Contract","","",""
"id-75fa50e7","Product","Gestión del plan de trabajo de los docentes de las Unidades Tecnológicas de Santander","",""
"dbf9b182","ApplicationCollaboration","Application Collaboration","",""
"id-0b263e16","ApplicationComponent","CRUD actividades","",""
"id-49a9d1b7","ApplicationComponent","CRUD horario","",""
"id-8dd902cd","ApplicationComponent","CRUD perfil","",""
"id-4e98105b","ApplicationComponent","CRUD productos","",""
"id-81b80e76","ApplicationComponent","Gestionar Actividades","",""
"a226c12b","ApplicationComponent","Gestionar Asignación Tiempo Docentes","",""
"id-0bcc43e6","ApplicationComponent","Gestionar Docentes","",""
"f8511eec","ApplicationComponent","Gestionar Horario","",""
"id-294213ec","ApplicationComponent","Gestionar Perfil","",""
"cad4ea53","ApplicationComponent","Gestionar Productos","",""
"id-87ecf9d6","ApplicationComponent","Gestionar Semanas","",""
"df0c6e94","ApplicationComponent","Glassfish","",""
"id-7a0b1662","ApplicationComponent","Modulo docentes","",""
"b110ab4f","ApplicationComponent","Modulo semanas","",""
"ca947b1a","ApplicationComponent","Modulo tiempo docentes","",""
"id-0360ce03","ApplicationInteraction","","",""
"daa7e11f","ApplicationInterface","Interfaz coordinador","",""
"id-8d5a5dcd","ApplicationInterface","Interfaz docente","",""
"fdb30b4e","ApplicationInterface","Interfaz Logica","",""
"id-0b414741","ApplicationInterface","Interfaz logica","",""
"id-21d9a977","ApplicationInterface","Interfaz persistencia","",""
"id-1551af27","ApplicationInterface","Interfaz persistencia (copy)","",""
"id-9c7f5f9f","ApplicationInterface","Interfaz persistencia (copy) (copy)","",""
"id-882760e0","ApplicationInterface","JPA (Java Persistence API)","",""
"eaf786ed","ApplicationInterface","Servicios logica","",""
"id-57c3aeae","ApplicationInterface","Servicios logica","",""
"id-8a111f85","ApplicationService","Servicios datos","",""
"cc6a3c82","ApplicationService","Sevicios logica","",""
"id-56d35595","ApplicationService","Sevicios logica (copy)","",""
"id-3dfe8db6","DataObject","Motor de base de datos postgresql","",""
"id-2f6984ef","Principle","Principle","",""
"id-1b7af7f1","Deliverable","Deliverable","",""
"id-0f46d2d9","Plateau","hfh","",""
