"ID","Type","Name","Documentation","Specialization"
"3f7d61de","ArchimateModel","3 Lazy Load","",""
"b10bed0f","ApplicationComponent","class 1","",""
"b21dc95e","ApplicationComponent","class 2","",""
"bc4c9b14","ApplicationComponent","class active record 1","",""
"7b34dcb8","ApplicationComponent","class with lazy load","",""
"4db8f64d","ApplicationComponent","proxy","",""
"8ec192e0","ApplicationComponent"," real object class","",""
"0cbf0d2c","ApplicationComponent"," real subject","",""
"d53333f3","ApplicationFunction","constructor (filename)","",""
"6de34ed4","ApplicationFunction","Create (parameters)","",""
"03754d9a","ApplicationFunction","Delete (id)","",""
"4a3a0766","ApplicationFunction","method 1","",""
"6d0e3659","ApplicationFunction","method 1","",""
"fa2e821d","ApplicationFunction","method 1","",""
"0f9baf4a","ApplicationFunction","method 1 (require real object data)","",""
"3211eb8f","ApplicationFunction","method 1 (require real object data)","",""
"4e432078","ApplicationFunction","method 2","",""
"8fd57834","ApplicationFunction","method 2","",""
"c70ad1c1","ApplicationFunction","method 2","",""
"af6562e8","ApplicationFunction","method 2 (get fake data)","",""
"b7c0733f","ApplicationFunction","method 2 (get fake data)","",""
"e503f74b","ApplicationFunction","some business logic function 1","",""
"1d72c698","ApplicationFunction","some business logic function 2","",""
"e92c905b","ApplicationFunction","STATIC Find(parameters)","",""
"991354ea","ApplicationFunction","STATIC load (some object)","",""
"20817509","ApplicationFunction","STATIC Read(id)","",""
"526d4409","ApplicationFunction","Update (parameters)","",""
"ef07717a","ApplicationProcess","access to DB","",""
"5064c016","ApplicationProcess","Application Process","",""
"f21d8977","ApplicationProcess","call method on instance already exists","",""
"b8cc2603","ApplicationProcess","call method on instance already exists (copy)","",""
"37a4dccf","ApplicationProcess","call real methods","",""
"cf8172b0","ApplicationProcess","call some fake methods","",""
"ce594381","ApplicationProcess","call some real object method","",""
"6fde46c1","ApplicationProcess","call some real object method","",""
"fc2bcfaf","ApplicationProcess","create instance ","",""
"0954f3f3","ApplicationProcess","create instance by filename","",""
"6ca0e674","ApplicationProcess","create obj and fill properties acording with object input args","",""
"1a642360","ApplicationProcess","Create object","",""
"376ecd4b","ApplicationProcess","Delete object","",""
"caa91ef4","ApplicationProcess","get id","",""
"c40ceccf","ApplicationProcess","get instance already exists","",""
"c67dfed7","ApplicationProcess","get instance already exists","",""
"c5e370a0","ApplicationProcess","get props for use in insert","",""
"47702f9f","ApplicationProcess","get props for use in update","",""
"44ca5341","ApplicationProcess","Read object or Find (enough use the fake)","",""
"5c903d5b","ApplicationProcess","Read object or Find (need real data)","",""
"5666554d","ApplicationProcess","return array of objects of type 'class active record 1'","",""
"a74bdef6","ApplicationProcess","return created object of type 'class active record 1'","",""
"2bbdd556","ApplicationProcess","return object of type 'class active record 1'","",""
"eeec3ed0","ApplicationProcess","return some fake data","",""
"c814a1b1","ApplicationProcess","return some fake data","",""
"5072d4b3","ApplicationProcess","sequence of operations","",""
"193f9121","ApplicationProcess","SQL delete 1 row statement","",""
"546b1025","ApplicationProcess","SQL insert 1 row statement","",""
"02aa1ff6","ApplicationProcess","SQL select 1 row statement","",""
"ba2de9f4","ApplicationProcess","SQL select rows statement","",""
"ee6c3d06","ApplicationProcess","SQL update 1 row statement","",""
"9f5f445b","ApplicationProcess","step 2","",""
"f7f91c2d","ApplicationProcess","step 2","",""
"17fecb2e","ApplicationProcess","step1","",""
"7c9a9614","ApplicationProcess","step1","",""
"bb960999","ApplicationProcess","Update object","",""
"a657ce9e","ApplicationProcess","write instance into REF","",""
"fedcdd60","DataObject","entity 1","",""
"44440aac","DataObject","entity 2","",""
"bf48f156","DataObject","entity 3","",""
"015502ba","DataObject","entity 4","",""
"bce1c772","DataObject","entity 5","",""
"ea9819ef","DataObject","entity 6","",""
"bd88374d","DataObject","filename","",""
"e7f57c23","DataObject","properties","",""
"acf55fd2","DataObject","properties (corresponds to table columns)","",""
"de7339fe","DataObject","REF to real subject","",""
"b3c58216","Junction","Junction","",""
"b3398ea6","Junction","Junction (copy)","",""
"d7310aed","Junction","Junction (copy)","",""
"097a14b3","Junction","Junction (copy) (copy)","",""
