"ID","Type","Name","Documentation","Specialization"
"_ZID2YJE8Eeqwvcm2LAkYWA","ArchimateModel","Research and development","",""
"_yRhrAHS1EDiG4uc562h3bQ","BusinessActor","Главный инженер","",""
"_tqHbAHS1EDiG4uc562h3bQ","BusinessActor","Заместитель Главного инженера","",""
"_p5qUkHNqEDiz15pm8ewEmA","BusinessActor","Руководитель группы разработки оборудования","",""
"_mPESIHNqEDiz15pm8ewEmA","BusinessActor","Руководитель группы системной и программной инженерии","",""
"_0425oHS1EDiG4uc562h3bQ","BusinessCollaboration","Другие участники ГУП","",""
"_xA6EEHNqEDiz15pm8ewEmA","BusinessCollaboration","Рабочая группа разработки SGGM-102","",""
"_zI0y0HNqEDiz15pm8ewEmA","BusinessCollaboration","Рабочая группа разработки SGLM-102","",""
"_7561AHNqEDiz15pm8ewEmA","BusinessCollaboration","Рабочая группа разработки ПО RADSYS-PDS","",""
"_AFs48HNrEDiz15pm8ewEmA","BusinessCollaboration","Рабочая группа разработки ПО RADSYS-RMS","",""
"_Q0-RwH4jEDiJVKfQdKuWvw","BusinessCollaboration","Рабочая группа разработки прикладного и встроенного ПО оборудования","",""
"_FNLwIHNrEDiz15pm8ewEmA","BusinessCollaboration","Рабочая группа разработки … (другое оборудование)","",""
"_tASuUHNqEDiz15pm8ewEmA","BusinessCollaboration","Рабочая группа системной инженерии","",""
