"ID","Type","Name","Documentation","Specialization"
"id-8133bf64","ArchimateModel","Web Service Application","",""
"id-2f735189","BusinessRole","Web Application User","",""
"id-9a5e5281","BusinessRole","Web Service Application Operator","",""
"a14fbf62","BusinessRole","Web Service Consumer","",""
"id-05eb4978","ApplicationInterface","Web Service API","",""
"id-3d70eac5","ApplicationService","Browser Content","",""
"id-22858401","ApplicationService","Web Service Application","",""
"e084b3bb","ApplicationService","Web Service Consumer Program","",""
"aa54b1ac","Path","World Wide Web","",""
"id-9d93483c","TechnologyService","Browser Infrastructure","",""
"f2685436","TechnologyService","Browser Platform","",""
"id-58ce64bd","TechnologyService","Web Service Application Infrastructure","",""
"id-1697142d","TechnologyService","Web Service Application Platform","",""
"id-4997b36c","TechnologyService","Web Service Consumer Infrastructure","",""
"id-6d622aad","TechnologyService","Web Service Consumer Platform","",""
