"ID","Type","Name","Documentation","Specialization"
"id-27d94fb5929d4a5d81f9b9690fe72f24","ArchimateModel","Webstreet","",""
"id-ceb3defc04d9432baa105e888cc5c7d6","BusinessActor","[A-1] Équipe de développement Webstreet","",""
"id-42d1f64750df4303b7025060f04f157e","BusinessActor","[A-2] Webmasters Webstreet","",""
"id-5cb28ab048c14f9494d829ce8fa640a6","BusinessActor","[A-3] Utilisateur final des site web","",""
"id-5e18c105ddeb4e7484846882bc8c7882","BusinessActor","[A-4] Équipe exploitation Webstreet","",""
"id-23866142819046fdbfb9bcb5c6511695","BusinessActor","[A-5] Client Webstreet","",""
"id-43675c3b517e4dd5892733c130380b4f","BusinessEvent","[BE-1] S'authentifie","",""
"id-7ee21a696bd348cf9018e96debc751a3","BusinessProcess","[BP-1] Création et personnalisation des sites web","",""
"id-5985e55f844f4466b8c4d450131b007c","BusinessProcess","[BP-2] Maintien et enrichissement de la bibliothèque de composants","",""
"id-db8f0ad12df546eaa2808d6d366a8a1c","BusinessProcess","[BP-3] Administration des serveurs","",""
"id-235031eca28c4c4196e6b3f93ab24558","BusinessProcess","[BP-3] Administration et mise à jour des sites web","",""
"id-6f492e980fd3498c93f8df886e0f12e2","BusinessProcess","[BP-4] Accède aux données de son site web","",""
"id-002908a81e5249c4ba68461c9e24aafb","ApplicationCollaboration","[SC-2] Site web client","",""
"id-f2c003716b484bd6a5b12b5f3dae3e70","ApplicationComponent","[SC-1] Outil de Génération et d'Administration des sites web ","",""
"id-0bb4b5bf04d844408d46e7f85f43b4a8","ApplicationComponent","[SC-2.1] Back-end - Site web","",""
"id-48130afee7374773921506cc4753eaa3","ApplicationComponent","[SC-2.2] Front-end - Site web","",""
"id-24a57be868374e93b3805e212a15e791","ApplicationComponent","[SC-4] IAM (Identity / Access Management)","",""
"id-7c91b81fab4740419ecfa3ce395d6178","ApplicationComponent","[SC-5] ""Gestionnaire"" de fichier Web","",""
"id-cad5f785bb3045ebb5a2a7e6c3b48c79","ApplicationFunction","[SF-1] : Vérification de la disponibilité et application des mises à jours","",""
"id-bd6da167b4d7475bb42ca061c7b66549","ApplicationFunction","[SF-1] Authentification des utilisateurs","",""
"id-28ec7d076c194bf689d98ea06f4056c1","DataObject","[D-1] Bibliothèque de composants logiciels","",""
"id-5ad5e0c398834c9c8315e6a35cb85928","DataObject","[D-2.1] Templates","",""
"id-37b16efae59c4731b611dbce36db6332","DataObject","[D-2.2] Site Atoms","",""
"id-f5c75bdd9bf741648d98cc2647bfc8f0","DataObject","[D-2] Données des sites web clients ","",""
"id-a7e8fc2ce126498f99990b912cc31c27","DataObject","[D-3] Sauvegarde des données de site web","",""
"id-1a83e9795acf4961a99aa43da8edc4c1","DataObject","[D-4] Identité et droits d'accès des Clients Webstreet","",""
"id-b8f044b6a338424fa7ee802d43a3c7a9","CommunicationNetwork","[CN-1] Réseau Web Street (Interne + DMZ)","",""
"id-cd1c37aaf54942b3b0e369815cd46339","CommunicationNetwork","[CN-2] Internet","",""
"id-1a093a283d4d4b37ab34cd77197eb3e4","CommunicationNetwork","[CN-3] Fournisseur SASS","",""
"id-18ce16038a834545bca26500a052acde","CommunicationNetwork","[CN-3] Réseau Client Webstreet","",""
"id-6fdd9d651f0545bd9ca38d5bae910bec","Device","[TC-1] Serveur d'hébergement client","",""
"id-55bfd7e038a146de86c7ad4ce7cd2e8b","Device","[TC-1] Serveur d'hébergement Webstreet","",""
"id-5b325b96acd04a9cb0727c5c088b08de","Device","[TC-2] Serveur de base de données client","",""
"id-b1495cbf2f9042c4ad526a464c2ba05e","Device","[TC-2] Serveur de base de données Webstreet","",""
"id-47a3a0edac00434a905186a937343507","Device","[TC-3] Serveur de Sauvegarde client","",""
"id-e78e8599a3ff498cbc6806f5b828eedc","Device","[TC-3] Serveur de Sauvegarde Webstreet","",""
