"ID","Type","Name","Documentation","Specialization"
"id-faf8ee2d9ca04a63a2b8390951494200","ArchimateModel","(new model)","",""
"id-90254f3aa88f4a0c8bc1baa8f80ca42e","BusinessFunction","Application Mobile","",""
"id-949ec0620d674681b5a7b21606304bb7","BusinessFunction","Approvisionnement","",""
"id-3c34f24109bf402e95848c581b7d0c51","BusinessFunction","Business Function","",""
"id-8e373529f33d4d33a4d2c94059ee349e","BusinessFunction","Confirmation de commandes","",""
"id-f39592305c3b45f88f433cb799fee3aa","BusinessFunction","Distribution","",""
"id-4bb6c938fc4a4609a08b6a9d5b9b4773","BusinessFunction","Facturation","",""
"id-cda941b72608470fb337156a044ffa0c","BusinessFunction","finance et comptabilité","",""
"id-f3230cb8ddb64e3e90acbd293f0beab2","BusinessFunction","Service Client","",""
"id-40713ae10ab84336bc61e5e4dd04a50a","BusinessFunction","Stock","",""
"id-71841b5bf7704d2d910d31e8616f6746","BusinessRole","Agence","",""
"id-9fb3bbb1ec8f44cfb357313713ed7214","BusinessRole","Banque","",""
"id-515ebefbd790469e9a6eded79527f078","BusinessRole","Client","",""
"id-601e0662bbce4639ab1a6bb444208dd2","BusinessRole","Siege","",""
