"ID","Type","Name","Documentation","Specialization"
"_19fwAKxsEeqEM7mFKilpXw","ArchimateModel","MobilityServiceProfil","",""
"_EGmQAY6dEDitEJJIkLltpA","BusinessActor","Actor","",""
"_baB20ZQaEDis9O1Rb02tbw","BusinessActor","Actor","",""
"_LQOqgY6wEDi2NdmciL2Z2A","BusinessActor","Land Berlin ÖPNV (U-bahn, Bus, Tram)","",""
"_1bz2kI6cEDitEJJIkLltpA","BusinessActor","VBB (SPNV)","",""
"_WfcPkY6dEDitEJJIkLltpA","BusinessEvent","Event","",""
"_09SkAI6bEDitEJJIkLltpA","BusinessInteraction","Betriebliche Mob Management","",""
"_Psk0oI6dEDitEJJIkLltpA","BusinessObject","Object","",""
"_NUrHIZOVEDis9O1Rb02tbw","BusinessObject","Object","",""
"_IxKXII6cEDitEJJIkLltpA","BusinessProcess","Process","",""
"_uhXCIJQcEDis9O1Rb02tbw","BusinessProcess","Process","",""
"_ynPSYJQcEDis9O1Rb02tbw","BusinessProcess","Process","",""
"_vSSTkI6cEDitEJJIkLltpA","BusinessRole","Aufgabenträger ÖPNV","",""
"_Yl2fAJQaEDis9O1Rb02tbw","BusinessRole","Role","",""
"_ywMSsJQfEDis9O1Rb02tbw","BusinessRole","Role","",""
"_3X8BgI6bEDitEJJIkLltpA","BusinessRole","Unternehmen","",""
"_Ef3hEI6cEDitEJJIkLltpA","BusinessService","Job Rad zur Verfügung stellen","",""
"_mhEI0JNuEDiPCNUsTngAGg","BusinessService","Service","",""
"_5RuWMJOUEDis9O1Rb02tbw","BusinessService","Service","",""
"_GtxEkJOVEDis9O1Rb02tbw","BusinessService","Service","",""
"_IPWzIJOVEDis9O1Rb02tbw","BusinessService","Service","",""
"_9hxtkI6bEDitEJJIkLltpA","BusinessService","ÖPNNV","",""
"_MZAyII6dEDitEJJIkLltpA","Contract","Contract","",""
"_QVwmcY6bEDitEJJIkLltpA","Product","Product","",""
"_Zj5u0JNuEDiPCNUsTngAGg","Product","Product","",""
"_XbSpQI6cEDitEJJIkLltpA","ApplicationComponent","Component","",""
"_RPFHMJOVEDis9O1Rb02tbw","ApplicationComponent","Component","",""
"_Tp40MI6cEDitEJJIkLltpA","ApplicationService","Service","",""
"_EkKGAJOQEDiPCNUsTngAGg","ApplicationService","Service","",""
"_kA8iMI6cEDitEJJIkLltpA","DataObject","Data Object","",""
"_TDs4wZOQEDis9O1Rb02tbw","DataObject","Data Object","",""
"_kTB7QI6dEDitEJJIkLltpA","Constraint","Constraint","",""
"_6STwoJNsEDiZ38bSRFc15g","Constraint","Constraint","",""
"_JjMGcY6bEDitEJJIkLltpA","Driver","CO 2 Grenzwerte","",""
"_mNJjwJNtEDiPCNUsTngAGg","Driver","Driver","",""
"_bVMIcI6bEDitEJJIkLltpA","Goal","e Mobilität","",""
"_1jyWkZNtEDiPCNUsTngAGg","Goal","Goal","",""
"_Hzc6EJNwEDiPCNUsTngAGg","Goal","Goal","",""
"_MOzEAJNwEDiPCNUsTngAGg","Goal","Goal","",""
"_Wwcx8Y6bEDitEJJIkLltpA","Goal","Klima","",""
"_cOP3YI6bEDitEJJIkLltpA","Goal","mehr ÖPNV","",""
"_XhvE8I6bEDitEJJIkLltpA","Goal","Schadstoffe","",""
"_IAxRcI6bEDitEJJIkLltpA","Goal","Umweltwelt","<p>Reduduktion der Umweltbelastungen.</p>",""
"_AUOk4JNvEDiPCNUsTngAGg","Meaning","Agenda - Gains","",""
"__xXIYJNuEDiPCNUsTngAGg","Meaning","Agenda - Pains","",""
"_hvosEJNsEDiZ38bSRFc15g","Meaning","Gains","",""
"_HhKNAJNsEDiZ38bSRFc15g","Meaning","Pains","",""
"_2y5qgJNsEDiZ38bSRFc15g","Outcome","Outcome / Servicebünde","",""
"_Po4soJNtEDiZ38bSRFc15g","Outcome","Outcome Service","",""
"_xM4AsJNtEDiPCNUsTngAGg","Outcome","Outcome Service","",""
"_bD0ZsI6dEDitEJJIkLltpA","Requirement","Gesetze","",""
"_EXzPYJNsEDiZ38bSRFc15g","Stakeholder","""Provider""","",""
"_FBfasJNuEDiPCNUsTngAGg","Stakeholder","Stadt / Gesellschaft","",""
"_HMGTQI6bEDitEJJIkLltpA","Stakeholder","Stakeholder","",""
"_82ezAJNrEDiZ38bSRFc15g","Stakeholder","Verkehrsteilneher*in","",""
"_LjM2YY6bEDitEJJIkLltpA","Value","Value","",""
"_aoXHYJNsEDiZ38bSRFc15g","Value","Value","",""
"_Dhcu0ZNvEDiPCNUsTngAGg","Value","Value","",""
"_n4hQsI6cEDitEJJIkLltpA","Grouping","Grouping","",""
