"ID","Type","Name","Documentation","Specialization"
"id-4044d88a4b1c4cd58f8a625e380cbc5f","ArchimateModel","GEMS Refactor notes","These are notes about a refactor of GEMS to make it easier to add functionality.",""
"id-f435d1fc647f4a4d8bbff5d40600ab17","BusinessActor","Developer","",""
"id-176cc477b3ea42c4938c3e4e7c32c6cd","BusinessActor","Website User","",""
"id-0853e50372ab4503a606816842dcc077","BusinessInterface","Arbitrary Interfaces","",""
"id-c71bcb434bef4c0ca62bcd62e9500e53","BusinessInterface","External Interfaces","",""
"id-0bd2121af6ed4392b31446e94a019c7f","Contract","JSON API","",""
"id-0e2a04e8ec854309acd32b87cc7917c0","Contract","JSON API Used Internally","",""
"id-28543f7c5c0c4fdf87f0d4491a8857ee","Product","GEMS","",""
"id-5b134d22bdc14260b15b13899830ade9","Product","GLYCAM-Web","",""
"id-2e016beaaf6f40d485ea282c96b00802","Product","GMML","",""
"id-966d984850c641bca02ee93bdc3a74ae","Product","In-House External Applications","",""
"id-8bf28c1b5c8b446d9c54b6c282d70f71","ApplicationComponent","AAOP Tree (ABC)","This class might have too many responsibilities, but maybe not.  This is an abstract base class designed to hold objeccts that must be acted upon in certain orders, holding them in such a manner as to simplify maintaining the order of operations.",""
"id-00d332af6cdb4fafa75a89d324c82940","ApplicationComponent","Action Associated Object Package (ABC)","A package should store some Action Object, for example a service to be performed, as well as any metadata needed by the software to ensure that the Action Object is processed correctly.

Two types of metadata are shown here, but there could be others as needed.",""
"id-0767da9ef3d041b89b99bb1f94c13741","ApplicationComponent","Client-Side Features","",""
"id-f357aaf48dba4abcaa9b4099945e7005","ApplicationComponent","Data Translator (Incoming)","This component translates top-level, user-friendly data into proper Service objects, or, at least, some useful internal representation thereof.",""
"id-612113744cf74d55a26b0147ad6e61d9","ApplicationComponent","Data Translator (Outgoing)","This component translates Response objects, alone or as a group, into top-level, user-friendly data.  For example, it might provide a quick link for downloading a commonly accessed file.  It also might provide a total number of warnings or errors reported.",""
"id-ad789509b9e943c2a9ad695cedd486a7","ApplicationComponent","Delegator","This is a component of gemsModules.  There is only one Delegator.  The Delegator determines which Entity should receive any given JSON request.  In some cases, the Delegator can also be an Entity.  For example, it might be asked to provide the Service ""list known Entitites"".",""
"id-efae55668e124a009b9d1049843483c4","ApplicationComponent","Delegator Entity","",""
"id-57729b51582e4da0b0082190502566cd","ApplicationComponent","Django (Website) Code","",""
"id-d7c3bb1a2c24414c8c24abeaebfa5fce","ApplicationComponent","Entity","This is a component of gemsModules.  There can be many Entities.  Entities are spcified in the JSON API and perform Services requested therein.",""
"id-ca24a1a5422b4832b8ec5164f7249d85","ApplicationComponent","External Programs","",""
"id-511c79c439c54d1099f2ccf14a582f4c","ApplicationComponent","GEMS","",""
"id-b5b7a0b87e0947c2899053ea19f4a861","ApplicationComponent","GMML","",""
"id-a557a65232fa473b802e735fec6a7a23","ApplicationComponent","Legacy Delegator","",""
"id-ad486ff462d14fb283c55deff72bc319","ApplicationComponent","Other GEMS Entity","",""
"id-670cc09960f54f299e9c273b566ac90b","ApplicationComponent","Package Tree translator (ABC)","",""
"id-2866643f4818465b80e1fa99b882f8da","ApplicationComponent","Project Generation and Management","",""
"id-9e8ff283fdb94ebf966af1bf5a0de8bd","ApplicationComponent","Receiver","",""
"id-21221e303ebe46a5a087880cbde9637c","ApplicationComponent","Receiver","",""
"id-f9713b3b1db54ec39ec19168d62be62a","ApplicationComponent","Response Package Tree translator","",""
"id-26d8a3002c264a748125ece4e346764e","ApplicationComponent","Responses Object","",""
"id-63331300a4984240ae3727ebe2441ef3","ApplicationComponent","Service Package and Tree Manager","",""
"id-8fce65906f5743b189318d448fe0f1ca","ApplicationComponent","Service Package Tree translator","",""
"id-3aa3bd2189e644cab0343c15be046c0a","ApplicationComponent","Service Request Package","",""
"id-6236107a5490485ab6e24e651f0ce815","ApplicationComponent","Service Request Package Tree","",""
"id-8ea86fcb3d0743deae7e517581a9b736","ApplicationComponent","Service Response Package","",""
"id-e7e747898a6b45aca04a4439469406e3","ApplicationComponent","Service Response Package Tree","",""
"id-b92e3df946474b82828de4e6d5320923","ApplicationComponent","Servicer","",""
"id-d93732dd9d4c4fef8fb3b35f22549fcc","ApplicationComponent","Services Object","",""
"id-31f8035bf94f43b7a2ec990525cdd635","ApplicationComponent","Some Other Entity","",""
"id-6b56c6757bce42229db8703274a772d4","ApplicationFunction","Assign Entity","",""
"id-a0d5286c2f174e90b1acdb24a266436d","ApplicationFunction","Fill Ougoing JSON with full list of Responses to services","",""
"id-f986194473324f4684618a09ed9e9041","ApplicationFunction","Fill Ougoing JSON with full list of Services to run","",""
"id-8d7a9e60af86458881f54df404fa29c5","ApplicationFunction","Inspect Incoming JSON","",""
"id-390c89fb3925495f86cc5f4303f3008c","ApplicationFunction","Inspect JSON","",""
"id-f055013e88bf4d81a892e298a8865223","ApplicationFunction","Instantiate a Transaction","",""
"id-84f6e3d1810548698937285a1e762ee3","ApplicationFunction","Is Delegator the Entity?","",""
"id-926c57a77cf244cbb4479fe20ba2320b","ApplicationFunction","Need old Delegator?","",""
"id-17962ed6817a4e159184bb955b299cb3","ApplicationFunction","Perform GEMS Logic","",""
"id-142f4a0a6b2c4201961602be4402d830","ApplicationFunction","Perform Requested Service","",""
"id-b8da9466f973457aae16dc3f0fa426d6","ApplicationFunction","Receive Incoming JSON Object","",""
"id-95dd875f6ac5421cb238281595cd94a6","ApplicationFunction","Receive Outgoing JSON Object","",""
"id-f2cbcbc27f114170b509ac111eaa7b0e","ApplicationFunction","Receive Results","",""
"id-2be87e5c4f094f0d8a870c3484c3a3e6","ApplicationFunction","Return API Output","",""
"id-f2e4f989d4304718849cbe591ddd4b27","ApplicationFunction","Return JSON","",""
"id-9cc16aaa7a6743ed8a96b66fe77a85a8","ApplicationFunction","Return Outgoing JSON","",""
"id-0e0036bcca394833a2eb74e92a26873c","ApplicationFunction","Return Outgoing JSON Object","",""
"id-d4b28544f35a4c318c61480a19ef1f42","ApplicationFunction","Run Service","",""
"id-2a0fb8dce5d8420ca8f90604f11eff39","ApplicationFunction","Run services","",""
"id-2d83268b563c439badb26e99b6eb8b2f","ApplicationFunction","Send JSON to Delegator Entity","",""
"id-01ca56ea3507460cbc5488ddbb52b892","ApplicationFunction","Send JSON to other Entity","",""
"id-04baa711bf4049f69e82f206b5f1fbf1","ApplicationFunction","Translate API Into GEMS Logic Needs","",""
"id-f21676df1bdc466fbc255028e84ca0f9","ApplicationFunction","Translate Into Service Request Needs","",""
